geo,time,is_rrs_totl_km
alb,1995,674
alb,1996,447
alb,1997,447
alb,1998,447
alb,1999,440
alb,2000,440
alb,2001,447
alb,2002,447
alb,2003,447
alb,2004,447
alb,2005,423
alb,2006,423
alb,2007,423
alb,2008,423
alb,2009,423
are,2019,261
arg,2005,3150
arg,2006,13488
arg,2013,18097
arg,2014,18097
arg,2016,17609
arg,2017,17609
arg,2018,17866
arm,1995,796
arm,1996,796
arm,1997,796
arm,1998,796
arm,1999,843
arm,2000,843
arm,2001,843
arm,2002,711
arm,2003,711
arm,2004,711
arm,2006,845
arm,2008,826.072
arm,2010,826.07201
arm,2014,703.2
arm,2015,703.2
arm,2016,679.363
arm,2017,685.66
aus,1995,9452
aus,1996,9442
aus,1997,9458
aus,1998,9496
aus,1999,9501
aus,2000,9499
aus,2001,9508
aus,2002,9514
aus,2003,9474
aus,2004,9526
aus,2005,9528
aus,2006,9639.33
aus,2007,9655.416
aus,2008,9661.027
aus,2009,9674.002
aus,2010,8615.388
aus,2011,8829.314
aut,1995,5672
aut,1996,5672
aut,1997,5672
aut,1998,5739
aut,1999,5740
aut,2000,5665
aut,2001,5697
aut,2002,5779
aut,2003,5752
aut,2004,5766
aut,2005,5782
aut,2006,5818
aut,2007,5793
aut,2008,5784
aut,2009,5356
aut,2010,5351
aut,2011,4917
aut,2012,4985
aut,2013,4950
aut,2014,4956
aut,2015,4937
aut,2016,4917
aut,2017,4953
aut,2018,4864
aut,2019,4877
aze,1995,2123
aze,1996,2116
aze,1997,2116
aze,1998,2116
aze,1999,2116
aze,2000,2116
aze,2001,2116
aze,2002,2122
aze,2003,2122
aze,2004,2122
aze,2005,2122
aze,2006,2122
aze,2007,2099
aze,2008,2099.1
aze,2009,2079
aze,2010,2079.1
aze,2011,2079.3
aze,2012,2068.1
aze,2013,2068.1
aze,2014,2066.4
aze,2015,2067.8
aze,2016,2074
aze,2017,2132
aze,2018,2133.07
aze,2019,2139.87
bel,1995,3368
bel,1996,3380
bel,1997,3422
bel,1998,3470
bel,1999,3472
bel,2000,3471
bel,2001,3454
bel,2002,3518
bel,2003,3521
bel,2004,3536
bel,2005,3544
bel,2006,3500
bel,2007,3374
bel,2008,3513
bel,2009,3578
bel,2010,3582
bel,2012,3592
bel,2014,3631
bel,2015,3607
bel,2016,3602
bel,2017,3605
bel,2018,3607
ben,1996,579
ben,1997,579
ben,1998,458
ben,1999,458
ben,2003,438
ben,2006,758
bfa,1995,622
bfa,1996,622
bfa,1997,622
bfa,1998,622
bfa,1999,622
bfa,2000,622
bfa,2001,622
bfa,2002,622
bfa,2003,622
bfa,2004,622
bfa,2005,622
bfa,2006,622
bfa,2007,622
bfa,2008,622
bfa,2009,622
bfa,2013,518
bfa,2014,518
bfa,2015,518
bfa,2016,518
bfa,2017,518
bfa,2018,518
bfa,2019,518
bgd,1995,2706
bgd,1996,2705
bgd,1997,2705
bgd,1998,2734
bgd,1999,2705
bgd,2000,2745
bgd,2001,2855
bgd,2002,2855
bgd,2003,2855
bgd,2004,2855
bgd,2005,2855
bgd,2006,2855
bgd,2007,2835
bgd,2008,2835
bgd,2009,2835
bgd,2010,2835
bgd,2011,2791
bgd,2012,2877
bgd,2013,2877
bgd,2014,2791
bgd,2015,2877
bgd,2016,2877
bgr,1995,4294
bgr,1996,4293
bgr,1997,4292
bgr,1998,4290
bgr,1999,4290
bgr,2000,4320
bgr,2001,4320
bgr,2002,4318
bgr,2003,4318
bgr,2004,4259
bgr,2005,4154
bgr,2006,4146
bgr,2007,4143
bgr,2008,4144
bgr,2009,4150
bgr,2010,4097
bgr,2011,4072
bgr,2012,4070
bgr,2013,4032
bgr,2014,4023
bgr,2015,4019
bgr,2016,4029
bgr,2017,4030
bgr,2018,4030
bgr,2019,4030
bih,1995,1032
bih,1996,963
bih,1997,963
bih,1998,1031
bih,1999,1031
bih,2000,943
bih,2001,1032
bih,2002,1032
bih,2003,1033
bih,2004,1000
bih,2005,1000
bih,2006,1024.495
bih,2007,1017.054
bih,2008,1017.054
bih,2009,1017.054
bih,2010,1027.054
bih,2011,1027.054
bih,2012,1027.054
bih,2013,1027.054
bih,2014,1027.054
bih,2015,1027.054
bih,2016,1018.054
bih,2017,1018.054
bih,2018,1018.054
blr,1995,5543
blr,1996,5547
blr,1997,5542
blr,1998,5531
blr,1999,5523
blr,2000,5512
blr,2001,5509
blr,2002,5512
blr,2003,5502
blr,2004,5498
blr,2005,5498
blr,2006,5494
blr,2007,5494
blr,2008,5491
blr,2009,5491
blr,2010,5482
blr,2011,5482
blr,2012,5462
blr,2013,5469
blr,2014,5470
blr,2015,5470
blr,2016,5459
blr,2017,5459
blr,2018,5459
blr,2019,5459
bol,2006,1244
bra,2004,512
bra,2007,32622
bwa,1995,971
bwa,1996,888
bwa,1997,888
bwa,1998,888
bwa,1999,888
bwa,2006,888
bwa,2007,888
bwa,2015,886
bwa,2016,886
can,2004,46543.6
can,2007,47537.6
can,2014,58651
can,2015,57264
can,2016,48498.4
can,2017,48150.4
can,2018,47687.4
che,1995,3232
che,1996,3234
che,1997,3184
che,1998,3151
che,1999,3143
che,2000,3216
che,2001,3225
che,2002,3222
che,2003,3231
che,2004,3381
che,2005,3399
che,2006,3563
che,2007,3349
che,2008,3557
che,2009,3599
che,2010,3573.621
che,2011,3551.185
che,2012,3557.787
che,2013,3611.016
che,2014,4018.719
che,2015,3976.315
che,2016,4034.485
che,2017,4050.523
che,2018,4046.846
che,2019,3236.24529
chl,1995,2742
chl,1996,2710
chl,1998,2208
chl,1999,2084
chl,2000,2035
chl,2001,2035
chl,2002,2035
chl,2004,2030
chl,2005,2120
chn,1995,54616
chn,1996,56678
chn,1997,57566
chn,1998,57583
chn,1999,57394
chn,2000,58656
chn,2001,59079
chn,2002,59530
chn,2003,60446
chn,2004,61015
chn,2005,62200
chn,2006,63411.7
chn,2007,63636.5
chn,2008,60809
chn,2009,65491
chn,2010,66239
chn,2011,66041
chn,2012,66298
chn,2013,66585
chn,2014,66989
chn,2015,67212
chn,2016,83717
chn,2017,67278
chn,2018,67515
chn,2019,68141
civ,1995,639
civ,1996,1955
civ,1997,1955
civ,1998,1955
civ,1999,1955
civ,2000,639
civ,2001,639
civ,2002,639
civ,2003,639
civ,2004,639
civ,2005,639
civ,2006,639
civ,2007,639
civ,2008,639
civ,2009,639
civ,2010,639
civ,2011,639
civ,2012,639
civ,2013,639
civ,2014,639
civ,2015,639
civ,2016,639
civ,2017,639
civ,2018,639
cmr,1995,1006
cmr,1996,1006
cmr,1997,1006
cmr,1998,1016
cmr,1999,1016
cmr,2000,1016
cmr,2001,1016
cmr,2002,1016
cmr,2003,988
cmr,2004,974
cmr,2005,982
cmr,2006,982
cmr,2007,976.5
cmr,2008,976.5
cmr,2009,976.5
cmr,2010,976.5
cmr,2011,976.5
cmr,2016,1004
cmr,2017,1004
cmr,2018,1004
cod,1995,4477
cod,1996,3641
cod,1997,3641
cod,1998,3641
cod,1999,3641
cod,2000,3641
cod,2001,3641
cod,2002,4499
cod,2003,4499
cod,2004,3641
cod,2005,3641
cod,2006,4007
cod,2007,4007
cod,2008,3641
cod,2009,3641
cod,2010,3641
cod,2011,3641
cod,2012,3641
cod,2013,3641
cod,2014,3641
cod,2015,3641
cod,2016,3641
cod,2017,3641
cod,2018,3641
cod,2019,3641
cog,1995,706
cog,1996,706
cog,1997,706
cog,1998,895
cog,1999,895
cog,2000,900
cog,2001,900
cog,2002,900
cog,2003,795
cog,2004,795
cog,2005,795
cog,2006,795
cog,2012,893.2
cri,1995,581
cri,1996,581
cri,1997,581
cri,1998,581
cri,1999,581
cri,2000,581
cri,2001,848
cub,1995,4693
cub,1996,4527
cub,1997,4509
cub,1998,4252
cub,1999,4179
cub,2000,4252
cub,2001,4382
cub,2002,4428
cub,2003,4538
cub,2004,4184
cub,2005,4065
cub,2006,4065
cub,2007,5075.6
cze,1995,9430
cze,1996,9435
cze,1997,9430
cze,1998,9430
cze,1999,9365
cze,2000,9365
cze,2001,9444
cze,2002,9499
cze,2003,9501
cze,2004,9511
cze,2005,9513
cze,2006,9491
cze,2007,9481
cze,2008,9486
cze,2009,9477
cze,2010,9468.848
cze,2011,9470.16
cze,2012,9468.265
cze,2013,9459.031
cze,2014,9457.612
cze,2015,9466.893
cze,2016,9462.687
cze,2017,9408
cze,2018,9406
cze,2019,9396
deu,1995,41718
deu,1996,40826
deu,1997,38450
deu,1998,38150
deu,1999,37589
deu,2000,36642
deu,2001,36050
deu,2002,35868
deu,2003,36054
deu,2004,34724.575
deu,2005,34228.19
deu,2006,34128.4
deu,2007,33977.603
deu,2008,33862.3
deu,2009,33721.305
deu,2010,33714.093
deu,2011,33575.872
deu,2012,33506
deu,2013,33449
deu,2014,33426
deu,2015,33332
deu,2016,33380
deu,2017,33488
deu,2018,33440
deu,2019,33422
dji,1999,781
dji,2000,781
dji,2001,781
dji,2002,781
dji,2003,781
dnk,1995,2349
dnk,1996,2349
dnk,1997,2232
dnk,1998,2264
dnk,1999,2324
dnk,2000,2047
dnk,2001,2047
dnk,2002,2273
dnk,2003,2273
dnk,2004,2212
dnk,2005,2134
dnk,2006,2133
dnk,2007,2133
dnk,2008,2131
dnk,2009,2131
dza,1995,4290
dza,1996,4219
dza,1997,4219
dza,1998,4272
dza,1999,3973
dza,2000,3973
dza,2001,3572
dza,2002,3572
dza,2003,3572
dza,2004,3572
dza,2005,3572
dza,2006,3572
dza,2007,3572
dza,2008,3572
dza,2009,4723
dza,2010,3664
dza,2011,4226
dza,2012,4175
dza,2014,3799.94
dza,2015,3799.94
dza,2016,3843.17
dza,2017,4016.25
dza,2018,4016.25
dza,2019,4020.25
ecu,1995,956
ecu,1996,956
ecu,1997,956
ecu,1998,956
ecu,1999,956
ecu,2000,956
egy,1995,4810
egy,1996,4940
egy,1997,4976
egy,1998,5006
egy,1999,5024
egy,2000,5062
egy,2001,5125
egy,2002,5150
egy,2003,5150
egy,2004,5150
egy,2005,5195
egy,2006,5063
egy,2007,5063
egy,2008,5195
egy,2009,5195
egy,2010,5195
egy,2015,5153
egy,2016,5153
esp,1995,13856
esp,1996,13837
esp,1997,13853
esp,1998,13862
esp,1999,13875
esp,2000,13868
esp,2001,13868
esp,2002,13856
esp,2003,14387
esp,2004,14395
esp,2005,14272
esp,2006,14472
esp,2007,15011.52
esp,2008,15041
esp,2009,15044
esp,2010,15590.12
esp,2011,15680.563
esp,2012,15438
esp,2014,15506
esp,2015,15711
esp,2016,15650
esp,2017,15559
esp,2018,15618
esp,2019,15718
est,1995,1021
est,1996,1021
est,1997,966
est,1998,966
est,1999,968
est,2000,968
est,2001,967
est,2002,967
est,2003,967
est,2004,959
est,2005,959
est,2006,962
est,2007,816
est,2008,816
est,2009,797
est,2010,787
est,2011,792
est,2012,792
est,2014,1018
est,2015,1034
est,2016,1034
est,2017,1033
eth,2016,754
eth,2017,754
eth,2018,754
fin,1995,5880
fin,1996,5859
fin,1997,5865
fin,1998,5867
fin,1999,5836
fin,2000,5854
fin,2001,5850
fin,2002,5850
fin,2003,5851
fin,2004,5741
fin,2005,5732
fin,2006,5905
fin,2007,5899
fin,2008,5919
fin,2009,5919
fin,2010,5919
fin,2011,5944
fin,2012,5944
fin,2013,5944
