geo,time,sh_h2o_smdw_zs
afg,2000,10.92753
afg,2001,10.93879
afg,2002,11.72537
afg,2003,12.51212
afg,2004,13.306
afg,2005,14.10727
afg,2006,14.90905
afg,2007,16.09388
afg,2008,17.3224
afg,2009,18.26376
afg,2010,19.11515
afg,2011,19.96687
afg,2012,20.81883
afg,2013,21.67102
afg,2014,22.52344
afg,2015,23.37621
afg,2016,24.22921
afg,2017,25.08389
afg,2018,25.94051
afg,2019,26.79896
afg,2020,27.58896
alb,2000,49.13832
alb,2001,49.0812
alb,2002,48.98477
alb,2003,48.88544
alb,2004,50.71768
alb,2005,52.57833
alb,2006,54.46708
alb,2007,56.38384
alb,2008,58.32848
alb,2009,60.30091
alb,2010,62.30063
alb,2011,64.3274
alb,2012,66.38085
alb,2013,68.45983
alb,2014,70.56326
alb,2015,70.59197
alb,2016,70.61651
alb,2017,70.63694
alb,2018,70.65335
alb,2019,70.66585
alb,2020,70.67454
and,2000,90.64
and,2001,90.64
and,2002,90.64
and,2003,90.64
and,2004,90.64
and,2005,90.64
and,2006,90.64
and,2007,90.64
and,2008,90.64
and,2009,90.64
and,2010,90.64
and,2011,90.64
and,2012,90.64
and,2013,90.64
and,2014,90.64
and,2015,90.64
and,2016,90.64
and,2017,90.64
and,2018,90.64
and,2019,90.64
and,2020,90.64
arm,2000,79.88402
arm,2001,80.00291
arm,2002,80.12921
arm,2003,80.25843
arm,2004,80.38827
arm,2005,80.51869
arm,2006,80.64977
arm,2007,80.78143
arm,2008,80.91374
arm,2009,81.04664
arm,2010,81.18017
arm,2011,81.79551
arm,2012,82.41307
arm,2013,83.03307
arm,2014,83.63866
arm,2015,84.12903
arm,2016,84.61969
arm,2017,85.42312
arm,2018,85.92296
arm,2019,86.42297
arm,2020,86.91066
asm,2000,77.83109
asm,2001,79.03462
asm,2002,80.23994
asm,2003,81.44705
asm,2004,82.65596
asm,2005,83.86666
asm,2006,85.07915
asm,2007,86.29343
asm,2008,87.50951
asm,2009,88.72738
asm,2010,89.94705
asm,2011,91.16851
asm,2012,92.39176
asm,2013,93.6168
asm,2014,94.84364
asm,2015,96.07227
asm,2016,97.30269
asm,2017,98.36197
asm,2018,98.36197
asm,2019,98.36197
asm,2020,98.36197
aut,2000,96.45435
aut,2001,96.66067
aut,2002,96.867
aut,2003,97.07333
aut,2004,97.27965
aut,2005,97.48597
aut,2006,97.69231
aut,2007,97.89863
aut,2008,98.10496
aut,2009,98.31128
aut,2010,98.51761
aut,2011,98.72394
aut,2012,98.91425
aut,2013,98.91265
aut,2014,98.91103
aut,2015,98.90942
aut,2016,98.90781
aut,2017,98.9062
aut,2018,98.90448
aut,2019,98.90262
aut,2020,98.90064
aze,2000,57.84359
aze,2001,59.60737
aze,2002,61.39782
aze,2003,63.21551
aze,2004,65.05965
aze,2005,66.92948
aze,2006,68.82512
aze,2007,70.74663
aze,2008,72.69288
aze,2009,74.66395
aze,2010,76.6651
aze,2011,78.69497
aze,2012,80.46702
aze,2013,81.96018
aze,2014,83.47031
aze,2015,84.99569
aze,2016,85.69377
aze,2017,86.38904
aze,2018,87.08107
aze,2019,87.74411
aze,2020,88.32276
bel,2000,99.4181
bel,2001,99.41809
bel,2002,99.4181
bel,2003,99.4181
bel,2004,99.4181
bel,2005,99.4181
bel,2006,99.4181
bel,2007,99.41809
bel,2008,99.4181
bel,2009,99.4181
bel,2010,99.46767
bel,2011,99.51724
bel,2012,99.56681
bel,2013,99.61638
bel,2014,99.66595
bel,2015,99.71552
bel,2016,99.7651
bel,2017,99.81467
bel,2018,99.86424
bel,2019,99.91381
bel,2020,99.91381
bgd,2000,55.26807
bgd,2001,55.27116
bgd,2002,55.24644
bgd,2003,55.2181
bgd,2004,55.18627
bgd,2005,55.15126
bgd,2006,55.11252
bgd,2007,55.07018
bgd,2008,55.02438
bgd,2009,54.97528
bgd,2010,54.92248
bgd,2011,54.8663
bgd,2012,55.20873
bgd,2013,55.56674
bgd,2014,55.9399
bgd,2015,56.32892
bgd,2016,56.73354
bgd,2017,57.15407
bgd,2018,57.59066
bgd,2019,58.04326
bgd,2020,58.51188
bgr,2000,89.7054
bgr,2001,90.21899
bgr,2002,90.73271
bgr,2003,91.24657
bgr,2004,91.7606
bgr,2005,92.27478
bgr,2006,92.78912
bgr,2007,93.30364
bgr,2008,93.81833
bgr,2009,94.33319
bgr,2010,94.84824
bgr,2011,95.36348
bgr,2012,95.87894
bgr,2013,96.39466
bgr,2014,96.91062
bgr,2015,97.25241
bgr,2016,97.32414
bgr,2017,97.39651
bgr,2018,97.46949
