global,time,ep_pmp_desl_cd
world,1998,0.36
world,2000,0.45
world,2002,0.43
world,2004,0.67
world,2006,0.86
world,2008,1.03
world,2010,1.07
world,2012,1.265
world,2014,1.17
world,2016,0.82
