geo,time,bm_gsr_cmcp_zs
abw,1986,64.41989
abw,1987,51.9573
abw,1988,60.74705
abw,1989,62.85555
abw,1990,59.75155
abw,1991,36.35676
abw,1992,31.28277
abw,1993,32.50743
abw,1994,45.54117
abw,1995,86.89129
abw,1996,80.46992
abw,1997,77.29778
abw,1998,69.91553
abw,1999,45.73886
abw,2000,32.32405
abw,2001,33.04571
abw,2002,37.182
abw,2003,36.68111
abw,2004,36.93492
abw,2005,44.29579
abw,2006,47.0174
abw,2007,44.55509
abw,2008,42.18563
abw,2009,43.93805
abw,2010,46.01974
abw,2011,43.4486
abw,2012,48.01464
abw,2013,46.90693
abw,2014,47.10851
abw,2015,44.01564
abw,2016,47.44313
abw,2017,46.74235
abw,2018,46.85469
abw,2019,45.20404
abw,2020,45.62299
afg,1979,34.99308
afg,1980,17.59388
afg,1981,16.37032
afg,1982,10.39886
afg,1983,9.82736
afg,1984,6.98267
afg,1985,9.60415
afg,1986,6.12245
afg,1987,13.49968
afg,1988,8.83333
afg,1989,10.92843
afg,2008,24.61314
afg,2009,28.24626
afg,2010,21.4738
afg,2011,24.5327
afg,2012,29.51479
afg,2013,19.55508
afg,2014,24.4807
afg,2015,13.178
afg,2016,10.9856
afg,2017,9.26028
afg,2018,13.5106
afg,2019,12.06885
afg,2020,12.17666
ago,1985,50.45242
ago,1986,51.46848
ago,1987,53.34279
ago,1988,64.89859
ago,1989,60.43064
ago,1990,68.7187
ago,1991,64.42901
ago,1992,63.55001
ago,1993,65.56585
ago,1994,72.02246
ago,1995,79.35673
ago,1996,82.14023
ago,1997,79.39871
ago,1998,82.56855
ago,1999,77.538
ago,2000,81.08036
ago,2001,84.30956
ago,2002,81.21321
ago,2003,71.77014
ago,2004,76.06069
ago,2005,77.70734
ago,2006,70.77908
ago,2007,74.0163
ago,2008,72.85286
ago,2009,73.59286
ago,2010,76.94338
ago,2011,81.81521
ago,2012,77.88192
ago,2013,74.58009
ago,2014,75.42429
ago,2015,72.36566
ago,2016,65.60427
ago,2017,64.83342
ago,2018,53.89245
ago,2019,49.96491
ago,2020,43.57979
alb,1980,51.42857
alb,1981,54.63918
alb,1982,51.13122
alb,1983,51.58371
alb,1984,60.20942
alb,1985,69.27374
alb,1986,62.94416
alb,1987,70.5
alb,1988,61.45038
alb,1989,63.44086
alb,1990,70.79038
alb,1991,83.23353
alb,1992,51.85185
alb,1993,61.51946
alb,1994,56.75472
alb,1995,43.38658
alb,1996,34.5301
alb,1997,29.34794
alb,1998,17.68665
alb,1999,18.57756
alb,2000,6.77848
alb,2001,8.17383
alb,2002,7.89211
alb,2003,16.29576
alb,2004,16.84007
alb,2005,23.29756
alb,2006,19.22854
alb,2007,16.62415
alb,2008,13.3267
alb,2009,9.52205
alb,2010,11.78277
alb,2011,8.66071
alb,2012,8.39399
alb,2013,12.64518
alb,2014,10.66451
alb,2015,11.12465
alb,2016,13.35885
alb,2017,15.43714
alb,2018,13.73231
alb,2019,13.33539
alb,2020,24.76323
and,2019,47.94964
arg,1976,38.14016
arg,1977,32.98862
arg,1978,29.01554
arg,1979,22.85004
arg,1980,19.13939
arg,1981,23.29645
arg,1982,35.72844
arg,1983,44.06475
arg,1984,34.51289
arg,1985,37.03704
arg,1986,34.68
arg,1987,28.13718
arg,1988,29.79275
arg,1989,33.0469
arg,1990,32.4359
arg,1991,22.98478
arg,1992,20.10969
arg,1993,17.12624
arg,1994,18.38035
arg,1995,18.60928
arg,1996,18.86118
arg,1997,18.59869
arg,1998,18.87007
arg,1999,19.5591
arg,2000,21.16303
arg,2001,23.69607
arg,2002,30.40427
