geo,time,se_sec_nenr_ma
abw,1999,74.67471
abw,2000,74.82148
abw,2001,70.60256
abw,2002,74.32069
abw,2003,69.89529
abw,2004,73.45557
abw,2005,74.53552
abw,2007,79.25072
abw,2008,71.15534
abw,2009,74.57757
abw,2011,73.36425
afg,1974,14.23008
afg,1993,20.64213
afg,2007,37.98502
afg,2013,58.91203
afg,2014,58.33682
afg,2015,57.33934
afg,2016,58.86204
afg,2017,61.08087
afg,2018,62.88953
ago,1972,4.634
ago,1982,9.45318
ago,2008,9.75279
ago,2009,10.22569
ago,2010,12.52422
alb,2000,67.50437
alb,2001,69.36766
alb,2013,83.80782
alb,2014,86.28554
alb,2015,86.97802
alb,2016,85.66043
alb,2017,85.06396
alb,2018,84.32964
are,1980,37.64446
are,1994,67.01412
are,1995,70.31429
are,1997,66.05783
are,1998,66.2942
are,2016,88.24077
are,2017,95.1514
arg,1974,38.48482
arg,1975,39.85312
arg,1998,72.26102
arg,1999,74.09156
arg,2000,76.6439
arg,2001,77.00817
arg,2002,76.86968
arg,2003,76.25386
arg,2004,75.70999
arg,2005,74.68905
arg,2006,74.10481
arg,2007,73.64578
arg,2008,74.25696
arg,2009,76.37201
arg,2010,78.50932
arg,2011,79.71058
arg,2012,82.54345
arg,2013,84.18274
arg,2014,85.02421
arg,2015,86.0714
arg,2016,87.66393
arg,2017,88.61459
arm,2007,91.29508
arm,2008,86.91052
arm,2009,92.94041
arm,2010,92.69174
arm,2011,87.45784
atg,2000,72.1871
atg,2009,91.59412
atg,2014,81.88976
atg,2015,84.3983
atg,2017,88.81234
atg,2018,87.87115
aus,1993,86.32434
aus,1994,86.22511
aus,1995,86.60701
aus,1996,88.51284
aus,2015,92.86773
aus,2016,92.40466
aus,2017,91.89515
aut,1999,88.90513
aut,2000,88.73173
aut,2002,88.96933
aut,2003,89.01378
aut,2004,89.32327
aut,2005,89.64801
aut,2006,89.35486
aut,2007,88.5386
aut,2008,88.43362
aut,2009,88.21897
aut,2010,86.73783
aut,2011,86.56224
aut,2012,86.05021
aut,2013,86.03004
aut,2014,86.40469
aut,2015,86.43909
aut,2016,87.22264
aut,2017,86.88993
aze,2018,88.86419
bdi,1976,2.83625
bdi,1977,2.8131
bdi,1980,2.86225
bdi,1982,3.14572
bdi,1983,3.18135
bdi,1984,3.26995
bdi,1985,3.43592
bdi,1986,3.70383
bdi,1987,3.99591
bdi,1993,6.10743
bdi,2009,14.35788
bdi,2010,16.67038
bdi,2011,18.32535
bdi,2012,19.40508
bdi,2013,21.75269
bdi,2014,25.68807
bdi,2015,27.74832
bdi,2016,30.43435
bdi,2017,25.22708
bdi,2018,24.03288
bel,1977,76.15987
bel,1993,95.6409
bel,1994,97.48127
bel,1995,98.58061
bel,1996,96.91298
bel,1999,92.47698
bel,2000,92.18191
bel,2001,93.00415
bel,2002,93.7274
bel,2003,95.84829
bel,2004,97.29944
bel,2005,96.89721
bel,2006,97.62784
bel,2007,95.89939
bel,2008,94.14133
bel,2009,92.99165
bel,2010,92.22014
bel,2011,92.13048
bel,2012,92.81516
bel,2013,93.20421
bel,2014,93.45839
bel,2015,93.23908
bel,2016,93.9077
bel,2017,94.81871
ben,2000,23.68254
ben,2001,25.34999
ben,2013,51.05923
ben,2015,53.18202
bfa,1983,3.24654
bfa,1986,4.59708
bfa,1989,6.87677
bfa,1992,8.64838
bfa,1993,8.88949
bfa,1994,8.76582
bfa,1999,10.77263
bfa,2001,9.58676
bfa,2003,11.24749
bfa,2004,12.49
bfa,2005,13.31641
bfa,2006,14.20713
bfa,2007,14.96155
bfa,2008,16.97223
bfa,2009,18.12525
