geo,time,dt_nfl_imfc_cd
alb,1992,13646638.1
alb,1993,4800797.4
alb,1995,-1184962.5
alb,1996,-8279530
alb,1997,4188818
alb,1998,-1165471.9
alb,2001,-5618157.2
alb,2002,-5714250.3
alb,2006,3582877.3
alb,2007,3727723.9
alb,2008,3849139.7
alb,2009,1878743.7
alb,2010,-154119.2
alb,2011,-799421.7
alb,2012,-1394673.1
alb,2013,-2012132.3
alb,2014,69416781.4
alb,2015,104318732.3
alb,2016,158106646.5
alb,2017,78166286.7
alb,2018,-6275845.5
alb,2019,-19734582.4
alb,2020,155446791.9
arm,1996,48997744.7
arm,1997,23221519.1
arm,1998,51286189.1
arm,1999,28612688.3
arm,2001,10581944.9
arm,2002,14971258
arm,2003,11451975.6
arm,2004,1948846.4
arm,2005,-22618075.4
arm,2006,-21516391.9
arm,2007,-13583611.7
arm,2008,-19645629.7
arm,2009,-23422596.5
arm,2010,35511501.7
arm,2011,36202608.2
arm,2012,26347559.2
arm,2013,23694039.6
arm,2014,-11643419
arm,2015,-6343631.1
arm,2016,-17475815.8
arm,2017,-23019858.4
arm,2018,-34854165.2
arm,2019,-36863310.1
arm,2020,-37167031.8
bdi,1991,5843697.8
bdi,1992,15821535.8
bdi,1993,-4173817.2
bdi,1994,-6114907
bdi,1995,-9070045.7
bdi,1996,-8678770.9
bdi,1997,-7951048.1
bdi,1998,-8725436
bdi,1999,-7042071.4
bdi,2000,-4540015.2
bdi,2001,-4381984.4
bdi,2002,-2504273.7
bdi,2004,39125130
bdi,2005,21125962
bdi,2006,21041127.3
bdi,2007,10945883.4
bdi,2008,21735388.5
bdi,2009,13421140.1
bdi,2010,20142309.3
bdi,2011,18558567
bdi,2012,7630221.4
bdi,2013,4986853.9
bdi,2014,-850993.8
bdi,2015,-10472447.9
bdi,2016,-18042959.6
bdi,2017,-16620060.4
bdi,2018,-17636655
bdi,2019,-16248595.4
bdi,2020,-22205490.5
bgd,1972,67856000
bgd,1973,906000
bgd,1974,0
bol,1990,30784543.7
bol,1991,31031814.5
bol,1992,45994016
bol,1993,-5066112
bol,1994,28632658.4
bol,1995,-611446.7
bol,1996,17264627.5
bol,1997,-11164218.4
bol,1998,10519095.9
bol,1999,272111.1
bol,2000,-5101911.3
bol,2001,3562112.8
bol,2002,-17063763.9
bol,2003,-18949543.6
bol,2004,-21795957.8
bol,2005,-22468864.1
civ,1981,376385000
civ,1982,127400000
civ,1983,165600000
civ,1984,14000000
civ,1985,-37800000
civ,1986,-66550000
col,1970,-43400000
col,1971,-1614870.3
col,1972,-57813525
col,1973,-46802681.3
col,1974,0
col,2020,5224001842.3
cpv,2002,3185374.1
cpv,2003,3441048
cpv,2004,1822875.4
cpv,2005,3678576.6
cpv,2006,0
cpv,2007,-188299.8
cpv,2008,-777731.7
cpv,2009,-1517802.8
cpv,2010,-2256854.2
cpv,2011,-2724656.2
cpv,2012,-2451752.8
cpv,2013,-1885515.9
cpv,2014,-1130606.1
cpv,2015,-348382
cpv,2020,33015691.6
dma,1992,-225378
dma,1993,-558557
dma,1994,-764721.4
dma,1995,-849653
dma,1996,-812999.6
dma,1997,-550436
dma,1998,-217084.4
dma,1999,-35552.2
dma,2003,3298370.4
dma,2004,912919.7
dma,2005,3533797.3
dma,2006,3416608.2
dma,2007,0
dma,2008,0
dma,2009,4285016.3
dma,2010,-1095619.6
dma,2011,-1691872.8
dma,2012,782116.8
dma,2013,-2346216.4
dma,2014,-1572818.9
dma,2015,6539508.5
dma,2016,-1556865.5
dma,2017,-1193981.8
dma,2018,-1509488.1
dma,2019,-1472874.4
dma,2020,13749572.9
eth,1978,14015524.5
eth,1979,10570281.5
eth,1980,8996555.5
eth,1981,119162.8
eth,1984,-2294548.7
eth,1985,-4515926.1
eth,1986,-6166357.1
eth,1987,-6884440.2
eth,1988,-7065286
eth,1989,-3863737
eth,1990,-1114624.5
eth,1991,-139591.8
gha,1979,34059796
gha,1980,28988901.1
gha,1981,280799.5
gha,1984,-1142148
gha,1985,-7195606
gha,1986,-11417267.2
gha,1987,40829864.9
gha,1988,102939980.6
gha,1989,165608691
gha,1990,-3618117.3
gha,1991,-448883.6
gin,1977,2998332.6
gin,1978,9241404.3
gin,1979,9395805.8
gin,1980,7996938.2
gin,1981,107364.5
gin,1983,-718452
gin,1984,-2041307.6
gin,1985,-4005801.3
gin,1986,-5484466.5
gin,1987,-6120812.2
gin,1988,-5378274.2
gin,1989,-3439418.2
gin,1990,-989721.4
gin,1991,-124537.8
gmb,1977,874513.7
gmb,1978,2695148.7
gmb,1979,2740443.4
gmb,1980,2332440.3
gmb,1981,30675.6
gmb,1983,-209548.5
gmb,1984,-595680.4
gmb,1985,-818028.9
gmb,1986,-2002246.9
gmb,1987,-1785291.5
gmb,1988,-1568719.3
gmb,1989,-1003751.2
gmb,1990,-289177.9
gmb,1991,-35582.2
gnb,1987,1964737.5
gnb,1989,2884342.5
gnb,1993,-418917.7
gnb,1994,-429618.8
gnb,1995,1251720.9
gnb,1996,1959909.8
gnb,1997,5109422.3
gnb,1998,2595515.3
gnb,1999,-615326.6
gnb,2000,6492142.6
gnb,2002,-1191278.1
gnb,2003,-2607363.2
gnb,2004,-3112226.2
gnb,2005,-2870471.6
gnb,2006,-3812416.8
gnb,2007,-3323568.2
gnb,2008,-1979105.9
gnb,2009,-1567162.2
gnb,2010,15709475.3
gnb,2011,7612639
gnb,2014,5394693
gnb,2015,3973513.9
gnb,2016,6099576.8
gnb,2017,6395637.8
gnb,2018,2237327.6
gnb,2019,-2000677.4
gnb,2020,-3401870
guy,1981,13280166.5
guy,1982,0
guy,1983,0
guy,1984,0
guy,1985,0
guy,1986,-657244
guy,1987,-924736.5
guy,1988,0
guy,1989,0
guy,1990,-12034143.1
guy,1991,-1540984.5
hnd,1979,9787297.7
hnd,1980,8330144
hnd,1981,110904
hnd,1985,-2068952.7
hnd,1986,-3280351.8
hnd,1987,-3588920.5
hnd,1988,-3757129.8
hnd,1990,-4826419.1
hnd,1991,-128643.5
hti,1971,-3490000
hti,1972,-1899794
hti,1973,546257.5
hti,1974,6499845
hti,1975,9768400
hti,1976,1183115.8
hti,1977,-1898920
hti,1978,3662671.7
hti,1979,533274.9
hti,1980,7986697.2
hti,1981,87194
hti,1982,-113647.5
hti,1983,-573200.2
hti,1984,-1638657.8
hti,1985,-2990538.4
hti,1986,-4222154.5
hti,1987,-28657733.9
hti,1988,-26627198.8
hti,1989,-5754644.7
hti,1990,-7009260.3
hti,1991,-4389094.3
hti,1995,2115029
hti,1998,-5325182.7
hti,1999,9574233.8
hti,2000,-5703096.3
hti,2002,-7282944
hti,2003,-10405443.4
hti,2004,-2777497.3
hti,2005,15308709.1
hti,2006,14931754.5
hti,2007,-30919299.3
ind,1970,-205000000
ind,1973,73930350
ind,1974,614807460
ind,1975,244537497
ind,1976,-337127140
ind,1977,-328322090
ind,1978,-252156706
ind,1979,-101632849.7
ind,1980,1025244187.1
ind,1981,667252856.5
ind,1982,1987672500
ind,1983,1318765687.5
ind,1984,68692922.5
ind,1985,-254347040.8
ind,1986,-629477788.3
ind,1987,-1059987669.7
ind,1988,-1222254154.5
ind,1989,-1008035400.1
ind,1990,1010058867.2
ind,1991,776787560.5
ind,1992,1292401986.6
ind,1993,188744787.9
ind,1994,-1152893401.5
ind,1995,-1726924256.5
ind,1996,-984822729.1
ind,1997,-618208441.5
ind,1998,-387529570.3
ind,1999,-263223058.2
ind,2000,-25390846.3
ken,1988,38176203
ken,1989,54610218
ken,1990,136396911.4
ken,1991,48219402.6
ken,1993,27613661.6
ken,1994,18490791.5
ken,1995,-39140175.4
ken,1996,-24596142
ken,1997,-67308691.1
ken,1998,-62510809.3
ken,1999,-59800176.6
ken,2000,1895410.2
ken,2001,-23660424.1
ken,2002,-18168285.9
ken,2003,15343437.2
ken,2004,-14090974.9
