geo,time,sh_sta_stnt_me_zs
bhr,2002,9.9
bhr,2003,9.4
bhr,2004,9
bhr,2005,8.6
bhr,2006,8.2
bhr,2007,7.8
bhr,2008,7.4
bhr,2009,7.1
bhr,2010,6.8
bhr,2011,6.6
bhr,2012,6.3
bhr,2013,6.1
bhr,2014,5.9
bhr,2015,5.8
bhr,2016,5.6
bhr,2017,5.5
bhr,2018,5.3
bhr,2019,5.2
bhr,2020,5.1
bih,2000,12.7
bih,2001,12.3
bih,2002,11.8
bih,2003,11.5
bih,2004,11.2
bih,2005,10.9
bih,2006,10.8
bih,2007,10.6
bih,2008,10.3
bih,2009,10
bih,2010,9.8
bih,2011,9.5
bih,2012,9.3
bih,2013,9.2
bih,2014,9.1
bih,2015,9
bih,2016,9
bih,2017,9.1
bih,2018,9.1
bih,2019,9.1
bih,2020,9.1
blr,2000,4.9
blr,2001,4.8
blr,2002,4.7
blr,2003,4.7
blr,2004,4.6
blr,2005,4.5
blr,2006,4.5
blr,2007,4.5
blr,2008,4.2
blr,2009,4.2
blr,2010,4.1
blr,2011,4
blr,2012,4
blr,2013,3.9
blr,2014,3.9
blr,2015,3.9
blr,2016,3.9
blr,2017,3.9
blr,2018,3.9
blr,2019,3.9
blr,2020,3.9
blz,2000,25.2
blz,2001,24.9
blz,2002,24.6
blz,2003,24.1
blz,2004,23.5
blz,2005,22.8
blz,2006,22.1
blz,2007,21.3
blz,2008,20.5
blz,2009,19.7
blz,2010,19
blz,2011,18.2
blz,2012,17.5
blz,2013,16.9
blz,2014,16.2
blz,2015,15.6
blz,2016,15.1
blz,2017,14.6
blz,2018,14.1
blz,2019,13.7
blz,2020,13.3
bol,2000,33.4
bol,2001,32.7
bol,2002,31.9
bol,2003,31
bol,2004,30
bol,2005,28.8
bol,2006,27.4
bol,2007,26
bol,2008,24.7
bol,2009,23.5
bol,2010,22.4
bol,2011,21.3
bol,2012,20.3
bol,2013,19.3
bol,2014,18.3
bol,2015,17.2
bol,2016,16.1
bol,2017,15.1
bol,2018,14.2
bol,2019,13.4
bol,2020,12.7
bra,2000,9.8
bra,2001,9.1
bra,2002,8.6
bra,2003,8.1
bra,2004,7.8
bra,2005,7.5
bra,2006,7.3
