geo,time,se_sec_nenr
abw,1999,77.81521
abw,2000,76.83175
abw,2001,72.41274
abw,2002,76.8075
abw,2003,72.36007
abw,2004,73.44491
abw,2005,75.12471
abw,2007,80.52762
abw,2008,74.48249
abw,2009,77.72432
abw,2011,76.94634
afg,1974,8.39304
afg,1993,14.51242
afg,2007,26.55995
afg,2013,46.1909
afg,2014,46.0584
afg,2015,45.43273
afg,2016,46.6585
afg,2017,48.44288
afg,2018,50.1407
ago,1972,4.46014
ago,1982,7.16385
ago,2008,9.15376
ago,2009,9.63002
ago,2010,11.29064
alb,2000,66.69051
alb,2001,68.41048
alb,2013,84.39599
alb,2014,86.39145
alb,2015,87.38842
alb,2016,86.48091
alb,2017,86.6726
alb,2018,86.60827
are,1978,26.75091
are,1980,37.28006
are,1991,57.81253
are,1992,60.24952
are,1993,64.12178
are,1994,69.27369
are,1995,72.8265
are,1997,70.25707
are,1998,69.90386
are,2016,87.06773
are,2017,92.79992
arg,1974,40.49867
arg,1975,41.97323
arg,1998,74.40915
arg,1999,76.26566
arg,2000,78.48781
arg,2001,78.94955
arg,2002,78.81052
arg,2003,78.51365
arg,2004,78.53653
arg,2005,77.93493
arg,2006,77.80917
arg,2007,77.68491
arg,2008,78.65304
arg,2009,80.56529
arg,2010,82.09918
arg,2011,83.52317
arg,2012,85.89363
arg,2013,87.09754
arg,2014,87.6325
arg,2015,88.44048
arg,2016,89.88468
arg,2017,90.79605
arm,2005,86.5328
arm,2006,88.92706
arm,2007,91.63539
arm,2008,86.10852
arm,2009,92.32107
arm,2010,92.50998
arm,2011,87.74122
atg,2000,70.69304
atg,2009,92.48712
atg,2014,83.36424
atg,2015,86.00054
atg,2017,87.74032
atg,2018,88.78981
aus,1993,87.30407
aus,1994,87.27602
aus,1995,87.42722
aus,1996,89.08954
aus,2015,93.23812
aus,2016,92.76952
aus,2017,92.28431
aut,1971,68.60957
aut,1972,68.57248
aut,1974,68.16386
aut,1975,70.17104
aut,1976,70.52792
aut,1999,88.47397
aut,2000,88.42819
aut,2002,88.40836
aut,2003,88.4619
aut,2004,88.60349
aut,2005,89.18387
aut,2006,89.26828
aut,2007,88.21249
aut,2008,88.16806
aut,2009,87.93998
aut,2010,86.79411
aut,2011,86.61554
aut,2012,86.14129
aut,2013,86.22208
aut,2014,86.55112
aut,2015,86.71155
aut,2016,87.37319
aut,2017,87.00131
aze,2018,88.53256
bdi,1976,2.05251
bdi,1977,2.07995
bdi,1980,2.15232
bdi,1982,2.51639
bdi,1983,2.3506
bdi,1984,2.42699
bdi,1985,2.633
bdi,1986,2.84889
bdi,1987,3.14835
bdi,1993,5.05246
bdi,2009,13.09097
bdi,2010,15.17589
bdi,2011,16.88675
bdi,2012,18.42151
bdi,2013,21.40103
bdi,2014,25.95054
bdi,2015,28.89895
bdi,2016,32.18514
bdi,2017,28.30495
bdi,2018,27.52277
bel,1977,78.01196
bel,1993,95.98406
bel,1994,97.97036
bel,1995,99.04244
bel,1996,97.67064
bel,1999,93.58057
bel,2000,93.23441
bel,2001,94.11793
bel,2002,94.64411
bel,2003,96.34794
bel,2004,97.69044
bel,2005,97.54728
bel,2006,97.9871
bel,2007,96.35917
bel,2008,94.63375
bel,2009,93.46701
bel,2010,92.69016
bel,2011,92.56495
bel,2012,93.15346
bel,2013,93.63938
bel,2014,93.83306
bel,2015,93.65346
bel,2016,94.11758
bel,2017,94.94691
ben,2000,17.4436
ben,2001,18.88049
ben,2013,43.42783
ben,2015,46.58049
bfa,1983,2.46756
bfa,1985,2.99355
bfa,1986,3.50964
bfa,1989,5.27344
bfa,1992,6.67478
bfa,1993,6.8609
bfa,1994,6.86524
bfa,1999,8.63831
bfa,2001,7.98013
bfa,2003,9.48721
bfa,2004,10.55512
bfa,2005,11.39514
bfa,2006,12.2104
bfa,2007,12.92052
bfa,2008,14.773
bfa,2009,15.822
bfa,2010,16.48295
bfa,2011,18.46052
bfa,2012,19.74492
bfa,2013,21.66185
bfa,2015,26.53378
bfa,2016,28.10485
bfa,2017,29.14227
bfa,2018,31.00148
bgd,1976,16.52433
bgd,1977,14.53011
bgd,1981,16.01118
bgd,1983,19.38873
bgd,1987,19.49982
bgd,1998,41.96004
bgd,1999,45.10087
bgd,2000,46.4506
bgd,2001,47.72372
bgd,2002,48.85865
bgd,2003,48.62257
bgd,2004,45.27481
bgd,2005,43.94428
bgd,2006,44.60284
bgd,2007,45.41006
bgd,2009,46.3405
bgd,2010,47.65124
bgd,2011,47.29212
bgd,2012,49.66535
bgd,2013,54.27441
bgd,2015,59.13634
bgd,2016,65.21977
bgd,2017,63.74088
bgd,2018,66.54968
bgr,1996,84.36506
bgr,1997,84.29781
bgr,1998,84.47823
bgr,1999,85.22409
bgr,2000,86.44825
bgr,2001,87.27445
bgr,2002,87.63113
bgr,2003,84.91763
bgr,2004,85.78885
bgr,2005,85.89795
bgr,2006,85.10716
bgr,2007,84.9176
bgr,2008,84.19548
bgr,2009,83.43903
bgr,2010,83.95626
bgr,2011,85.72393
bgr,2012,86.73715
bgr,2013,90.03958
bgr,2014,91.02326
bgr,2015,91.22931
bgr,2016,90.10467
bgr,2017,89.05757
bhr,1977,44.49664
bhr,1978,47.30355
bhr,1979,50.78448
bhr,1982,58.75061
bhr,1983,69.9067
bhr,1984,67.10597
bhr,1985,72.6233
bhr,1986,76.82985
bhr,1987,73.83914
bhr,1989,75.80844
bhr,1992,84.70331
bhr,1994,90.47407
bhr,1995,91.90458
bhr,1997,85.39812
bhr,1998,85.41438
bhr,1999,84.76823
bhr,2000,88.15098
bhr,2001,88.95659
bhr,2002,86.03916
bhr,2003,85.76261
bhr,2004,86.78134
bhr,2005,87.7959
bhr,2006,88.17757
bhr,2008,84.73309
bhr,2009,85.1202
bhr,2010,86.11679
bhr,2011,87.53958
bhr,2012,84.05848
bhr,2013,85.36073
bhr,2014,88.29499
bhr,2015,91.09603
bhr,2016,93.07504
bhr,2017,92.35773
bhr,2018,90.19346
bhs,1981,90.34744
bhs,1984,90.35065
bhs,1992,89.24923
bhs,1993,89.52996
bhs,1994,85.89953
bhs,1999,70.7111
bhs,2004,79.4314
bhs,2005,82.12592
bhs,2006,83.14323
bhs,2007,85.49348
bhs,2008,84.04865
bhs,2009,81.54506
bhs,2010,79.75847
bhs,2011,74.73581
bhs,2012,75.71744
bhs,2013,68.50649
bhs,2014,72.62728
bhs,2015,58.91371
bhs,2016,66.65546
bhs,2017,65.13657
bhs,2018,62.4958
blr,2010,94.90999
blr,2011,95.19412
blr,2012,96.37232
blr,2013,97.40129
blr,2014,98.06344
blr,2015,98.50839
blr,2016,97.60838
blr,2017,96.37553
blr,2018,95.63948
blz,1999,55.27524
blz,2000,58.59082
blz,2001,60.15394
blz,2003,68.07142
blz,2005,65.00642
blz,2006,64.72732
blz,2007,64.16498
blz,2008,63.37331
blz,2009,63.70928
blz,2010,63.64555
blz,2011,65.33882
blz,2012,67.45447
blz,2013,69.13129
blz,2014,69.22614
blz,2015,69.39745
blz,2016,72.08962
blz,2017,70.34414
blz,2018,71.149
bmu,1978,62.85371
bmu,2010,58.19615
bmu,2011,72.76762
bol,2000,62.3867
bol,2001,65.13454
bol,2002,69.4617
bol,2003,72.04412
bol,2004,74.14804
bol,2005,74.68435
bol,2006,74.05262
bol,2007,73.1655
bol,2008,72.09962
bol,2009,72.78282
bol,2010,72.78318
bol,2011,72.385
bol,2012,73.56987
bol,2013,75.20722
bol,2014,75.86576
bol,2015,76.68761
bol,2016,76.9402
bol,2017,76.1901
bol,2018,76.55438
bra,2007,73.1817
bra,2009,78.79924
bra,2011,77.95811
bra,2012,76.39968
bra,2013,82.04583
bra,2014,81.92489
bra,2015,81.68909
bra,2016,82.32779
bra,2017,81.72855
brb,1978,80.44977
brb,1981,84.61138
brb,1982,82.92038
brb,1983,82.91407
brb,1984,83.95341
brb,1985,87.79888
brb,1989,81.8244
brb,1990,78.87825
brb,1999,94.89956
brb,2000,91.89882
brb,2001,86.51719
brb,2002,87.64809
brb,2003,89.49912
brb,2004,93.05113
brb,2005,92.19581
brb,2006,91.74959
brb,2007,92.11493
brb,2008,88.21988
brb,2009,84.39782
brb,2010,85.18712
brb,2011,88.83452
brb,2014,99.28103
brb,2015,98.12713
brb,2016,95.9634
brb,2017,95.94098
brb,2018,93.63078
brn,1977,49.52034
brn,1978,49.22443
brn,1979,50.24547
brn,1980,51.61776
brn,1981,50.98676
brn,1982,52.35966
brn,1983,54.21818
brn,1984,51.35726
brn,1991,67.8667
brn,1992,64.05243
brn,1993,65.11097
brn,1994,66.4349
brn,2005,88.24888
brn,2006,89.34426
brn,2007,87.6805
brn,2008,87.52486
brn,2009,89.11406
brn,2010,90.15449
brn,2011,91.16476
brn,2012,93.3478
brn,2013,91.37788
brn,2014,87.44971
brn,2015,85.06305
brn,2016,83.7965
brn,2017,84.04573
brn,2018,82.64549
btn,1998,17.79326
btn,1999,19.61823
btn,2000,22.06706
btn,2001,24.15914
btn,2005,33.86471
btn,2006,36.80107
btn,2008,44.05713
btn,2009,45.84115
btn,2010,50.06988
btn,2011,51.61726
btn,2012,55.06652
btn,2013,58.16924
btn,2014,61.73468
btn,2015,63.7082
btn,2016,64.54163
btn,2017,67.06537
btn,2018,70.19893
bwa,1971,6.88741
bwa,1972,7.63231
bwa,1973,8.96617
bwa,1974,9.98217
bwa,1975,11.44689
bwa,1976,12.7657
bwa,1977,13.74645
bwa,1978,13.58212
bwa,1979,13.5333
bwa,1980,15.32198
bwa,1981,16.58011
bwa,1984,19.96255
bwa,1985,22.74431
bwa,1986,24.168
bwa,1989,28.63336
bwa,1990,31.77361
bwa,1991,39.68134
bwa,1992,40.16109
bwa,1993,43.78824
bwa,1994,43.10613
bwa,1995,43.08806
bwa,1998,62.07418
bwa,1999,56.64096
bwa,2000,59.25608
bwa,2002,58.0914
bwa,2003,59.78544
caf,1971,3.98638
caf,1972,4.76289
caf,1973,5.36927
caf,2009,10.45646
caf,2011,13.81829
caf,2012,13.61317
caf,2017,12.71989
can,1994,91.25919
can,2012,92.14326
can,2013,91.46145
can,2014,90.95273
can,2015,92.4135
can,2016,99.32178
can,2017,99.80968
che,1981,79.03838
che,1982,78.80167
che,1983,78.47525
che,1984,78.32774
che,1985,78.16349
che,1986,77.68906
che,1987,77.26125
che,1988,77.15978
che,1989,76.81958
che,1990,77.33685
che,1991,78.14829
che,1992,78.90112
che,1993,80.00502
che,1994,81.07155
che,1999,84.63215
che,2000,84.66111
che,2001,84.14402
che,2002,83.37213
che,2003,83.3568
che,2004,83.98112
che,2005,84.72205
che,2006,85.22291
che,2007,84.85637
che,2008,84.53242
che,2009,83.63971
che,2010,83.68751
che,2011,83.20701
che,2012,81.17079
che,2013,83.55855
che,2014,84.47933
che,2015,85.13441
che,2016,85.82816
che,2017,85.32946
chl,2007,86.66387
chl,2008,85.6857
chl,2009,83.55124
chl,2010,84.80201
chl,2011,85.24744
chl,2012,84.55065
chl,2013,87.8075
chl,2014,88.54193
chl,2015,88.96612
chl,2016,88.96576
chl,2017,88.65187
civ,2014,30.17366
civ,2016,34.6828
civ,2017,37.99436
civ,2018,40.19814
cmr,1971,6.86515
cmr,1972,7.65745
cmr,1973,8.48205
cmr,1974,9.10231
cmr,1975,10.14336
cmr,1976,11.10677
cmr,1977,12.03692
cmr,1978,13.14179
cmr,1979,13.7882
cmr,1980,14.2977
cmr,1981,15.14787
cmr,2012,39.66006
cmr,2013,41.01904
cmr,2014,43.96082
cmr,2015,45.01617
cmr,2016,45.99349
cod,1992,16.48841
cod,1993,17.6214
cod,1994,18.30653
cog,1972,17.23066
cog,1974,28.10853
cog,1976,36.2393
col,2005,63.648
col,2006,67.7345
col,2007,70.40955
col,2008,71.39134
col,2009,74.13559
col,2010,75.30739
col,2011,77.26227
col,2012,75.66677
col,2013,76.31163
col,2014,75.58286
col,2015,75.60237
col,2016,76.20192
col,2017,76.5618
col,2018,77.47078
com,2013,44.41592
com,2014,44.7685
com,2017,42.9786
com,2018,50.35748
cpv,1987,9.57087
cpv,1994,24.11817
cpv,2002,57.2428
cpv,2003,57.62792
cpv,2004,57.0896
cpv,2005,60.3446
cpv,2006,60.58402
cpv,2007,62.50202
cpv,2009,65.28223
cpv,2010,65.4943
cpv,2012,69.36106
cpv,2013,70.65632
cpv,2014,71.03095
cpv,2015,71.74531
cpv,2016,71.59851
cpv,2017,71.43748
cpv,2018,70.42826
cri,1970,22.11069
cri,1973,30.44245
cri,1974,33.50941
cri,1975,33.62549
cri,1976,34.14619
cri,1979,37.68889
cri,1981,38.97336
cri,1982,37.55369
cri,1985,34.70914
cri,1986,35.40541
cri,1987,36.18808
cri,1989,36.58867
cri,1990,37.34656
cri,1991,37.77787
cri,1992,40.09984
cri,1993,40.88592
cri,1994,42.77224
cri,1995,42.9093
cri,1996,42.42682
cri,2011,75.30508
cri,2012,75.64349
cri,2013,76.95778
cri,2014,77.99166
cri,2015,80.32835
cri,2016,82.5849
cri,2017,81.86735
cri,2018,82.44799
cub,1972,20.5345
cub,1973,22.57113
cub,1974,26.69317
cub,1979,59.78832
cub,1986,67.6805
cub,1987,66.90236
cub,1988,67.3895
cub,1989,68.64962
cub,1990,68.61211
cub,1991,68.55566
cub,1992,66.64532
cub,1994,59.87241
cub,1999,75.76883
cub,2000,80.49006
cub,2001,82.25167
cub,2002,82.60463
cub,2003,85.11799
cub,2004,85.1098
cub,2005,86.64633
cub,2006,88.66745
cub,2007,88.32925
