geo,time,sl_tlf_advn_fe_zs
afg,2014,67.79
afg,2017,48.64
afg,2020,34.03
ago,2004,84.34
ago,2009,51.65
ago,2011,88.19
ago,2014,59.57
alb,2007,81.66
alb,2008,82.75
alb,2009,83.72
alb,2010,78.33
alb,2011,74.29
alb,2012,74.38
alb,2013,73.86
alb,2014,74.79
alb,2015,72.39
alb,2016,75.26
alb,2017,73.09
alb,2018,49.72
alb,2019,51.45
are,2017,56.58
are,2018,52.42
arg,2004,80.51
arg,2005,80.51
arg,2006,81.55
arg,2008,79.77
arg,2009,80.55
arg,2010,79.86
arg,2011,79.08
arg,2012,78.55
arg,2013,77.83
arg,2014,78.35
arg,2017,74.34
arg,2018,75.39
arg,2019,76.26
arg,2020,73.31
arm,2007,46.61
arm,2008,63.77
arm,2009,56.12
arm,2010,62.47
arm,2011,62.11
arm,2012,61.45
arm,2013,61.19
arm,2014,66.35
arm,2015,69.76
arm,2016,66.23
arm,2017,65.73
arm,2018,57.62
arm,2019,59.45
arm,2020,57.97
aus,2009,82.59
aus,2010,81.88
aus,2011,82.29
aus,2012,82.44
aus,2013,78.25
aus,2014,77.04
aus,2015,78.22
aus,2016,77.2
aus,2017,78.2
aut,1995,82.87
aut,1996,79.86
aut,1997,79.57
aut,1998,79.38
aut,1999,75.49
aut,2000,76.85
aut,2001,76.53
aut,2002,75.35
aut,2003,76.49
aut,2004,73.1
aut,2005,76.69
aut,2006,77.32
aut,2007,77.52
aut,2008,75.52
aut,2009,76.4
aut,2010,74.6
aut,2011,76.52
aut,2012,77.76
aut,2013,78.14
aut,2014,77.51
aut,2015,77.32
aut,2016,77.86
aut,2017,78.13
aut,2018,76.81
aut,2019,76.68
aut,2020,77.14
bdi,2014,71.84
bel,1992,78.29
bel,1993,78.27
bel,1994,77.92
bel,1995,77.7
bel,1996,78.09
bel,1997,78.07
bel,1998,77.2
bel,1999,79.36
bel,2000,78.73
bel,2001,77.5
bel,2002,76.86
bel,2003,77.12
bel,2004,77.68
bel,2005,76.91
bel,2006,76.58
bel,2007,77.65
bel,2008,77.02
bel,2009,76.76
bel,2010,75.88
bel,2011,75.11
bel,2012,75.13
bel,2013,74.79
bel,2014,75.08
bel,2015,74.29
bel,2016,75.02
bel,2017,74.97
bel,2018,74.69
bel,2019,74.28
bel,2020,74.29
ben,2011,56.09
ben,2018,32.06
bfa,2014,48.09
bfa,2018,60.74
bgd,2006,41.69
bgd,2010,68.45
bgd,2013,54.69
bgd,2016,52.88
bgd,2017,56.72
bgr,2000,74.65
bgr,2001,73.25
bgr,2002,73.15
bgr,2003,72.71
bgr,2004,73.79
bgr,2005,72.07
bgr,2006,73.33
bgr,2007,74.17
bgr,2008,74.82
bgr,2009,73.79
bgr,2010,74.07
bgr,2011,72.9
bgr,2012,72.79
bgr,2013,72.66
bgr,2014,72.23
bgr,2015,73.06
bgr,2016,72.45
bgr,2017,73.24
bgr,2018,72.58
bgr,2019,73.59
bgr,2020,73.08
bih,2006,59.27
bih,2007,83.33
bih,2008,85.08
bih,2009,85.32
bih,2010,83.24
bih,2011,87.54
bih,2012,85.03
bih,2013,84.03
bih,2014,84.32
bih,2015,82.8
bih,2016,80.96
bih,2017,77.06
bih,2018,80.15
bih,2019,77.16
bih,2020,81.11
blr,2020,81.65
blz,2012,85.33
blz,2013,79.32
blz,2014,82.16
blz,2015,81.94
blz,2016,79.82
blz,2017,78.76
blz,2019,81.51
bol,1999,81.3
bol,2000,71.21
bol,2001,78.73
bol,2002,83.75
bol,2004,64.87
bol,2005,81.98
bol,2006,80.89
bol,2007,80.71
bol,2008,75.35
bol,2009,84.83
bol,2011,75.69
bol,2012,80.1
bol,2013,73.19
bol,2014,76.8
bol,2015,73.48
bol,2016,71.31
bol,2017,70.46
bol,2018,72.87
bol,2019,76.04
bol,2020,72.28
bra,1995,81.27
bra,1996,80.27
bra,1997,80.37
bra,1998,79.81
bra,1999,79.26
bra,2001,79.95
bra,2002,80.58
bra,2003,80.16
bra,2004,80.02
bra,2005,81.26
bra,2006,80.22
bra,2007,80.75
bra,2008,80.1
bra,2009,80.26
bra,2011,78.82
bra,2012,75.99
bra,2013,78.73
bra,2014,80.84
bra,2015,78.08
bra,2016,78.21
bra,2017,78.33
bra,2018,78.12
bra,2019,78.5
bra,2020,73.45
brb,2015,81.94
brb,2016,84.14
brb,2017,83.21
brb,2018,81.79
brb,2019,81.46
brn,2014,82.79
brn,2017,82.12
brn,2018,83.49
brn,2019,78.69
btn,2014,47.33
btn,2015,54.48
bwa,2006,41.58
bwa,2009,84.56
bwa,2010,69.62
bwa,2019,74.08
bwa,2020,75.02
can,1990,75.43
can,1991,75.46
can,1992,75.16
can,1993,74.95
can,1994,74.23
can,1995,74.38
can,1996,74.19
can,1997,73.77
can,1998,74.23
can,1999,74.13
can,2000,74.24
can,2001,74.47
can,2002,74.81
can,2003,75.37
can,2004,75.13
can,2005,74.72
can,2006,74.45
can,2007,74.71
can,2008,74.48
can,2009,75.05
can,2010,74.37
can,2011,74.08
can,2012,74.13
can,2013,73.72
can,2014,73.14
can,2015,72.93
can,2016,72.76
can,2017,72.61
can,2018,72.23
can,2019,72.1
can,2020,69.95
can,2021,70.88
che,1996,77.35
che,1997,81.1
che,1998,78.72
che,1999,77.48
che,2000,76.74
che,2001,79.87
che,2002,79.58
che,2003,80.05
che,2004,79.96
che,2005,81.17
che,2006,80.83
che,2007,80.59
che,2008,81.17
che,2009,81.37
che,2010,77.81
che,2011,78.3
che,2012,79.42
che,2013,79.69
che,2014,79.6
che,2015,79.36
che,2016,80.03
che,2017,80.28
che,2018,80.42
che,2019,80.63
che,2020,80.57
chl,1998,80.93
chl,2000,84.41
chl,2003,82.62
chl,2006,79.2
chl,2009,76.64
chl,2010,77.42
chl,2011,78.56
chl,2012,79.44
chl,2013,78.11
chl,2014,76.16
chl,2015,77.59
chl,2016,76.33
chl,2017,76.58
chl,2018,77.2
chl,2019,78.69
chl,2020,75.44
civ,2012,71.05
civ,2013,73.84
civ,2016,51.71
civ,2017,31.19
cmr,2007,71.4
cmr,2014,72.08
cod,2005,68.68
cod,2012,48.75
cog,2005,72.66
cog,2009,49
col,2002,79.31
col,2003,79.16
col,2004,77.69
col,2005,78.05
col,2007,71.61
col,2008,71.71
col,2009,73.67
col,2010,75.01
col,2011,75.55
col,2012,76.72
col,2013,76.17
col,2014,75.84
col,2015,76.06
col,2016,75.38
col,2017,75.06
col,2018,73.76
col,2019,73.41
com,2004,74.81
com,2014,75.6
cpv,2015,74.09
cpv,2017,66.99
cpv,2018,68.48
cpv,2019,68.02
cri,2001,75.35
cri,2002,74.85
cri,2003,74.97
cri,2004,71.91
cri,2005,73.67
cri,2006,73.93
cri,2007,74.51
cri,2008,74.67
cri,2009,74.62
cri,2010,69.56
cri,2011,68.54
cri,2012,72.59
cri,2013,75.69
cri,2014,72.32
cri,2015,74.98
cri,2016,70.03
cri,2017,70.7
cri,2018,70.3
cri,2019,74.76
cri,2020,73.96
cub,2009,83.72
cub,2010,84.17
cym,2011,87.57
cym,2012,87.91
cym,2014,85.98
cym,2015,83.77
cyp,2000,81.84
cyp,2001,84.9
cyp,2002,83.58
cyp,2003,87.17
cyp,2004,85.51
cyp,2005,83.01
cyp,2006,83.24
cyp,2007,84.7
cyp,2008,84.38
cyp,2009,84.19
cyp,2010,82.47
cyp,2011,81.91
cyp,2012,81.53
cyp,2013,81.74
cyp,2014,82.9
cyp,2015,83.06
cyp,2016,81.21
cyp,2017,80.75
cyp,2018,79.58
cyp,2019,80.86
cyp,2020,81.13
cze,1998,78.26
cze,1999,75.81
cze,2000,74.21
cze,2001,76.65
cze,2002,75.18
cze,2003,74.26
cze,2004,74.13
cze,2005,73.23
cze,2006,72.62
cze,2007,72.21
cze,2008,71
cze,2009,70.1
cze,2010,68.61
cze,2011,68.23
cze,2012,69.44
cze,2013,70.79
cze,2014,71.17
cze,2015,70.75
cze,2016,70.56
cze,2017,71.7
cze,2018,72.44
cze,2019,71.12
cze,2020,69.99
deu,1992,75.88
deu,1993,77.14
deu,1994,76.6
deu,1995,76.89
deu,1996,77.01
deu,1997,76.52
deu,1999,75.54
deu,2000,74.97
deu,2001,74.59
deu,2002,74.15
deu,2003,74.66
deu,2004,74.54
deu,2005,73.96
deu,2006,74.63
deu,2007,74.14
deu,2008,73.79
deu,2009,74.23
deu,2010,74.19
deu,2011,75.15
deu,2012,74.88
deu,2013,74.62
deu,2014,74.4
deu,2015,74.08
deu,2016,74.29
deu,2017,73.8
deu,2018,73.67
deu,2019,74.12
deu,2020,74.14
dji,2017,57.27
dnk,1992,88.38
dnk,1993,84.97
dnk,1994,84.95
dnk,1995,84.2
dnk,1996,82.73
dnk,1997,83.52
dnk,1998,83.04
dnk,1999,81.54
dnk,2000,82.19
dnk,2001,81.94
dnk,2002,80.92
dnk,2003,79.72
dnk,2004,80.82
dnk,2005,80.38
dnk,2006,80.21
dnk,2007,80.27
dnk,2008,78.91
dnk,2009,77.69
dnk,2010,77.22
dnk,2011,78.31
dnk,2012,78
dnk,2013,77.45
dnk,2014,75.68
dnk,2015,75.71
dnk,2016,75.01
dnk,2017,75.29
dnk,2018,74.53
dnk,2019,74.95
dnk,2020,75.46
dom,2000,79.47
dom,2001,76.04
dom,2002,78.66
dom,2003,79.88
dom,2004,78.13
dom,2005,79.32
dom,2006,77.58
dom,2007,74.81
