geo,time,gc_rev_gotr_zs
afg,2006,76.19533
afg,2007,83.23912
afg,2008,92.91623
afg,2009,88.25339
afg,2010,88.78279
afg,2011,90.15175
afg,2012,88.01647
afg,2013,88.93533
afg,2014,87.50378
afg,2015,85.43192
afg,2016,81.02652
afg,2017,78.82995
ago,1999,61.21331
ago,2000,45.62557
ago,2001,29.75182
ago,2002,41.62512
ago,2003,41.93809
ago,2004,34.74364
ago,2005,29.94931
ago,2006,45.99552
ago,2007,50.06971
ago,2008,36.58875
ago,2009,16.18501
ago,2010,49.75901
ago,2011,61.97014
ago,2012,56.67511
ago,2013,57.71099
ago,2014,54.18743
ago,2015,35.65124
ago,2016,31.99141
ago,2017,38.62005
ago,2018,52.69483
ago,2019,49.03435
alb,1995,22.47186
alb,1996,17.43623
alb,1997,23.68706
alb,1998,30.42706
alb,2002,16.58576
alb,2003,13.25179
alb,2004,10.22447
alb,2011,8.57466
alb,2012,8.01813
alb,2013,8.63329
alb,2014,8.11309
alb,2015,8.55679
alb,2016,9.91821
alb,2017,7.90448
alb,2018,7.27359
alb,2019,7.15108
are,1997,84.33881
are,1998,83.80179
are,1999,82.32675
are,2011,85.72653
are,2012,84.56577
are,2013,83.40961
are,2014,82.94201
are,2015,92.16427
are,2016,92.21187
are,2017,91.80272
are,2018,91.88686
are,2019,77.10667
arg,1990,9.82498
arg,1991,10.71018
arg,1992,7.50738
arg,1993,9.61547
arg,1994,8.51916
arg,1995,7.76961
arg,1996,7.38646
arg,1997,8.73544
arg,1998,8.48999
arg,1999,10.91761
arg,2000,8.70591
arg,2001,9.47766
arg,2002,10.59071
arg,2003,11.05023
arg,2004,5.3949
arg,2005,4.00594
arg,2006,5.99479
arg,2007,4.3683
arg,2008,5.90226
arg,2009,11.87816
arg,2010,11.36551
arg,2011,6.98405
arg,2012,7.65723
arg,2013,10.52999
arg,2014,14.31419
arg,2015,13.18193
arg,2016,11.058
arg,2017,8.46161
arg,2018,9.24834
arg,2019,13.53501
arm,2004,11.93045
arm,2005,13.99968
arm,2006,14.4968
arm,2007,15.36024
arm,2008,13.01428
arm,2009,13.98097
arm,2010,14.60723
arm,2011,16.08625
arm,2012,11.29206
arm,2013,8.03537
arm,2014,12.14844
arm,2015,11.13461
arm,2016,9.57739
arm,2017,9.01802
arm,2018,8.02292
arm,2019,7.77491
aus,1972,12.53439
aus,1973,12.50645
aus,1974,11.04219
aus,1975,9.95677
aus,1976,10.08609
aus,1977,10.58254
aus,1978,11.46079
aus,1979,11.00455
aus,1980,10.08508
aus,1981,9.2171
aus,1982,9.31005
aus,1983,10.33528
aus,1984,10.85744
aus,1985,10.36297
aus,1986,11.34014
aus,1987,11.27648
aus,1988,9.72788
aus,1989,8.41067
aus,1990,7.60245
aus,1991,7.19757
aus,1992,8.4732
aus,1993,8.58087
aus,1994,9.23587
aus,1995,7.44087
aus,1996,6.96607
aus,1997,6.83242
aus,1998,6.32868
aus,1999,10.76096
aus,2000,11.11428
aus,2001,8.23004
aus,2002,9.4578
aus,2003,8.72461
aus,2004,8.7659
aus,2005,8.47569
aus,2006,9.14902
aus,2007,9.03645
aus,2008,9.09725
aus,2009,10.2357
aus,2010,12.29889
aus,2011,10.71662
aus,2012,10.1322
aus,2013,10.43191
aus,2014,10.25684
aus,2015,10.87574
aus,2016,10.55657
aus,2017,11.41453
aus,2018,10.88178
aus,2019,11.36823
aut,1972,6.45771
aut,1973,5.57387
aut,1974,5.53533
aut,1975,6.38474
aut,1976,6.5461
aut,1977,6.24852
aut,1978,6.96873
aut,1979,8.11304
aut,1980,8.4904
aut,1981,9.32124
aut,1982,9.19083
aut,1983,8.67254
aut,1984,8.25656
aut,1985,8.87591
aut,1986,8.60991
aut,1987,9.32507
aut,1988,8.9504
aut,1989,9.45795
aut,1990,9.28175
aut,1991,9.44991
aut,1992,9.40753
aut,1993,8.81637
aut,1994,9.1209
aut,1995,8.19825
aut,1996,7.06756
aut,1997,5.69774
aut,1998,5.54881
aut,1999,6.62498
aut,2000,7.00487
aut,2001,6.90731
aut,2002,7.48893
aut,2003,7.27646
aut,2004,7.61518
aut,2005,9.54813
aut,2006,9.74119
aut,2007,9.71821
aut,2008,9.16255
aut,2009,10.48143
aut,2010,9.81209
aut,2011,9.67723
aut,2012,9.53361
aut,2013,9.02886
aut,2014,8.70692
aut,2015,8.75958
aut,2016,9.46623
aut,2017,8.50876
aut,2018,8.5938
aut,2019,8.58482
aze,1994,0.17782
aze,1995,0.24606
aze,1996,8.56796
aze,1997,6.84825
aze,1998,7.56781
aze,1999,7.20866
aze,2008,61.86503
aze,2009,58.85186
aze,2010,68.46146
aze,2011,67.95136
aze,2012,62.76358
aze,2013,60.12659
aze,2014,56.96999
aze,2015,44.68735
aze,2016,49.21329
aze,2017,54.01595
aze,2018,59.72054
aze,2019,59.62429
bdi,1973,44.69167
bdi,1974,45.45776
bdi,1975,47.40792
bdi,1976,47.78897
bdi,1977,30.18023
bdi,1978,24.05652
bdi,1979,20.05453
bdi,1980,25.87707
bdi,1981,35.41252
bdi,1991,38.26579
bdi,1992,38.61429
bdi,1993,39.92086
bdi,1994,26.25568
bdi,1995,30.45853
bdi,1996,26.37876
bdi,1997,23.99319
bdi,1998,19.60202
bdi,1999,19.22293
bel,1995,2.67504
bel,1996,2.82349
bel,1997,2.86589
bel,1998,2.3729
bel,1999,2.39916
bel,2000,2.50487
bel,2001,3.25932
bel,2002,2.96521
bel,2003,2.80173
bel,2004,2.42401
bel,2005,2.98717
bel,2006,2.9651
bel,2007,2.78664
bel,2008,3.26625
bel,2009,3.18282
bel,2010,3.64886
bel,2011,4.0241
bel,2012,4.022
bel,2013,4.13789
bel,2014,4.15272
