global,time,ip_pat_resd
world,1985,651100
world,1986,675000
world,1987,712400
world,1988,714900
world,1989,705400
world,1990,687700
world,1991,601000
world,1992,635700
world,1993,649200
world,1994,637000
world,1995,703000
world,1996,707700
world,1997,737100
world,1998,756400
world,1999,791400
world,2000,874800
world,2001,896400
world,2002,888900
world,2003,924800
world,2004,966600
world,2005,1038800
world,2006,1075200
world,2007,1125000
world,2008,1162200
world,2009,1146400
world,2010,1236900
world,2011,1365300
world,2012,1519700
world,2013,1700600
world,2014,1791100
world,2015,1964500
world,2016,2207100
world,2017,2243300
world,2018,2378500
world,2019,2231800
world,2020,2304400
