global,time,ag_lnd_crop_zs
world,1961,0.70559
world,1962,0.72134
world,1963,0.72136
world,1964,0.7319
world,1965,0.73664
world,1966,0.74132
world,1967,0.74569
world,1968,0.75547
world,1969,0.76438
world,1970,0.77458
world,1971,0.78434
world,1972,0.7928
world,1973,0.80605
world,1974,0.81657
world,1975,0.82657
world,1976,0.84051
world,1977,0.8538
world,1978,0.86545
world,1979,0.87847
world,1980,0.89378
world,1981,0.90162
world,1982,0.9083
world,1983,0.90777
world,1984,0.91617
world,1985,0.93691
world,1986,0.96345
world,1987,0.99379
world,1988,1.01575
world,1989,1.02783
world,1990,1.05052
world,1991,1.05972
world,1992,0.92825
world,1993,0.94817
world,1994,0.97097
world,1995,0.9802
world,1996,0.99065
world,1997,1.00258
world,1998,1.01473
world,1999,1.03744
world,2000,1.05267
world,2001,1.0712
world,2002,1.0818
world,2003,1.10076
world,2004,1.12463
world,2005,1.14727
world,2006,1.16931
world,2007,1.19533
world,2008,1.20739
world,2009,1.2259
world,2010,1.24939
world,2011,1.25074
world,2012,1.26511
world,2013,1.27387
world,2014,1.27589
world,2015,1.28587
world,2016,1.29371
world,2017,1.31698
world,2018,1.32033
