geo,time,lp_lpi_cust_xq
afg,2007,1.3
afg,2010,2.22
afg,2012,2.33
afg,2014,2.16345
afg,2016,2.01115
afg,2018,1.73
ago,2007,2.4
ago,2010,1.75
ago,2012,2.33
ago,2014,2.36842
ago,2016,1.79683
ago,2018,1.57
alb,2007,2
alb,2010,2.07
alb,2012,2.43
alb,2016,2.23439
alb,2018,2.35
are,2007,3.52
are,2010,3.49
are,2012,3.61
are,2014,3.41979
are,2016,3.83505
are,2018,3.63
arg,2007,2.65
arg,2010,2.63
arg,2012,2.45
arg,2014,2.54625
arg,2016,2.62857
arg,2018,2.42
arm,2007,2.1
arm,2010,2.1
arm,2012,2.27
arm,2014,2.625
arm,2016,1.94666
arm,2018,2.57
aus,2007,3.58
aus,2010,3.68
aus,2012,3.6
aus,2014,3.85385
aus,2016,3.54396
aus,2018,3.87
aut,2007,3.83
aut,2010,3.49
aut,2012,3.77
aut,2014,3.53124
aut,2016,3.79087
aut,2018,3.71
aze,2007,2.23
aze,2010,2.14
aze,2012,1.92
aze,2014,2.57143
bdi,2007,2.2
bdi,2012,1.67
bdi,2014,2.6
bdi,2016,2.01698
bdi,2018,1.69
bel,2007,3.61
bel,2010,3.83
bel,2012,3.85
bel,2014,3.80149
bel,2016,3.8297
bel,2018,3.66
ben,2007,1.8
ben,2010,2.38
ben,2012,2.59
ben,2014,2.64394
ben,2016,2.19715
ben,2018,2.56
bfa,2007,2.13
bfa,2010,2.22
bfa,2012,2.12
bfa,2014,2.5
bfa,2016,2.55172
bfa,2018,2.41
bgd,2007,2
bgd,2010,2.33
bgd,2014,2.09091
bgd,2016,2.56721
bgd,2018,2.3
bgr,2007,2.47
bgr,2010,2.5
bgr,2012,2.97
bgr,2014,2.75
bgr,2016,2.4
bgr,2018,2.94
bhr,2007,3.4
bhr,2010,3.05
bhr,2012,2.67
bhr,2014,3.29
bhr,2016,3.14108
bhr,2018,2.67
bhs,2010,2.38
bhs,2012,2.69
bhs,2014,3.00174
bhs,2016,2.65479
bhs,2018,2.68
bih,2007,2.32
bih,2010,2.33
bih,2012,2.65
bih,2014,2.4088
bih,2016,2.69231
bih,2018,2.63
blr,2007,2.67
blr,2012,2.24
blr,2014,2.50076
blr,2016,2.06239
blr,2018,2.35
bol,2007,2
bol,2010,2.26
bol,2012,2.4
bol,2014,2.39799
bol,2016,1.96735
bol,2018,2.32
bra,2007,2.39
bra,2010,2.37
bra,2012,2.51
bra,2014,2.48101
bra,2016,2.75718
bra,2018,2.41
brn,2016,2.78182
brn,2018,2.62
btn,2007,1.95
btn,2010,2.14
btn,2012,2.29
btn,2014,2.09091
btn,2016,2.20952
btn,2018,2.14
bwa,2010,2.09
bwa,2012,2.82
bwa,2014,2.38462
bwa,2016,3.04939
caf,2014,2.47024
caf,2018,2.24
can,2007,3.82
can,2010,3.71
can,2012,3.58
can,2014,3.60802
can,2016,3.95207
can,2018,3.6
che,2007,3.85
che,2010,3.73
che,2012,3.88
che,2014,3.91906
che,2016,3.87991
che,2018,3.63
chl,2007,3.32
chl,2010,2.93
chl,2012,3.11
chl,2014,3.17274
chl,2016,3.19048
chl,2018,3.27
chn,2007,2.99
chn,2010,3.16
chn,2012,3.25
chn,2014,3.20514
chn,2016,3.31888
chn,2018,3.29
civ,2007,2.22
civ,2010,2.16
civ,2012,2.31
civ,2014,2.33324
civ,2016,2.66667
civ,2018,2.78
cmr,2007,2.57
cmr,2010,2.11
cmr,2012,2.37
cmr,2014,1.85714
cmr,2016,2.09091
cmr,2018,2.46
cod,2010,2.6
cod,2012,2.1
cod,2014,1.77743
cod,2016,2.22311
cod,2018,2.37
cog,2010,2.02
cog,2012,1.8
cog,2014,1.5
cog,2016,2
cog,2018,2.27
col,2007,2.1
col,2010,2.5
col,2012,2.65
col,2014,2.58742
col,2016,2.20797
col,2018,2.61
com,2007,2.3
com,2010,1.96
com,2012,2
com,2014,2.57909
com,2016,2.63257
com,2018,2.62
cri,2007,2.49
cri,2010,2.61
cri,2012,2.47
cri,2014,2.38913
cri,2016,2.32564
cri,2018,2.63
cub,2010,1.79
cub,2012,2.18
cub,2014,2.17094
cub,2016,2.37516
cub,2018,2.03
cyp,2007,2.77
cyp,2010,2.92
cyp,2012,3.02
cyp,2014,2.87788
cyp,2016,3.11111
cyp,2018,3.05
cze,2007,2.95
cze,2010,3.31
cze,2012,2.95
cze,2014,3.23809
cze,2016,3.58044
cze,2018,3.29
deu,2007,3.88
deu,2010,4
deu,2012,3.87
deu,2014,4.0981
deu,2016,4.12307
deu,2018,4.09
dji,2007,1.64
dji,2010,2.25
dji,2012,1.72
dji,2014,2.2
dji,2016,2.37448
dji,2018,2.35
dnk,2007,3.97
dnk,2010,3.58
dnk,2012,3.93
dnk,2014,3.78999
dnk,2016,3.81992
dnk,2018,3.92
dom,2007,2.33
dom,2010,2.51
dom,2012,2.53
dom,2014,2.58439
dom,2016,2.38788
dom,2018,2.41
dza,2007,1.6
dza,2010,1.97
dza,2012,2.26
dza,2014,2.71429
dza,2016,2.36842
dza,2018,2.13
ecu,2007,2.25
ecu,2010,2.32
ecu,2012,2.36
ecu,2014,2.48728
ecu,2016,2.63938
ecu,2018,2.8
egy,2007,2.08
egy,2010,2.11
egy,2012,2.6
egy,2014,2.85241
egy,2016,2.74962
egy,2018,2.6
eri,2007,2.14
eri,2010,1.5
eri,2012,1.78
eri,2014,1.89889
eri,2016,2.00699
eri,2018,2.13
esp,2007,3.17
esp,2010,3.47
esp,2012,3.4
esp,2014,3.62747
esp,2016,3.47706
esp,2018,3.62
est,2007,2.75
est,2010,3.14
est,2012,2.51
est,2014,3.39524
est,2016,3.41182
est,2018,3.32
eth,2007,2.14
eth,2010,2.13
eth,2012,2.03
eth,2014,2.42083
eth,2016,2.59894
fin,2007,3.68
fin,2010,3.86
fin,2012,3.98
fin,2014,3.89201
fin,2016,4.00536
fin,2018,3.82
fji,2010,1.95
fji,2012,2.07
fji,2014,2.4
fji,2016,2.33184
fji,2018,2.41
fra,2007,3.51
fra,2010,3.63
fra,2012,3.64
fra,2014,3.6479
fra,2016,3.71352
fra,2018,3.59
gab,2007,2.25
gab,2010,2.23
gab,2012,2
gab,2014,2
gab,2016,2.06985
gab,2018,1.96
gbr,2007,3.74
gbr,2010,3.74
gbr,2012,3.73
gbr,2014,3.93888
gbr,2016,3.9838
gbr,2018,3.77
geo,2010,2.37
geo,2012,2.9
geo,2014,2.21053
geo,2016,2.25884
geo,2018,2.42
gha,2007,2
gha,2010,2.35
gha,2012,2.33
gha,2014,2.21649
gha,2016,2.45689
gha,2018,2.45
gin,2007,2.5
gin,2010,2.34
gin,2012,2.42
gin,2014,2.34045
gin,2016,2.28205
gin,2018,2.45
gmb,2007,2.25
gmb,2010,2.38
gmb,2012,2.29
gmb,2014,2.05803
gmb,2018,2.08
gnb,2007,2.14
gnb,2010,1.89
gnb,2012,2.39
gnb,2014,2.42857
gnb,2016,2.44444
gnb,2018,2.01
gnq,2014,2.34722
gnq,2016,1.875
gnq,2018,1.91
grc,2007,3.06
grc,2010,2.48
grc,2012,2.38
grc,2014,3.36082
grc,2016,2.85482
grc,2018,2.84
gtm,2007,2.27
gtm,2010,2.33
gtm,2012,2.62
gtm,2014,2.75
