geo,time,sl_tlf_part_ma_zs
afg,2008,40.83
afg,2012,27.69
afg,2014,34.81
afg,2020,27.02
alb,2007,14.46
alb,2008,14.82
alb,2009,14.28
alb,2010,16.55
alb,2011,43.18
alb,2012,23.11
alb,2013,21.13
alb,2014,25.97
alb,2015,25.7
alb,2016,23.04
alb,2017,20.45
alb,2018,17.49
alb,2019,15.35
are,2017,1.09
are,2018,1.93
are,2019,2.23
arg,2004,25.82
arg,2005,23.86
arg,2006,22.78
arg,2008,21.41
arg,2009,22.54
arg,2010,21.69
arg,2011,21.67
arg,2012,22.26
arg,2013,22.21
arg,2014,22.81
arg,2017,26.97
arg,2018,26.8
arg,2019,28.91
arg,2020,39.32
arm,2008,19.95
arm,2009,32.83
arm,2010,30.09
arm,2011,31.13
arm,2012,26.92
arm,2013,25.94
arm,2014,24.02
arm,2015,27.05
arm,2016,25.98
arm,2017,23.88
arm,2018,16.86
arm,2019,13.46
arm,2020,17.46
aus,1991,27.3
aus,1992,25.91
aus,1993,28.27
aus,1994,26.8
aus,1995,27.17
aus,1996,29.49
aus,1997,27.24
aus,1998,27.1
aus,1999,26.97
aus,2000,27.36
aus,2001,30.79
aus,2002,29.82
aus,2003,28.85
aus,2004,30.77
aus,2005,29.15
aus,2006,31.54
aus,2007,33.91
aus,2008,29.7
aus,2009,32.31
aus,2010,31.89
aus,2011,30.95
aus,2012,34.72
aus,2013,34.38
aus,2014,31.31
aus,2015,33.71
aus,2016,31.96
aus,2017,34.13
aus,2018,35.16
aus,2019,32.58
aus,2020,35.8
aut,1995,12.42
aut,1996,11.99
aut,1997,9.81
aut,1998,11.26
aut,1999,10.89
aut,2000,10.56
aut,2001,10.07
aut,2002,10.91
aut,2003,10.28
aut,2004,18.72
aut,2005,22.89
aut,2006,22.67
aut,2007,23.25
aut,2008,22.72
aut,2009,28.02
aut,2010,27.53
aut,2011,26.59
aut,2012,27.54
aut,2013,28.4
aut,2014,28.87
aut,2015,30.32
aut,2016,30.06
aut,2017,31.12
aut,2018,30.57
aut,2019,29.14
aut,2020,37.37
aze,2000,21.7
aze,2001,21.69
aze,2002,21.38
aze,2003,21.61
aze,2004,22.02
aze,2005,22.22
aze,2006,22.03
aze,2007,22.26
aze,2008,22.71
aze,2009,18.56
aze,2010,19.23
aze,2011,13.8
aze,2012,15.04
aze,2013,14.26
aze,2015,14.21
aze,2016,14.28
aze,2017,14.43
aze,2018,14.72
aze,2019,15.03
