global,time,iq_cpa_fisp_xq
world,2005,3.44079
world,2006,3.42949
world,2007,3.43333
world,2008,3.45333
world,2009,3.46104
world,2010,3.46104
world,2011,3.41026
world,2012,3.31875
world,2013,3.26543
world,2014,3.15789
world,2015,3.125
world,2016,3.06164
world,2017,3.06081
world,2018,3.06164
world,2019,3.08
world,2020,3.06849
