geo,time,se_sec_nenr_fe
abw,1999,81.02498
abw,2000,78.86792
abw,2001,74.22901
abw,2002,79.27661
abw,2003,74.78535
abw,2004,73.43448
abw,2005,75.6987
abw,2007,81.79688
abw,2008,77.85939
abw,2009,80.97252
abw,2011,80.68243
afg,1974,2.35844
afg,1993,7.79188
afg,2007,14.40342
afg,2013,32.81661
afg,2014,33.15745
afg,2015,32.92914
afg,2016,33.81677
afg,2017,35.12171
afg,2018,36.69527
ago,1972,4.26607
ago,1982,4.87576
ago,2008,8.564
ago,2009,9.04349
ago,2010,10.07569
alb,2000,65.85455
alb,2001,67.42693
alb,2013,85.03466
alb,2014,86.5061
alb,2015,87.83338
alb,2016,87.37654
alb,2017,88.46079
alb,2018,89.1819
are,1980,36.83714
are,1994,71.67573
are,1995,75.44499
are,1997,74.91946
are,1998,73.95922
are,2016,85.87854
are,2017,90.32952
arg,1974,42.5199
arg,1975,44.09006
arg,1998,76.5898
arg,1999,78.473
arg,2000,80.36122
arg,2001,80.92482
arg,2002,80.78871
arg,2003,80.82155
arg,2004,81.42915
arg,2005,81.26323
arg,2006,81.61114
arg,2007,81.83627
arg,2008,83.17861
arg,2009,84.88917
arg,2010,85.80616
arg,2011,87.46214
arg,2012,89.35661
arg,2013,90.11215
arg,2014,90.33155
arg,2015,90.89313
arg,2016,92.18343
arg,2017,93.0542
arm,2007,91.98581
arm,2008,85.27768
arm,2009,91.67152
arm,2010,92.31576
arm,2011,88.05112
atg,2000,69.32639
atg,2009,93.3748
atg,2014,84.86631
atg,2015,87.63587
atg,2017,86.64413
atg,2018,89.72818
aus,1993,88.33589
aus,1994,88.38325
aus,1995,88.29162
aus,1996,89.69534
aus,2015,93.62816
aus,2016,93.15336
aus,2017,92.69355
aut,1999,88.02071
aut,2000,88.10903
aut,2002,87.81913
aut,2003,87.8824
aut,2004,87.84762
aut,2005,88.69619
aut,2006,89.17722
aut,2007,87.86998
aut,2008,87.88928
aut,2009,87.64705
aut,2010,86.85324
aut,2011,86.67158
aut,2012,86.23705
aut,2013,86.42403
aut,2014,86.70508
aut,2015,86.99795
aut,2016,87.53142
aut,2017,87.11869
aze,2018,88.15416
bdi,1976,1.2969
bdi,1977,1.37264
bdi,1980,1.45979
bdi,1982,1.90099
bdi,1983,1.54153
bdi,1984,1.61013
bdi,1985,1.85854
bdi,1986,2.02702
bdi,1987,2.3326
bdi,1993,4.01448
bdi,2009,11.83077
bdi,2010,13.68895
bdi,2011,15.45501
bdi,2012,17.44259
bdi,2013,21.05094
bdi,2014,26.212
