geo,time,sh_prg_anem
afg,2000,44.4
afg,2001,43.9
afg,2002,43.4
afg,2003,42.9
afg,2004,42.4
afg,2005,41.9
afg,2006,41.4
afg,2007,40.9
afg,2008,40.3
afg,2009,39.8
afg,2010,39.3
afg,2011,38.8
afg,2012,38.3
afg,2013,37.9
afg,2014,37.6
afg,2015,37.3
afg,2016,37.1
afg,2017,36.9
afg,2018,36.7
afg,2019,36.5
ago,2000,53.9
ago,2001,53.8
ago,2002,53.7
ago,2003,53.5
ago,2004,53.3
ago,2005,53
ago,2006,52.7
ago,2007,52.4
ago,2008,52.1
ago,2009,51.6
ago,2010,51.2
ago,2011,50.7
ago,2012,50.4
ago,2013,50.1
ago,2014,49.8
ago,2015,49.5
ago,2016,49.2
ago,2017,48.9
ago,2018,48.6
ago,2019,48.3
alb,2000,29
alb,2001,28.2
alb,2002,27.3
alb,2003,26.6
alb,2004,25.8
alb,2005,25
alb,2006,24.3
alb,2007,23.5
alb,2008,22.9
alb,2009,22.3
alb,2010,21.9
alb,2011,21.9
alb,2012,22.1
alb,2013,22.3
alb,2014,22.6
alb,2015,23
alb,2016,23.5
alb,2017,24
alb,2018,24.2
alb,2019,24.5
and,2000,16.6
and,2001,16.4
and,2002,16.2
and,2003,16.1
and,2004,16
and,2005,15.9
and,2006,15.8
and,2007,15.8
and,2008,15.7
and,2009,15.7
and,2010,15.7
and,2011,15.7
and,2012,15.8
and,2013,15.9
and,2014,16.1
and,2015,16.2
and,2016,16.4
and,2017,16.5
and,2018,16.6
and,2019,16.8
are,2000,25.3
are,2001,24.9
are,2002,24.7
are,2003,24.7
are,2004,24.4
are,2005,24.1
are,2006,24.1
are,2007,24.1
are,2008,24
are,2009,23.8
are,2010,23.7
are,2011,23.7
are,2012,23.8
are,2013,23.7
are,2014,23.6
are,2015,23.6
are,2016,23.5
are,2017,23.5
are,2018,23.6
are,2019,23.7
arg,2000,26.4
arg,2001,26.1
arg,2002,25.9
arg,2003,25.7
arg,2004,25.5
arg,2005,25
arg,2006,24.4
arg,2007,23.9
arg,2008,23.4
arg,2009,22.9
arg,2010,22.4
arg,2011,22
arg,2012,21.6
arg,2013,21.4
arg,2014,21.2
arg,2015,20.9
arg,2016,20.7
arg,2017,20.6
arg,2018,20.5
arg,2019,20.6
arm,2000,24.7
arm,2001,24.7
arm,2002,24.7
arm,2003,24.5
arm,2004,24.1
arm,2005,23.6
arm,2006,23.1
arm,2007,22.6
arm,2008,22
arm,2009,21.3
arm,2010,20.6
arm,2011,20.2
arm,2012,20
arm,2013,19.6
arm,2014,19.3
arm,2015,18.9
arm,2016,18.6
arm,2017,18.4
arm,2018,18.2
arm,2019,18.1
atg,2000,23.1
atg,2001,22.9
atg,2002,22.7
atg,2003,22.4
atg,2004,22.1
atg,2005,21.6
atg,2006,21.2
atg,2007,20.7
atg,2008,20.2
atg,2009,19.9
atg,2010,19.5
atg,2011,19.4
atg,2012,19.3
atg,2013,19.2
atg,2014,19.2
atg,2015,19.2
atg,2016,19.2
atg,2017,19.3
atg,2018,19.3
atg,2019,19.4
aus,2000,15.7
aus,2001,15.4
aus,2002,15.1
aus,2003,14.9
aus,2004,14.8
aus,2005,14.7
aus,2006,14.6
aus,2007,14.6
aus,2008,14.6
aus,2009,14.5
aus,2010,14.5
aus,2011,14.6
aus,2012,14.6
aus,2013,14.6
aus,2014,14.7
aus,2015,14.9
aus,2016,15.1
aus,2017,15.3
aus,2018,15.5
aus,2019,15.7
aut,2000,17.9
aut,2001,17.6
aut,2002,17.4
aut,2003,17.3
aut,2004,17.2
aut,2005,17.1
aut,2006,17
aut,2007,16.9
aut,2008,16.9
aut,2009,16.9
aut,2010,16.8
aut,2011,16.9
aut,2012,16.9
aut,2013,17
aut,2014,17.1
aut,2015,17.3
aut,2016,17.4
aut,2017,17.6
aut,2018,17.7
aut,2019,17.8
aze,2000,38.7
aze,2001,38.6
aze,2002,38.5
aze,2003,38.4
aze,2004,38.3
aze,2005,38
aze,2006,37.5
aze,2007,36.8
aze,2008,36.3
aze,2009,35.8
aze,2010,35.5
aze,2011,35.3
aze,2012,35.2
aze,2013,35.2
aze,2014,35.2
aze,2015,35.2
aze,2016,35.1
aze,2017,35.1
aze,2018,35.1
aze,2019,35
bdi,2000,45
bdi,2001,44.6
bdi,2002,44.2
bdi,2003,43.6
bdi,2004,43.1
bdi,2005,42.5
bdi,2006,42
bdi,2007,41.4
bdi,2008,40.9
bdi,2009,40.5
bdi,2010,40.2
bdi,2011,40.2
bdi,2012,40.4
bdi,2013,40.7
bdi,2014,41.2
bdi,2015,41.8
bdi,2016,42.4
bdi,2017,43
bdi,2018,43.6
bdi,2019,44.2
bel,2000,16
bel,2001,15.6
bel,2002,15.3
bel,2003,15.1
bel,2004,14.9
bel,2005,14.8
bel,2006,14.8
bel,2007,14.7
bel,2008,14.6
bel,2009,14.6
bel,2010,14.5
bel,2011,14.6
bel,2012,14.7
bel,2013,14.7
bel,2014,14.9
bel,2015,15.1
bel,2016,15.4
bel,2017,15.7
bel,2018,15.9
bel,2019,16.2
ben,2000,61.6
ben,2001,61.4
ben,2002,61.3
ben,2003,61.2
ben,2004,61
ben,2005,60.8
ben,2006,60.6
ben,2007,60.4
ben,2008,60.1
ben,2009,59.8
ben,2010,59.5
ben,2011,59.2
ben,2012,59
ben,2013,58.8
ben,2014,58.6
ben,2015,58.5
ben,2016,58.4
ben,2017,58.3
ben,2018,58.2
ben,2019,58.1
bfa,2000,58.8
bfa,2001,58.7
bfa,2002,58.6
bfa,2003,58.5
bfa,2004,58.4
bfa,2005,58.2
bfa,2006,58
bfa,2007,57.9
bfa,2008,57.7
bfa,2009,57.5
bfa,2010,57.3
bfa,2011,57.1
bfa,2012,56.9
bfa,2013,56.8
bfa,2014,56.6
bfa,2015,56.3
bfa,2016,56.1
bfa,2017,55.9
bfa,2018,55.6
bfa,2019,55.3
bgd,2000,46.8
bgd,2001,46.6
bgd,2002,46.5
bgd,2003,46.4
bgd,2004,46.3
bgd,2005,46.1
bgd,2006,45.9
bgd,2007,45.6
bgd,2008,45.3
bgd,2009,45
bgd,2010,44.7
bgd,2011,44.5
bgd,2012,44.2
bgd,2013,43.9
bgd,2014,43.6
bgd,2015,43.3
bgd,2016,43.1
bgd,2017,42.8
bgd,2018,42.5
bgd,2019,42.2
bgr,2000,27.9
bgr,2001,27.7
bgr,2002,27.7
bgr,2003,27.7
bgr,2004,27.6
bgr,2005,27.5
bgr,2006,27.3
bgr,2007,26.9
bgr,2008,26.6
bgr,2009,26.3
bgr,2010,25.9
bgr,2011,25.7
bgr,2012,25.6
bgr,2013,25.5
bgr,2014,25.5
bgr,2015,25.6
bgr,2016,25.6
bgr,2017,25.7
bgr,2018,25.7
bgr,2019,25.8
bhr,2000,38
bhr,2001,37.6
bhr,2002,37.2
bhr,2003,37
bhr,2004,36.7
bhr,2005,36.4
bhr,2006,36.1
bhr,2007,35.7
bhr,2008,35.3
bhr,2009,35
bhr,2010,34.7
bhr,2011,34.6
bhr,2012,34.6
bhr,2013,34.5
bhr,2014,34.3
bhr,2015,34.1
bhr,2016,34
bhr,2017,33.9
bhr,2018,33.7
bhr,2019,33.5
bhs,2000,18.6
bhs,2001,18.3
bhs,2002,18.1
bhs,2003,17.9
bhs,2004,17.9
bhs,2005,17.7
bhs,2006,17.4
bhs,2007,17.1
bhs,2008,16.8
bhs,2009,16.5
bhs,2010,16.3
bhs,2011,16
bhs,2012,15.8
bhs,2013,15.8
bhs,2014,15.9
bhs,2015,16
bhs,2016,16.2
bhs,2017,16.3
bhs,2018,16.6
bhs,2019,16.8
bih,2000,31.2
bih,2001,30.7
bih,2002,30.3
bih,2003,29.9
bih,2004,29.7
bih,2005,29.4
bih,2006,29.2
bih,2007,28.9
bih,2008,28.6
bih,2009,28.3
bih,2010,28
bih,2011,27.8
bih,2012,27.6
bih,2013,27.5
bih,2014,27.4
bih,2015,27.3
bih,2016,27.2
bih,2017,27.2
bih,2018,27.2
bih,2019,27.2
blr,2000,28.1
blr,2001,27.9
blr,2002,27.7
blr,2003,27.4
blr,2004,27.1
blr,2005,26.6
blr,2006,26.1
blr,2007,25.6
blr,2008,25
blr,2009,24.4
blr,2010,24
blr,2011,23.8
blr,2012,23.7
blr,2013,23.6
blr,2014,23.6
blr,2015,23.6
blr,2016,23.7
blr,2017,23.8
blr,2018,23.9
blr,2019,23.9
blz,2000,27.9
blz,2001,27.5
blz,2002,27
blz,2003,26.6
blz,2004,26
blz,2005,25.4
blz,2006,24.9
blz,2007,24.3
blz,2008,23.7
blz,2009,23.2
blz,2010,22.6
blz,2011,22.2
blz,2012,21.9
blz,2013,21.7
blz,2014,21.5
blz,2015,21.4
blz,2016,21.3
blz,2017,21.2
blz,2018,21.2
blz,2019,21.2
bol,2000,35.3
bol,2001,35.6
bol,2002,36
bol,2003,36.1
bol,2004,36.2
bol,2005,36.3
bol,2006,36.3
bol,2007,36.2
bol,2008,36.3
bol,2009,36.2
bol,2010,36.1
bol,2011,35.9
bol,2012,35.7
bol,2013,35.5
bol,2014,35.8
bol,2015,35.4
bol,2016,34.5
bol,2017,34.2
bol,2018,33.8
bol,2019,33.7
bra,2000,26.3
bra,2001,25.9
bra,2002,25.8
bra,2003,25.6
bra,2004,25.3
bra,2005,24.9
bra,2006,24.5
bra,2007,23.9
bra,2008,23.3
bra,2009,22.6
bra,2010,21.9
bra,2011,21.3
bra,2012,20.8
bra,2013,20.3
bra,2014,19.9
bra,2015,19.6
bra,2016,19.4
bra,2017,19.3
bra,2018,19.2
bra,2019,19.1
brb,2000,22.2
brb,2001,22.2
brb,2002,22
brb,2003,21.9
brb,2004,21.6
brb,2005,21.3
brb,2006,21
brb,2007,20.7
brb,2008,20.3
brb,2009,20.1
brb,2010,19.9
brb,2011,19.8
brb,2012,19.6
brb,2013,19.5
brb,2014,19.4
brb,2015,19.4
brb,2016,19.4
brb,2017,19.4
brb,2018,19.4
brb,2019,19.5
brn,2000,28.7
brn,2001,27.9
brn,2002,27.2
brn,2003,26.5
brn,2004,25.9
brn,2005,25.4
brn,2006,25.1
brn,2007,24.7
brn,2008,24.3
brn,2009,23.9
brn,2010,23.6
brn,2011,23.3
brn,2012,23.1
brn,2013,22.9
brn,2014,22.7
brn,2015,22.7
brn,2016,22.7
brn,2017,22.6
brn,2018,22.6
brn,2019,22.7
btn,2000,47.1
btn,2001,46.7
btn,2002,46.3
btn,2003,45.9
btn,2004,45.5
btn,2005,45.1
btn,2006,44.6
btn,2007,44.1
btn,2008,43.5
btn,2009,43
btn,2010,42.4
btn,2011,41.9
btn,2012,41.3
btn,2013,40.8
btn,2014,40.3
btn,2015,39.9
btn,2016,39.4
btn,2017,39
btn,2018,38.6
btn,2019,38.2
bwa,2000,34.7
bwa,2001,34.4
bwa,2002,34.1
bwa,2003,33.9
bwa,2004,33.6
bwa,2005,33.3
bwa,2006,32.9
bwa,2007,32.4
bwa,2008,32
bwa,2009,31.7
bwa,2010,31.4
bwa,2011,31.1
bwa,2012,31
bwa,2013,31
bwa,2014,31
bwa,2015,31.2
bwa,2016,31.3
bwa,2017,31.4
bwa,2018,31.4
bwa,2019,31.4
caf,2000,55.1
caf,2001,55
caf,2002,54.9
caf,2003,54.8
caf,2004,54.7
caf,2005,54.6
caf,2006,54.5
caf,2007,54.2
caf,2008,54
caf,2009,53.8
caf,2010,53.5
caf,2011,53.3
caf,2012,53
caf,2013,52.9
caf,2014,52.7
caf,2015,52.6
caf,2016,52.4
caf,2017,52.1
caf,2018,51.8
caf,2019,51.5
can,2000,15.7
can,2001,15.3
can,2002,15.1
can,2003,14.9
can,2004,14.8
can,2005,14.7
can,2006,14.6
can,2007,14.6
can,2008,14.6
can,2009,14.6
can,2010,14.6
can,2011,14.6
can,2012,14.7
can,2013,14.8
can,2014,15
can,2015,15.2
can,2016,15.4
can,2017,15.5
can,2018,15.7
can,2019,16
che,2000,13.4
che,2001,13.2
che,2002,13.1
che,2003,13.1
che,2004,13.1
che,2005,13.1
che,2006,13.1
che,2007,13
che,2008,13
che,2009,13.1
che,2010,13.1
che,2011,13.2
che,2012,13.3
che,2013,13.5
che,2014,13.7
che,2015,13.9
che,2016,14.1
che,2017,14.4
che,2018,14.6
che,2019,14.9
chl,2000,23.3
chl,2001,22.8
chl,2002,22.4
chl,2003,21.9
chl,2004,21.5
chl,2005,21.2
chl,2006,20.9
chl,2007,20.6
chl,2008,20.3
chl,2009,20.1
chl,2010,19.8
chl,2011,19.7
chl,2012,19.5
chl,2013,19.4
chl,2014,19.3
chl,2015,19.2
chl,2016,19.2
chl,2017,19.3
chl,2018,19.3
chl,2019,19.4
chn,2000,28.7
chn,2001,27.7
chn,2002,26.9
chn,2003,26.1
chn,2004,25.3
chn,2005,24.4
chn,2006,23.5
chn,2007,22.6
chn,2008,21.8
chn,2009,21
chn,2010,20.2
chn,2011,19.7
chn,2012,19.3
chn,2013,19.1
chn,2014,18.9
chn,2015,18.9
chn,2016,19
chn,2017,18.8
chn,2018,18.6
chn,2019,18.5
civ,2000,57.6
civ,2001,57.5
civ,2002,57.4
civ,2003,57.3
civ,2004,57.2
civ,2005,57.1
civ,2006,57
civ,2007,56.8
civ,2008,56.6
civ,2009,56.5
civ,2010,56.3
civ,2011,56.1
civ,2012,56
civ,2013,55.8
civ,2014,55.6
civ,2015,55.4
civ,2016,55.2
civ,2017,55
civ,2018,54.7
civ,2019,54.4
cmr,2000,52.2
cmr,2001,52.1
cmr,2002,52
cmr,2003,51.8
cmr,2004,51.5
cmr,2005,51.3
cmr,2006,50.9
cmr,2007,50.5
cmr,2008,50
cmr,2009,49.5
cmr,2010,49
cmr,2011,48.5
cmr,2012,48.1
cmr,2013,47.6
cmr,2014,47.1
cmr,2015,46.6
cmr,2016,46.1
cmr,2017,45.5
cmr,2018,44.9
cmr,2019,44.4
cod,2000,54.1
cod,2001,54.1
cod,2002,54.2
cod,2003,54.2
cod,2004,54.1
cod,2005,53.9
cod,2006,53.7
cod,2007,53.4
cod,2008,53
cod,2009,52.5
cod,2010,51.9
cod,2011,51.3
cod,2012,50.7
cod,2013,50
cod,2014,49.3
cod,2015,48.6
cod,2016,48.1
cod,2017,47.5
cod,2018,46.9
cod,2019,46.5
cog,2000,56.5
cog,2001,56.4
cog,2002,56.4
cog,2003,56.3
cog,2004,56.2
cog,2005,56
cog,2006,55.8
cog,2007,55.5
cog,2008,55.2
cog,2009,54.8
cog,2010,54.5
cog,2011,54.1
cog,2012,53.7
cog,2013,53.3
cog,2014,52.9
cog,2015,52.6
cog,2016,52.2
cog,2017,51.7
cog,2018,51.3
cog,2019,51
col,2000,33.4
col,2001,33.1
col,2002,32.6
col,2003,32.2
col,2004,31.6
col,2005,31
col,2006,30.2
col,2007,29.3
col,2008,28.3
col,2009,27.3
col,2010,26.4
col,2011,25.5
col,2012,24.8
col,2013,24.1
col,2014,23.6
col,2015,23
col,2016,22.6
col,2017,22.3
col,2018,22
col,2019,21.8
com,2000,42.7
com,2001,42.3
com,2002,42
com,2003,41.6
com,2004,41.3
com,2005,40.8
com,2006,40.3
com,2007,39.9
com,2008,39.5
com,2009,39.1
com,2010,38.7
com,2011,38.5
com,2012,38.3
com,2013,38.2
com,2014,38.1
com,2015,38.1
com,2016,38.1
com,2017,38.1
com,2018,38.1
com,2019,38
cpv,2000,46.5
cpv,2001,46
cpv,2002,45.6
cpv,2003,45.1
cpv,2004,44.6
cpv,2005,44.1
cpv,2006,43.5
cpv,2007,42.9
cpv,2008,42.2
cpv,2009,41.5
cpv,2010,40.8
cpv,2011,40.1
cpv,2012,39.4
cpv,2013,38.8
cpv,2014,38
cpv,2015,37.3
