global,time,se_prm_nint_fe_zs
world,2005,64.18481
world,2006,64.69375
world,2007,65.64318
world,2008,65.65675
world,2009,65.49645
world,2010,65.51783
world,2011,66.34296
world,2012,66.46719
world,2013,66.90688
world,2014,67.75053
world,2015,68.79702
world,2016,69.63442
world,2017,69.46187
world,2018,69.47618
