global,time,sh_sgr_irsk_zs
world,2003,40.24343
world,2004,38.524
world,2005,37.43265
world,2006,35.22696
world,2007,33.15861
world,2008,31.46555
world,2009,30.20395
world,2010,28.74267
world,2011,26.79829
world,2012,26.06558
world,2013,23.15693
world,2014,22.23954
world,2015,21.39232
world,2016,20.61025
world,2017,19.61647
world,2018,18.40027
world,2019,18.0472
world,2020,17.177
