geo,time,dc_dac_totl_cd
abw,1985,12039999.96185
abw,1986,40430000.30518
abw,1987,20829999.92371
abw,1988,19290000.22821
abw,1989,24220000.53339
abw,1990,29920000.07629
abw,1991,24959999.4719
abw,1992,30230000.3767
abw,1993,24729999.30382
abw,1994,18290000.20027
abw,1995,25839999.67575
abw,1996,19489999.94993
abw,1997,24969999.09356
abw,1998,11100000.30138
abw,1999,-7129999.90396
abw,2000,11409999.84555
abw,2001,-1589999.98868
abw,2002,10389999.58709
abw,2003,76220001.2207
abw,2004,-11320000.23127
afg,1960,15669999.97571
afg,1961,33550000.11623
afg,1962,15260000.09477
afg,1963,34879999.94308
afg,1964,44220000.11243
afg,1965,51170001.63533
afg,1966,46959999.16457
afg,1967,37079999.0464
afg,1968,24500000.22538
afg,1969,22520000.15043
afg,1970,21509999.83773
afg,1971,38220000.56319
afg,1972,42290000.27105
afg,1973,45709999.92453
afg,1974,18189999.94919
afg,1975,33009999.87125
afg,1976,36459999.85002
afg,1977,27979999.87751
afg,1978,33590000.36865
afg,1979,46990000.0114
afg,1980,11430000.0295
afg,1981,-7860000.07764
afg,1982,449999.962
afg,1983,5360000.24527
afg,1984,-960000.03628
afg,1985,6900000.0041
afg,1986,-1659999.94799
afg,1987,39310000.13277
afg,1988,67100000.46901
afg,1989,90100000.2306
afg,1990,102739999.11174
afg,1991,107509999.81538
afg,1992,140359999.99195
afg,1993,131219999.047
afg,1994,158450000.4109
afg,1995,130609999.05318
afg,1996,122650002.23741
afg,1997,178159999.3743
afg,1998,131989998.94783
afg,1999,118770001.10038
afg,2000,105239999.11174
afg,2001,368649994.67134
afg,2002,1134419991.01639
afg,2003,1428820004.5675
afg,2004,1934599977.91052
afg,2005,2441650047.45871
afg,2006,2638719954.90789
afg,2007,3328630026.40009
afg,2008,4355270066.82754
afg,2009,5527599925.83097
afg,2010,5831360058.9186
afg,2011,6300919943.21347
afg,2012,5860320100.60549
afg,2013,4509369991.67502
afg,2014,4382079996.23195
afg,2015,3776539984.57455
afg,2016,3550330001.23501
afg,2017,3245409972.54103
afg,2018,3121639989.50645
afg,2019,3436599966.66014
ago,1961,23469999.31335
ago,1963,9999.99978
ago,1965,1110000.03293
ago,1966,2859999.8951
ago,1967,18179999.30121
ago,1968,9999.99978
ago,1969,-110000.00127
ago,1970,-29999.99747
ago,1972,89999.99985
ago,1973,160000.00015
ago,1974,269999.9921
ago,1975,4179999.93451
ago,1976,12259999.73714
ago,1977,9939999.75547
ago,1978,34479999.64096
ago,1979,30000000.55507
ago,1980,36759999.77067
ago,1981,42560001.20193
ago,1982,41649999.44158
ago,1983,48950000.37365
ago,1984,68309998.92764
ago,1985,66789998.79956
ago,1986,103640000.38803
ago,1987,106699999.43115
ago,1988,127450000.17621
ago,1989,129870000.97334
ago,1990,217140000.10863
ago,1991,214559997.55301
ago,1992,253840001.89602
ago,1993,196009998.50221
ago,1994,279439999.73312
ago,1995,313290003.53441
ago,1996,388899996.26577
ago,1997,297329999.46549
ago,1998,279890001.91167
ago,1999,304740001.74739
ago,2000,234519998.99745
ago,2001,240929997.89864
ago,2002,348780001.20819
ago,2003,439779999.10712
ago,2004,1092379979.41673
ago,2005,318519997.54459
ago,2006,96590000.39101
ago,2007,169870000.56915
ago,2008,267999999.17298
ago,2009,180000002.45869
ago,2010,175949997.51076
ago,2011,146220003.16717
ago,2012,159470000.97297
ago,2013,176889997.09673
ago,2014,154539997.40072
ago,2015,306460003.46169
ago,2016,108509998.92689
ago,2017,106600001.64062
ago,2018,103450001.77436
ago,2019,91690001.24
alb,1988,3440000.03487
alb,1989,7320000.03196
alb,1990,9019999.75927
alb,1991,321920010.80513
alb,1992,384320002.41615
alb,1993,212680001.45443
alb,1994,100540001.56932
alb,1995,113199998.46816
alb,1996,181239999.3334
alb,1997,139509999.80047
alb,1998,179210000.92477
alb,1999,369529995.25704
alb,2000,228990004.31038
alb,2001,214349993.75045
alb,2002,207800003.3088
alb,2003,264279996.82166
alb,2004,216400002.5671
alb,2005,257919998.05719
alb,2006,265720002.23212
alb,2007,256530002.3444
alb,2008,329379999.99709
alb,2009,316210001.37553
alb,2010,301229994.12753
alb,2011,334039997.13063
alb,2012,285380000.16101
alb,2013,215010000.21398
