geo,time,ny_gnp_mktp_pp_kd
abw,2017,3872058693.58581
afg,2017,75695088355.1237
ago,2000,60509227048.1458
ago,2001,66100474496.47
ago,2002,81639690159.35028
ago,2003,84887971925.9823
ago,2004,92476597726.27261
ago,2005,104760722242.61099
ago,2006,114292809402.62801
ago,2007,132940975973.537
ago,2008,140821768102.11801
ago,2009,157581359835.19
ago,2010,161432312275.57599
ago,2011,166772235828.96301
ago,2012,182806926916.755
ago,2013,194548773573.33701
ago,2014,207565668312.59296
ago,2015,213389581478.03696
ago,2016,207360909386.51501
ago,2017,204590018767.27097
ago,2018,196613331895.854
ago,2019,193585230038.26901
ago,2020,183825705909.272
alb,1997,14155186689.4252
alb,1998,15494348157.8346
alb,1999,17395517648.4995
alb,2000,18735551909.9613
alb,2001,20335915553.9435
alb,2002,21114682801.603
alb,2003,22315535421.3457
alb,2004,23478901518.5535
alb,2005,24688151924.9748
alb,2006,26377810720.801
alb,2007,27916582603.1752
alb,2008,29362445477.1461
alb,2009,29723381479.5989
alb,2010,31003450415.052
alb,2011,32121710269.1855
alb,2012,32328632449.5002
alb,2013,33446947120.2431
alb,2014,33778387849.5141
alb,2015,34615384550.5149
alb,2016,35907040138.4373
alb,2017,36786422671.792
alb,2018,38130557092.1121
alb,2019,38489653959.8017
are,2001,341894656008.61298
are,2002,336525417788.93597
are,2003,362884080980.19897
are,2004,399681045871.53198
are,2005,424151559191.73602
are,2006,469078537377.36603
are,2007,490171956950.77802
are,2008,494949851667.77893
are,2009,467261374174.21802
are,2010,469491026962.15997
are,2011,502380056886.35498
are,2012,525147825011.40698
are,2013,551926865418.32703
are,2014,576563666280.61804
are,2015,607437675851.72803
are,2016,626074455677.026
are,2017,641975592241.66296
are,2018,647153677541.29797
are,2019,670169181013.26404
arg,1990,443538144886.69293
arg,1991,489701508540.60303
arg,1992,534481703687.88599
arg,1993,581999056484.88
arg,1994,614942341129.12097
arg,1995,595275081000.18604
arg,1996,626780857766.573
arg,1997,676942348005.02002
arg,1998,700607667539.43298
arg,1999,675948364504.49597
arg,2000,670327656082.27197
arg,2001,639400218664.72205
arg,2002,554971085478.00195
arg,2003,611584890962.67896
arg,2004,618124976226.65503
arg,2005,671722198642.42603
arg,2006,790960310212.43506
arg,2007,868014219508.74512
arg,2008,904147109178.96704
arg,2009,845460718992.87292
arg,2010,927324137784.80994
arg,2011,987979768621.20703
arg,2012,983132079833.20605
arg,2013,1009300904116.44995
arg,2014,985147853466.12891
arg,2015,1013979355159.10999
arg,2016,989252238914.12012
arg,2017,1012884046242.68994
arg,2018,975529995608.18005
arg,2019,952599179698.10803
arg,2020,870250618519.18213
arm,1994,9038779713.52584
arm,1995,9965856786.80126
arm,1996,10564951584.5142
arm,1997,11268123860.9146
arm,1998,11746774686.1752
arm,1999,12120561203.9438
arm,2000,12825969086.254
arm,2001,14040604540.8012
arm,2002,15973251219.0194
arm,2003,18203777063.8825
arm,2004,20266052693.7756
arm,2005,23097094053.4669
arm,2006,26274425796.7582
arm,2007,30094729981.4253
arm,2008,32349408138.9093
arm,2009,27231254002.6746
arm,2010,28040654317.9834
arm,2011,28975046983.9912
arm,2012,31237905420.1798
arm,2013,32892139233.8051
arm,2014,33546819016.7952
arm,2015,34446553689.4167
arm,2016,33972594084.3959
arm,2017,36931077764.806
arm,2018,38177328249.8723
arm,2019,40958345984.1686
arm,2020,36904546139.1672
atg,2017,1791695125.50967
aus,2017,1158384166253.26001
aut,1990,290119388673.98901
aut,1991,298643035294.401
aut,1992,304286457663.53101
aut,1993,306109381595.90997
aut,1994,312826101053.93402
aut,1995,320031921599.742
aut,1996,328665788457.85602
aut,1997,334145798828.68597
aut,1998,345595727551.51801
aut,1999,354295975493.66602
aut,2000,368986167713.604
aut,2001,371758131991.33698
aut,2002,380964301470.81799
aut,2003,385850969456.23602
aut,2004,396864755971.07697
aut,2005,405467604045.32397
aut,2006,421371316576.02893
aut,2007,435600503552.47699
aut,2008,446125594746.84302
aut,2009,425571611201.24402
aut,2010,437218648393.14496
aut,2011,447747828312.51801
aut,2012,449738010566.06897
aut,2013,450602191205.68896
aut,2014,452967289743.02802
aut,2015,452465484340.80493
aut,2016,466020486307.14093
aut,2017,472121614071.57898
aut,2018,483742194883.02802
aut,2019,494009597000.15802
aut,2020,461882724039.03497
aze,2017,133891980747.811
bdi,1997,5075162764.82404
bdi,1998,5336220134.63983
bdi,1999,5257478657.13477
bdi,2000,5363917538.52346
bdi,2001,5320897031.07502
bdi,2002,5543968110.73201
bdi,2003,5444104018.56363
bdi,2004,5666927330.6181
bdi,2005,5790403226.19145
bdi,2006,6158957208.84911
bdi,2007,6388113499.74109
bdi,2008,6709998272.4943
bdi,2009,6917520975.485
bdi,2010,7302604723.803
bdi,2011,7579075151.31914
bdi,2012,7955971866.16424
bdi,2013,8377517753.24957
bdi,2014,8704057360.86667
bdi,2015,8380703404.46582
bdi,2016,8332932243.57654
bdi,2017,8362807306.07259
bdi,2018,8531655035.79628
bdi,2019,8693005125.57244
bdi,2020,8748488782.20749
bel,1990,355589528899.51099
bel,1991,363427641640.54694
bel,1992,368926225885.67297
bel,1993,368949723471.83899
bel,1994,383641072325.414
bel,1995,391851257177.89697
bel,1996,397513797387.27197
bel,1997,413016062052.67603
bel,1998,421124680081.42896
bel,1999,435535504223.37402
bel,2000,452718589491.03198
bel,2001,454469538569.37506
bel,2002,461595452555.41803
bel,2003,467211873479.81299
bel,2004,481304658239.90698
bel,2005,491752555357.12494
bel,2006,505218178240.17102
bel,2007,523550369829.49402
bel,2008,531083141159.93695
bel,2009,517678238833.98602
bel,2010,530689467095.76599
bel,2011,532373096410.59106
bel,2012,547729927859.75598
bel,2013,551044662358.55298
bel,2014,557794344808.25403
bel,2015,565459164517.30798
bel,2016,570082228146.34595
bel,2017,579048881302.26196
bel,2018,589364472592.36804
bel,2019,602519172357.78491
bel,2020,568989417403.85901
ben,1990,10620163269.1538
ben,1991,11114686888.7183
ben,1992,11213262810.7935
ben,1993,12089934592.3184
ben,1994,12287417625.5939
ben,1995,13047713569.6558
ben,1996,13617719027.8181
ben,1997,14489761044.1502
ben,1998,15178860387.8474
ben,1999,16022917994.3387
ben,2000,16958318942.8505
ben,2001,17854716981.0354
ben,2002,18632663133.51089
ben,2003,19265971756.4144
ben,2004,20140263960.7318
ben,2005,20553324502.9383
ben,2006,21330798873.3512
ben,2007,22572427214.8
ben,2008,23787386838.5057
ben,2009,24285595468.7659
ben,2010,24745032811.8438
ben,2011,25582366724.4808
ben,2012,26692763505.5241
ben,2013,28624349894.4569
ben,2014,30472667180.6281
ben,2015,30903652068.8093
ben,2016,31914440599.7584
ben,2017,33647417490.4049
ben,2018,35933789040.0239
ben,2019,38403844035.5127
ben,2020,39866780258.22089
bfa,1990,8951241744.9328
bfa,1991,9757732345.06415
bfa,1992,9773962818.83895
bfa,1993,10088598950.5202
bfa,1994,10209174783.5884
bfa,1995,10826607774.1885
bfa,1996,12099593268.1799
bfa,1997,12820005788.9447
bfa,1998,13755264254.062
bfa,1999,14802813507.26
bfa,2000,15048374675.7622
bfa,2001,16005723825.8611
bfa,2002,16612577728.2491
bfa,2003,17874132128.0893
bfa,2004,18730403062.99269
bfa,2005,20314228474.4148
bfa,2006,21739300000.548
bfa,2007,22631012169.3166
bfa,2008,23922726131.71009
bfa,2009,24431634035.4987
bfa,2010,26028003628.4822
bfa,2011,27425450923.8138
bfa,2012,29642676861.1028
bfa,2013,31326548230.4469
bfa,2014,32135895141.6852
bfa,2015,33310325319.4314
bfa,2016,35300437695.223
bfa,2017,37765264713.5699
bfa,2018,40508699638.6523
bfa,2019,41766920643.6012
bgd,1990,160371629986.72699
bgd,1991,165996630077.65701
bgd,1992,175468465365.345
bgd,1993,184190080843.17999
bgd,1994,192184292296.27301
bgd,1995,201800954925.26501
bgd,1996,209952486856.46301
bgd,1997,219722782053.74399
bgd,1998,231105778010.952
bgd,1999,242341678956.23096
bgd,2000,255630626264.642
bgd,2001,268086311636.79901
bgd,2002,280805704708.84601
bgd,2003,294158601085.31403
bgd,2004,310678420003.52502
bgd,2005,331325928719.33502
bgd,2006,357691000386.948
bgd,2007,385606198061.31201
bgd,2008,413085031183.21094
bgd,2009,434798507097.01099
bgd,2010,459942921373.966
bgd,2011,488706020906.22803
bgd,2012,522815097057.51099
bgd,2013,552136684401.43799
bgd,2014,578283874124.61499
bgd,2015,615067964313.88892
bgd,2016,654483998817.11096
bgd,2017,692953262569.39001
bgd,2018,749243046664.64111
bgd,2019,809438074633.703
bgd,2020,841259808348.16382
bgr,1990,103325995035.69299
bgr,1991,93231924784.40448
bgr,1992,93395856138.4538
bgr,1993,91962172688.9615
bgr,1994,93479630013.56641
bgr,1995,95440956024.2562
bgr,1996,99619082727.2896
bgr,1997,85884491112.7197
bgr,1998,90088439750.5919
bgr,1999,82887128813.9144
bgr,2000,85820971024.9584
bgr,2001,91232504072.3972
bgr,2002,98257456549.88861
bgr,2003,102994499479.192
bgr,2004,109263710656.414
bgr,2005,116021152798.89
bgr,2006,120727086025.174
bgr,2007,122552197869.13901
bgr,2008,133449382008.041
bgr,2009,130995066996.69299
bgr,2010,134510814420.41499
bgr,2011,135804726342.22
bgr,2012,139400562397.62399
bgr,2013,137423838916.847
bgr,2014,140609906447.90701
bgr,2015,142116827458.11801
bgr,2016,146351411879.59201
bgr,2017,148500455903.375
bgr,2018,151637091005.35999
bgr,2019,158572764842.17001
bgr,2020,152690435196.345
bhr,2000,32064514682.98569
bhr,2001,32567243123.3716
bhr,2002,33266578145.9052
bhr,2003,35576372168.57649
bhr,2004,38099538811.095
bhr,2005,41185735367.2547
bhr,2006,43986140820.4473
bhr,2007,47901750674.37489
bhr,2008,49679940263.8227
bhr,2009,47761770759.9938
bhr,2010,50054726151.6516
bhr,2011,48257939614.5382
bhr,2012,56381280147.7393
bhr,2013,59091903803.2599
bhr,2014,60945748120.3726
bhr,2015,62338574681.40009
bhr,2016,64633749865.40951
bhr,2017,67284010435.2343
bhr,2018,68771166639.5856
bhr,2019,70019100406.27409
bhs,1990,9325091359.67311
bhs,1991,8923465514.35523
bhs,1992,8824027500.9319
bhs,1993,8733859709.16205
bhs,1994,9004580068.79761
bhs,1995,10867056978.7235
bhs,1996,12119887255.5622
bhs,1997,10570814159.1987
bhs,1998,10051907860.8576
bhs,1999,11428956188.1969
bhs,2000,11892373376.9198
bhs,2001,12127113498.855
