geo,time,sl_emp_self_zs
afg,1991,90.9
afg,1992,91.05
afg,1993,91.56
afg,1994,92.12
afg,1995,91.9
afg,1996,92.16
afg,1997,92.39
afg,1998,92.62
afg,1999,92.89
afg,2000,93.26
afg,2001,93.72
afg,2002,92.91
afg,2003,92.58
afg,2004,92.52
afg,2005,92.14
afg,2006,91.92
afg,2007,91.35
afg,2008,91.08
afg,2009,89.85
afg,2010,88.57
afg,2011,87.89
afg,2012,86.64
afg,2013,85.66
afg,2014,84.88
afg,2015,84.21
afg,2016,83.5
afg,2017,82.45
afg,2018,82.34
afg,2019,82.19
ago,1991,67.76
ago,1992,67.34
ago,1993,67.65
ago,1994,66.97
ago,1995,66.89
ago,1996,66.42
ago,1997,66.66
ago,1998,66.8
ago,1999,64.63
ago,2000,64.25
ago,2001,64.51
ago,2002,64.88
ago,2003,64.81
ago,2004,64.16
ago,2005,63.79
ago,2006,64.81
ago,2007,65.03
ago,2008,65.83
ago,2009,70.13
ago,2010,70.64
ago,2011,71.9
ago,2012,72.11
ago,2013,73.01
ago,2014,74.48
ago,2015,75.77
ago,2016,76.57
ago,2017,77.4
ago,2018,78.38
ago,2019,78.51
alb,1991,64.11
alb,1992,65.62
alb,1993,65.56
alb,1994,65.48
alb,1995,64.95
alb,1996,64.61
alb,1997,66.51
alb,1998,66.03
alb,1999,64.92
alb,2000,64.11
alb,2001,62.9
alb,2002,62.4
alb,2003,61.64
alb,2004,60.86
alb,2005,60.28
alb,2006,58.87
alb,2007,58.1
alb,2008,60.17
alb,2009,57.92
alb,2010,56.7
alb,2011,61.08
alb,2012,63.06
alb,2013,59.52
alb,2014,57.93
alb,2015,58.81
alb,2016,58.6
alb,2017,57.1
alb,2018,55.48
alb,2019,54.27
are,1991,2.97
are,1992,2.97
are,1993,2.99
are,1994,2.98
are,1995,2.98
are,1996,2.97
are,1997,2.96
are,1998,2.99
are,1999,3
are,2000,2.95
are,2001,2.99
are,2002,3.01
are,2003,3.02
are,2004,3.03
are,2005,3.07
are,2006,3.29
are,2007,3.67
are,2008,4.18
are,2009,4.04
are,2010,3.84
are,2011,3.64
are,2012,3.46
are,2013,3.31
are,2014,3.16
are,2015,3.05
are,2016,2.94
are,2017,3.47
are,2018,3.97
are,2019,4.94
arg,1991,29.74
arg,1992,29.85
arg,1993,31.2
arg,1994,29.79
arg,1995,29.36
arg,1996,29.2
arg,1997,28.25
arg,1998,27.85
arg,1999,27.56
arg,2000,27.61
arg,2001,28.18
arg,2002,28.33
arg,2003,26.31
arg,2004,25.62
arg,2005,25.25
arg,2006,24.35
arg,2007,23.64
arg,2008,23.68
arg,2009,24.04
arg,2010,23.56
arg,2011,23.1
arg,2012,23
arg,2013,23.55
arg,2014,23.65
arg,2015,24.05
arg,2016,24.82
arg,2017,25.34
arg,2018,25.53
arg,2019,26.51
arm,1991,37.75
arm,1992,39.94
arm,1993,42.06
arm,1994,43.91
arm,1995,45.3
arm,1996,46.43
