global,time,sh_dyn_mort
world,1990,93.2
world,1991,92
world,1992,90.7
world,1993,89.5
world,1994,88.4
world,1995,86.5
world,1996,84.8
world,1997,82.8
world,1998,80.7
world,1999,78.4
world,2000,75.8
world,2001,73.2
world,2002,70.5
world,2003,67.8
world,2004,65.4
world,2005,62.5
world,2006,60
world,2007,57.6
world,2008,55.5
world,2009,53
world,2010,51.2
world,2011,49
world,2012,47.2
world,2013,45.5
world,2014,44
world,2015,42.6
world,2016,41.3
world,2017,40
world,2018,38.8
world,2019,37.7
world,2020,36.6
