geo,time,sh_sta_wast_zs
kaz,2010,4.1
kaz,2015,3.1
ken,1987,5.5
ken,1993,7.1
ken,1994,6.8
ken,1998,7.2
ken,2000,7.4
ken,2003,6.2
ken,2005,6.9
ken,2008,6.9
ken,2011,6.3
ken,2014,4.2
kgz,1997,2.9
kgz,2006,3.4
kgz,2009,1.3
kgz,2012,2.8
kgz,2014,2.8
kgz,2018,2
khm,1996,13.4
khm,2000,17.1
khm,2005,8.5
khm,2008,9.1
khm,2010,11
khm,2014,9.7
kir,1985,12.6
kir,2018,3.5
kor,2003,0.9
kor,2009,1.2
kwt,1996,1.7
kwt,2001,2.2
kwt,2002,2.2
kwt,2003,2.6
kwt,2004,3.4
kwt,2005,3.3
kwt,2006,2.8
kwt,2007,3.6
kwt,2008,2.2
kwt,2009,1.8
kwt,2010,2.4
kwt,2011,1.7
kwt,2012,2.4
kwt,2013,2.7
kwt,2014,2.4
kwt,2015,3.1
kwt,2016,2.4
kwt,2017,2.5
lao,1993,11.8
lao,1994,12.3
lao,2000,17.5
lao,2006,7.4
lao,2011,5.9
lao,2015,9.7
lao,2017,9
lbn,1996,3.6
lbn,2004,6.6
lbr,2000,7.4
lbr,2007,7.9
lbr,2010,4
lbr,2013,5.6
lbr,2016,4.3
lbr,2019,3.4
lby,1995,3.6
lby,2007,6.5
lby,2014,10.2
lca,2012,3.7
lka,1987,14.9
lka,1993,15
lka,1995,15.3
lka,2000,15.9
lka,2007,15.2
lka,2009,11.8
lka,2012,21.3
lka,2016,15.1
lso,1992,3.2
lso,1993,22.4
lso,2004,5.6
lso,2009,3.8
lso,2014,2.8
lso,2018,2.1
mar,1987,3.9
mar,1992,2.6
mar,1997,4.7
mar,2003,10.8
mar,2011,2.3
mar,2017,2.6
mda,2005,5.8
mda,2012,1.9
mdg,1992,6.4
mdg,1993,16.4
mdg,1995,9
mdg,1997,8.9
mdg,2004,15.1
mdg,2012,7.5
mdg,2018,6.4
mdv,1994,16.1
mdv,1995,18.9
mdv,1997,19.9
mdv,2001,13.4
mdv,2009,10.6
mdv,2017,9.1
mex,1988,6.1
mex,1989,6.1
mex,1996,8.5
mex,1998,2
mex,2006,2
mex,2012,1.6
mex,2015,1
mex,2016,2
mex,2019,1.4
mhl,2017,3.5
mkd,1999,1.7
mkd,2005,3.4
mkd,2011,1.8
mkd,2019,3.4
mli,1987,11.3
mli,1996,22
mli,2001,12.6
mli,2006,15.4
mli,2010,8.9
mli,2011,10.4
mli,2014,13.1
mli,2015,13.5
mli,2016,10.6
mli,2017,10.5
mli,2018,9
mli,2019,9.3
mmr,1991,12.7
mmr,1994,9.2
mmr,1997,9.6
mmr,2000,10.7
mmr,2003,11.7
mmr,2009,7.9
mmr,2016,6.6
mmr,2018,6.7
mne,2005,4.2
mne,2013,2.8
mne,2018,2.2
mng,1992,2.4
mng,1999,4.3
mng,2000,7.1
mng,2004,0.6
mng,2005,2.7
mng,2010,1.6
mng,2013,1
mng,2016,1.2
mng,2018,0.9
moz,1995,9.6
moz,1997,9.8
moz,2001,8.1
moz,2003,5.4
moz,2008,4.2
moz,2011,6.1
moz,2015,4.4
mrt,1988,19.1
mrt,1996,8.7
mrt,2000,15.3
mrt,2007,13.6
mrt,2008,8.1
mrt,2011,13.9
mrt,2012,11.7
mrt,2015,14.8
mrt,2018,11.5
mus,1985,18.3
mus,1995,15.7
mwi,1992,6.6
mwi,1995,8.5
mwi,1998,8.7
mwi,2000,6.8
mwi,2002,6.3
mwi,2004,6.3
mwi,2006,4.2
mwi,2009,1.8
mwi,2010,4
mwi,2014,3.8
mwi,2015,2.8
mwi,2016,3.9
mwi,2017,2.4
mwi,2018,1.3
mwi,2019,0.6
mys,1999,15.3
mys,2006,13.2
mys,2015,8
mys,2016,11.5
mys,2019,9.7
nam,1992,9.6
nam,2000,10
nam,2007,7.6
nam,2013,7.1
ner,1985,25.3
ner,1992,18.8
ner,1998,19.8
ner,2000,16.2
ner,2006,11.6
ner,2007,12.5
ner,2008,13.8
ner,2009,12.5
ner,2010,15.8
ner,2011,12.6
ner,2012,13.4
ner,2013,12.4
ner,2014,14.2
ner,2015,13.6
ner,2016,10.4
ner,2018,14.1
ner,2019,9.8
nga,1990,11.7
nga,1993,20.6
nga,2003,11.2
nga,2011,10.2
nga,2014,7.9
nga,2015,7.3
nga,2016,10.8
nga,2018,6.8
nga,2020,6.5
nic,1993,2.5
nic,1998,3.4
nic,2001,2.3
nic,2004,0.3
nic,2007,1.5
nic,2012,2.2
nld,1996,1.2
nld,2009,1
npl,1995,6
npl,1996,12.6
npl,1998,7.9
npl,2001,11.3
npl,2006,12.7
npl,2011,11.2
npl,2014,11.3
npl,2016,9.6
npl,2019,12
nru,2007,1
omn,1991,7.8
omn,1994,7.2
omn,1999,7.8
omn,2009,7.1
omn,2014,7.5
omn,2017,9.3
pak,1986,24
pak,1991,12.5
pak,1992,17.2
pak,2001,14.1
pak,2011,14.9
pak,2013,10.5
pak,2018,7.1
pan,1997,1.3
pan,2003,1.6
pan,2008,1.2
per,1991,1.9
per,1996,1.6
per,2000,1.1
per,2005,1
per,2007,0.8
per,2009,0.6
per,2010,0.7
per,2011,0.4
per,2012,0.6
per,2013,0.4
per,2014,0.6
per,2015,0.6
per,2016,0.6
per,2017,0.5
per,2018,0.5
per,2019,0.4
phl,1987,5.7
phl,1990,6.9
phl,1992,8.8
phl,1993,9.1
phl,1998,8
phl,2003,6
phl,2008,6.6
phl,2011,7
phl,2013,7.6
phl,2015,6.8
phl,2018,5.6
png,1983,5.5
png,2005,4.4
png,2010,14.1
pol,2011,0.7
prk,1998,20.8
prk,2000,12.2
prk,2002,8.7
prk,2004,8.5
prk,2009,5.2
prk,2012,4
prk,2017,2.5
prt,2016,0.6
pry,1990,0.6
pry,1998,1.6
pry,2005,1.1
pry,2012,2.6
pry,2016,1
pse,1996,3
pse,2000,2
pse,2004,3.2
pse,2006,1.8
pse,2010,3.3
pse,2014,1.2
pse,2020,1.3
qat,1995,2.1
rou,1991,3.3
rou,1999,3.6
rou,2000,4.3
rou,2001,3.9
rou,2002,3.5
rwa,1992,5
rwa,1996,11
rwa,2000,8.7
rwa,2005,4.9
rwa,2009,5.1
rwa,2010,2.9
rwa,2012,2.4
rwa,2015,2
rwa,2018,2
rwa,2020,1.1
sau,1994,2.9
sau,2004,11.8
sdn,2006,14.5
sdn,2010,15.4
sdn,2014,16.3
sen,1986,5.1
sen,1991,9
sen,1993,9.4
sen,1996,8.2
sen,2000,10
sen,2005,8.7
sen,2011,9.8
sen,2012,8.7
sen,2013,9
sen,2014,5.9
sen,2015,7.8
sen,2016,7.1
sen,2017,9
sen,2018,7.8
sen,2019,8.1
sgp,2000,3.6
slb,1989,7.4
slb,2007,4.3
slb,2015,8.5
sle,1989,8.4
sle,1990,10.2
sle,2000,11.6
sle,2005,10.2
sle,2010,7.5
sle,2014,4.6
sle,2017,5.1
sle,2019,5.4
slv,1988,2.2
slv,1993,1.5
slv,1998,1.5
slv,2003,1.3
slv,2008,1.6
slv,2014,2.1
som,1999,19.3
som,2006,13.3
som,2009,14.3
srb,2005,4.5
srb,2010,3.5
srb,2014,3.9
srb,2019,2.6
ssd,2006,24.6
ssd,2010,22.7
stp,1986,6
stp,2014,4
stp,2019,4.1
sur,2000,7
sur,2006,4.9
sur,2010,5
sur,2018,5.5
swz,2000,1.7
swz,2006,2.9
swz,2008,1.1
swz,2010,0.8
swz,2014,2
syc,1988,2.7
syc,2012,4.3
syr,1993,10
syr,1995,10.4
syr,2000,4.9
syr,2001,10.2
syr,2006,10.3
syr,2010,11.5
tcd,1997,16.5
tcd,2000,13.9
tcd,2004,16.2
tcd,2010,16.3
tcd,2015,13.3
tcd,2017,13.5
tcd,2018,13.5
tcd,2019,13.9
tgo,1988,5.9
tgo,1998,12.4
tgo,2008,6
tgo,2009,6.1
tgo,2010,4.7
tgo,2012,5.5
tgo,2014,6.6
tgo,2017,5.7
tha,1987,5.7
tha,1993,7.3
tha,1995,6.7
tha,2006,4.7
tha,2012,6.7
tha,2016,5.4
tha,2019,7.7
tjk,1999,11.4
tjk,2000,9.4
tjk,2001,19.4
tjk,2002,6.1
tjk,2003,5.9
tjk,2005,8.7
tjk,2007,6.9
tjk,2009,4.3
tjk,2012,9.9
tjk,2016,3.5
tjk,2017,5.6
tkm,2000,7.1
tkm,2006,7.2
tkm,2015,4.2
tkm,2019,4.1
tls,2002,13.7
tls,2003,14.3
tls,2007,21.3
tls,2009,18.9
tls,2013,9.9
ton,1986,1.3
ton,2012,5.2
ton,2019,1.1
tto,1987,4.8
tto,2000,5.2
tto,2011,6.4
tun,1988,3.1
tun,1997,7.2
tun,2000,2.9
tun,2006,3.4
tun,2012,2.8
tun,2018,2.1
tur,1993,3.9
tur,1998,3
tur,2004,1.1
tur,2008,1
tur,2013,1.9
tur,2018,1.7
tuv,2007,3.3
tza,1991,7.8
tza,1996,8.5
tza,1999,5.6
tza,2004,3.5
tza,2009,2.9
tza,2010,4.9
tza,2011,6.2
tza,2013,4.4
tza,2014,3.8
tza,2015,4.5
tza,2018,3.5
uga,1988,3.1
uga,1995,5.9
uga,2000,5
uga,2006,6.2
uga,2009,4.4
uga,2011,4.6
uga,2012,4.2
uga,2014,3.8
uga,2016,3.5
ukr,2000,8.2
ury,1999,2.3
ury,2002,2.4
ury,2003,2.8
ury,2004,3
ury,2007,2.5
ury,2011,1.3
ury,2013,1
ury,2016,0.7
ury,2018,1.4
usa,1991,0.5
usa,2000,0.5
usa,2002,0.3
usa,2004,0.7
usa,2006,0.9
usa,2008,0.6
usa,2010,0.1
usa,2012,0.3
usa,2014,0.3
usa,2016,0.4
usa,2018,0.1
uzb,1996,10.7
uzb,2002,9
uzb,2006,4.4
uzb,2017,1.8
ven,1987,2.2
ven,1990,5.7
ven,1991,4.5
ven,1992,4.3
ven,1993,4
ven,1994,3.8
ven,1995,3.8
ven,1996,3.8
ven,1997,3.8
ven,1998,4.4
ven,1999,4
ven,2000,3.9
ven,2001,4.4
ven,2002,4.8
ven,2003,5.2
ven,2004,5.2
ven,2005,4.8
ven,2006,4.8
ven,2007,5
ven,2008,4.5
ven,2009,4.1
vnm,1988,11.1
vnm,1993,6.7
vnm,1994,13.5
vnm,1998,11.9
vnm,1999,11
vnm,2000,6.1
vnm,2002,8.9
vnm,2003,10.9
vnm,2004,11.3
vnm,2005,10.7
vnm,2006,9.9
vnm,2007,10.1
vnm,2008,9.7
vnm,2009,7.1
vnm,2010,4.1
vnm,2011,6.6
vnm,2012,6.7
vnm,2013,6.6
vnm,2014,6.8
vnm,2015,6.4
vnm,2017,5.8
vut,1996,6.8
vut,2008,5.9
vut,2013,4.7
wsm,1999,1.3
wsm,2014,3.9
wsm,2019,3.1
yem,1991,14.1
yem,1996,17.4
yem,1997,16.5
yem,2003,15.3
yem,2005,13.8
yem,2011,13.3
yem,2013,16.4
zaf,1994,3.3
zaf,1999,4.5
zaf,2008,4.8
zaf,2015,3.5
zaf,2016,2.5
zaf,2017,3.4
zmb,1992,6.3
zmb,1996,5.3
zmb,1999,5
zmb,2002,6.2
zmb,2007,5.6
zmb,2013,6.2
zmb,2018,4.2
zwe,1988,1.7
zwe,1994,5.3
zwe,1999,8.3
zwe,2005,7.2
zwe,2009,2.4
zwe,2010,3.2
zwe,2014,3.2
zwe,2015,3.3
zwe,2019,2.9
