global,time,sh_xpd_pvtd_pp_cd
world,2000,270.71115
world,2001,286.68719
world,2002,303.55686
world,2003,322.51251
world,2004,339.56292
world,2005,358.68648
world,2006,379.21626
world,2007,398.96068
world,2008,411.70901
world,2009,425.99469
world,2010,434.65941
world,2011,448.37232
world,2012,467.25353
world,2013,485.86103
world,2014,495.01824
world,2015,507.87393
world,2016,530.29321
world,2017,546.85582
world,2018,573.00143
world,2019,595.21601
