geo,time,bn_fin_totl_cd
abw,1986,-11553072.6257
abw,1987,-11675977.65363
abw,1988,-57150837.98883
abw,1989,-26312849.16201
abw,1990,-160558659.21788
abw,1991,-205921787.7095
abw,1992,46703910.61453
abw,1993,41843575.41899
abw,1994,72178770.94972
abw,1995,1173184.35754
abw,1996,-36815642.4581
abw,1997,-177318435.75419
abw,1998,-12960893.85475
abw,1999,-451798882.68156
abw,2000,230912905.02793
abw,2001,301804469.27374
abw,2002,-308262569.8324
abw,2003,-42756983.24022
abw,2004,292960893.85475
abw,2005,147657078.66896
abw,2006,332551631.07532
abw,2007,282122905.02793
abw,2008,150558659.21788
abw,2009,80891653.03771
abw,2010,-445642458.10056
abw,2011,-261675977.65363
abw,2012,103240223.46369
abw,2013,-332477379.88827
abw,2014,-176135911.73184
abw,2015,111939234.07821
abw,2016,125601681.38205
abw,2017,16539288.75466
abw,2018,-22952851.74152
abw,2019,84221603.08887
abw,2020,-328243084.7447
afg,1979,-122300000
afg,1980,32600000
afg,1981,-108400000
afg,1982,-145400000
afg,1983,-239300000
afg,1984,-249300000
afg,1985,-73700000
afg,1986,-319690000
afg,1987,45900000
afg,1988,-20200000
afg,1989,41300000
afg,2008,905853834.36302
afg,2009,676568206.75838
afg,2010,1104046482.02849
afg,2011,1347451737.21221
afg,2012,915508552.00283
afg,2013,184129513.22339
afg,2014,411097007.22873
afg,2015,-254059174.81462
afg,2016,692724161.02236
afg,2017,472475137.80131
afg,2018,520176646.49976
afg,2019,59978560.92205
afg,2020,613785246.00619
ago,1985,-460000000
ago,1986,-507000000
ago,1987,-387000000
ago,1988,-726000000
ago,1989,-810000000
ago,1990,-254700000
ago,1991,-552700000
ago,1992,-691791000
ago,1993,-1045600000
ago,1994,-584300000
ago,1995,-314423000
ago,1996,3415535000
ago,1997,-1054170000
ago,1998,-1480540000
ago,1999,-1782390000
ago,2000,763510000
ago,2001,-1736170000
ago,2002,-217670000
ago,2003,-1519490335
ago,2004,1403446296.56375
ago,2005,4571463956.17027
ago,2006,10957772272.3872
ago,2007,8947428456.57332
ago,2008,5971223099.84514
ago,2009,-7103015570.56432
ago,2010,7746598127.69954
ago,2011,13072527862.9191
ago,2012,3869914520.2424
ago,2013,3758422537.33644
ago,2014,-7575365934.85995
ago,2015,-11468646459.8181
ago,2016,-4889178222.22588
ago,2017,-748662117.73425
ago,2018,7247535373.65362
ago,2019,4207621474.92498
ago,2020,167737.0679
alb,1980,5400000
alb,1981,65700000
alb,1982,-68700000
alb,1983,-11700000
alb,1984,-20500000
alb,1985,-30400000
alb,1986,300000
alb,1987,17500000
alb,1988,-5100000
alb,1989,-34500000
alb,1990,-120300000
alb,1991,-42800000
alb,1992,-6000000
alb,1993,4700000
alb,1994,-33600000
alb,1995,432000000
alb,1996,-5300000
alb,1997,-111300000
alb,1998,39190000
alb,1999,72500000
alb,2000,-68300000
alb,2001,36100000
alb,2002,-177560000
alb,2003,-102554862.35675
alb,2004,-110404986.01641
alb,2005,-244501983.66916
alb,2006,-254128559.50057
alb,2007,-841637113.33661
alb,2008,-1928177967.97063
alb,2009,-1319492758.86279
alb,2010,-808104205.51948
alb,2011,-1243987165.53483
alb,2012,-804527732.09904
alb,2013,-1071286951.54717
alb,2014,-1237139563.59305
alb,2015,-682392076.54938
alb,2016,-685334518.81357
alb,2017,-1045411930.54619
alb,2018,-915474748.51987
alb,2019,-1018802164.17965
alb,2020,-960514475.34488
and,2019,570076956.35728
arg,1976,431000000
arg,1977,1260000000
arg,1978,1884000000
arg,1979,-283000000
arg,1980,-5067000000
arg,1981,-4922000000
arg,1982,-2755000000
arg,1983,-2804000000
arg,1984,-2581000000
arg,1985,-1357000000
arg,1986,-2671000000
arg,1987,-4356000000
arg,1988,-1687000000
arg,1989,-1350000000
arg,1990,4771000000
arg,1991,-772000000
arg,1992,-5879377230.52261
arg,1993,-9929834222.56199
arg,1994,-13081918149.039
arg,1995,-7789095694.50173
arg,1996,-8316033500.02279
arg,1997,-14368490467.9407
arg,1998,-14843898101.4051
arg,1999,-12421233145.7969
arg,2000,-9071003829.39135
arg,2001,-6487785369.18896
arg,2002,7294010000
arg,2003,6822710000
arg,2004,3940389994.36718
arg,2005,5472730000
arg,2006,7480430887.96754
arg,2007,5899446879.66722
arg,2008,6553954182.71813
arg,2009,6712782617.35371
arg,2010,-3802103287.42484
arg,2011,-5252202975.22252
arg,2012,-2788135613.77819
arg,2013,-16164896491.2533
arg,2014,-9320672304.62319
arg,2015,-18497849221.9529
arg,2016,-13964056184.691
arg,2017,-31273187931.0112
arg,2018,-28035820784.839
arg,2019,-5068688926.00883
arg,2020,3667390181.84604
arm,1993,-46661000
arm,1994,-93934000
arm,1995,-199197000
arm,1996,-262829994
arm,1997,-300156091.5092
arm,1998,-388852417.6812
arm,1999,-314617167.73988
arm,2000,-215872417.06155
arm,2001,-136777405.78137
arm,2002,-84772531.75976
arm,2003,-72358558.77097
