geo,time,per_si_allsi_cov_q2_tot
afg,2007,0.29415
ago,2018,2.14533
alb,2008,46.19104
alb,2012,37.60803
arg,2006,20.56537
arg,2010,26.56802
arg,2011,25.95005
arg,2012,27.02165
arg,2013,27.96784
arg,2014,26.05518
arg,2016,28.46007
arg,2017,30.20642
arg,2018,28.75177
arg,2019,30.6251
arm,2008,52.03017
arm,2009,54.79094
arm,2010,53.58924
arm,2011,55.29212
arm,2012,58.30037
arm,2013,52.71358
arm,2014,57.85232
arm,2015,54.95226
arm,2016,53.67999
arm,2017,60.54599
arm,2018,53.48797
aze,2015,53.57414
ben,2003,3.53467
bfa,2014,1.08233
bfa,2018,0.53649
bgd,2005,0.75056
bgd,2010,0.56946
bgd,2016,0.48225
bgr,2007,53.41793
bih,2007,40.44717
bih,2015,42.85737
blr,2008,42.02243
blr,2009,42.63866
blr,2010,43.69881
blr,2012,46.73481
blr,2013,51.18194
blr,2014,48.40353
blr,2015,52.64119
blr,2016,48.92817
blr,2017,49.23967
blr,2018,51.01808
blr,2019,45.80671
blz,2009,30.27312
bol,2006,1.15741
bol,2007,1.4985
bol,2008,4.89873
bol,2009,2.99909
bol,2011,4.74642
bol,2012,5.32901
bol,2014,4.3078
bol,2015,3.37665
bol,2016,2.95262
bol,2017,2.82374
bol,2018,3.26828
bol,2019,3.43284
bra,2006,23.39757
bra,2009,21.54428
bra,2011,23.44597
bra,2012,22.88915
bra,2015,26.33465
bra,2016,24.47529
bra,2017,24.9276
bra,2018,26.20904
bra,2019,25.42485
btn,2007,1.98863
btn,2012,0.7194
btn,2017,0.3023
bwa,2015,1.14153
chl,2006,31.18903
chl,2009,43.52848
chl,2011,22.64073
chl,2013,46.28691
chl,2015,45.65762
chl,2017,48.65854
chn,2013,31.54331
civ,2002,20.85521
civ,2008,4.8361
civ,2015,6.43579
cmr,2007,2.1233
cmr,2014,1.99111
cod,2004,1.00428
cod,2012,0.60342
cog,2005,8.76058
col,2010,2.06947
col,2011,1.92033
col,2012,2.09943
col,2014,3.2183
col,2015,2.83153
col,2016,3.11514
col,2017,3.3682
col,2018,2.79742
col,2019,2.79873
com,2004,1.21478
cpv,2007,5.93562
cri,2008,9.2583
cri,2009,20.08338
cri,2010,10.95192
cri,2011,10.50593
cri,2012,11.70178
cri,2014,11.07178
cri,2015,12.35959
cri,2016,12.77624
cri,2017,14.38371
cri,2018,14.3855
cri,2019,13.48266
dji,2012,8.64577
dma,2002,11.55934
dom,2007,4.50129
dom,2008,3.83018
dom,2009,2.83429
dom,2010,4.10649
dom,2011,4.60043
dom,2012,2.87143
dom,2013,3.77069
dom,2014,5.10834
dom,2015,4.85781
dom,2016,4.98487
dom,2017,3.27701
dom,2018,3.29788
dom,2019,4.09256
ecu,2008,3.06716
ecu,2010,3.84205
ecu,2011,5.17662
ecu,2012,6.80824
ecu,2014,6.79901
ecu,2015,7.3643
ecu,2016,7.52612
ecu,2017,7.73307
ecu,2018,6.96064
ecu,2019,8.04634
egy,2008,14.17697
eth,2015,0.86957
eth,2018,0.30329
fji,2008,5.44408
fji,2013,6.55147
fsm,2000,16.9863
gab,2005,14.53441
gha,2005,2.63602
gha,2012,59.41805
gha,2016,49.11279
gin,2012,0.68829
gmb,1998,2.02647
gmb,2010,1.46607
gmb,2015,1.52499
gtm,2006,1.87617
gtm,2011,2.23531
gtm,2014,1.13722
hnd,2008,0.67837
hnd,2009,0.98261
hnd,2010,1.03678
hnd,2011,1.05567
hnd,2013,0.85688
hnd,2015,0.5005
hnd,2016,0.75589
hnd,2017,0.78794
hrv,2008,59.82492
hrv,2010,62.27174
hrv,2011,60.12349
hrv,2014,50.52231
hti,2012,0.14392
hun,2007,58.58029
idn,2014,2.91703
idn,2015,3.13065
idn,2017,4.52569
idn,2018,5.01999
idn,2019,5.47183
ind,2011,21.56445
irq,2006,24.62005
irq,2012,25.63162
jam,2002,4.38123
jam,2010,3.38691
jam,2017,4.55943
jor,2006,24.28553
jor,2010,25.94731
kaz,2007,29.72131
kaz,2010,28.58037
kaz,2014,1.20512
kaz,2015,26.65336
kaz,2017,29.46912
ken,2005,0.68911
ken,2015,0.7466
kgz,2006,28.41186
kgz,2011,41.52589
kgz,2012,42.2426
kgz,2013,38.38774
khm,2008,2.61843
khm,2013,1.18687
kos,2006,23.58856
kos,2011,37.67568
kos,2012,42.79776
kos,2013,39.23979
lao,2007,0.73173
lao,2018,1.03832
lbn,2004,43.30461
lbr,2007,0.75239
lbr,2016,0.20585
lka,2006,2.42984
lka,2009,3.62441
lka,2012,4.30347
lka,2016,4.261
lso,2017,0.34512
ltu,2008,47.82699
lva,2008,51.07332
lva,2009,51.71131
mda,2010,45.53878
mda,2012,47.17542
mda,2013,49.37466
mda,2018,53.50159
mdv,2004,3.03224
mdv,2009,2.14697
mdv,2016,4.74714
