global,time,en_atm_meth_ag_zs
world,1970,54.29543
world,1971,55.33839
world,1972,53.68525
world,1973,53.83131
world,1974,54.32609
world,1975,54.27145
world,1976,53.09384
world,1977,52.26447
world,1978,51.93054
world,1979,51.00431
world,1980,51.22768
world,1981,51.68816
world,1982,48.94437
world,1983,49.98928
world,1984,50.81407
world,1985,50.23126
world,1986,49.21226
world,1987,47.6544
world,1988,48.51105
world,1989,48.34754
world,1990,45.6984
world,1991,45.86713
world,1992,46.07712
world,1993,46.0022
world,1994,46.52992
world,1995,46.71437
world,1996,46.48035
world,1997,46.10638
world,1998,46.3755
world,1999,46.50046
world,2000,46.22557
world,2001,45.84598
world,2002,45.75709
world,2003,45.15895
world,2004,45.25618
world,2005,45.29376
world,2006,44.86751
world,2007,44.63747
world,2008,44.18998
