global,time,sh_sta_odfc_ru_zs
world,2000,37.11916
world,2001,36.06557
world,2002,34.9618
world,2003,33.9346
world,2004,32.88802
world,2005,31.80465
world,2006,30.66809
world,2007,29.54446
world,2008,28.39095
world,2009,27.21609
world,2010,26.02056
world,2011,24.92244
world,2012,23.66951
world,2013,22.39827
world,2014,21.10838
world,2015,19.82597
world,2016,18.51385
world,2017,17.35973
world,2018,16.05754
world,2019,14.77896
world,2020,13.51955
