geo,time,sh_dyn_ncom_fe_zs
afg,2000,39.4
afg,2001,40.1
afg,2002,40.5
afg,2003,40.1
afg,2004,40.2
afg,2005,40
afg,2006,39.8
afg,2007,39.5
afg,2008,38.9
afg,2009,37.8
afg,2010,37.4
afg,2011,36.8
afg,2012,36.3
afg,2013,36.1
afg,2014,35.7
afg,2015,35.7
afg,2016,36
afg,2017,35.9
afg,2018,36
afg,2019,36.2
ago,2000,24.8
ago,2001,24.6
ago,2002,25
ago,2003,25.5
ago,2004,25.4
ago,2005,24.6
ago,2006,24.4
ago,2007,22.8
ago,2008,22.9
ago,2009,21.6
ago,2010,21.8
ago,2011,21
ago,2012,21
ago,2013,20.6
ago,2014,19.6
ago,2015,19.8
ago,2016,19.8
ago,2017,19.5
ago,2018,19.3
ago,2019,19.4
alb,2000,12.9
alb,2001,11
alb,2002,12.3
alb,2003,12.6
alb,2004,12
alb,2005,14.5
alb,2006,17.1
alb,2007,17
alb,2008,16.8
alb,2009,16.9
alb,2010,17
alb,2011,19.7
alb,2012,10.5
alb,2013,10
alb,2014,9.7
alb,2015,10
alb,2016,8.3
alb,2017,7.5
alb,2018,6.7
alb,2019,6
are,2000,21.9
are,2001,21.6
are,2002,21.1
are,2003,20.7
are,2004,20.2
are,2005,19.8
are,2006,19.2
are,2007,18.8
are,2008,18.1
are,2009,17.8
are,2010,17.6
are,2011,17.4
are,2012,17.2
are,2013,17
are,2014,16.8
are,2015,16.5
are,2016,16.2
are,2017,16
are,2018,15.7
are,2019,15.5
arg,2000,14.5
arg,2001,14.4
arg,2002,14.3
arg,2003,14.3
arg,2004,14
arg,2005,13.5
arg,2006,13.3
arg,2007,13.7
arg,2008,13.3
arg,2009,13.2
arg,2010,13.2
arg,2011,13.2
arg,2012,13.1
arg,2013,12.8
arg,2014,12.4
arg,2015,12.5
arg,2016,12.9
arg,2017,12.4
arg,2018,12.2
arg,2019,12.1
arm,2000,20.2
arm,2001,19.6
arm,2002,19.1
arm,2003,19.2
arm,2004,19
arm,2005,18.5
arm,2006,18.5
arm,2007,18
arm,2008,19.1
arm,2009,18.6
arm,2010,17.4
arm,2011,16.3
arm,2012,16.2
arm,2013,15.3
arm,2014,14.8
arm,2015,15.3
arm,2016,14.4
arm,2017,14.1
arm,2018,13.4
arm,2019,13.4
atg,2000,16.4
atg,2001,16
atg,2002,16.4
atg,2003,16.2
atg,2004,16
atg,2005,15.9
atg,2006,15.8
atg,2007,16.7
atg,2008,15.8
atg,2009,15.8
atg,2010,16
atg,2011,15.9
atg,2012,15.2
atg,2013,16
atg,2014,17.1
atg,2015,17.6
atg,2016,17.8
atg,2017,18.2
atg,2018,17.7
atg,2019,17.6
aus,2000,9.8
aus,2001,9.5
aus,2002,9.5
aus,2003,9.1
aus,2004,8.9
aus,2005,8.7
aus,2006,8.3
aus,2007,8.2
aus,2008,8.1
aus,2009,7.9
aus,2010,7.6
aus,2011,7.6
aus,2012,7.4
aus,2013,7.2
aus,2014,7.3
aus,2015,7.3
aus,2016,7.1
aus,2017,6.9
aus,2018,6.9
aus,2019,6.8
aut,2000,10.7
aut,2001,10.4
aut,2002,9.9
aut,2003,9.7
aut,2004,9.4
aut,2005,9.1
aut,2006,8.9
aut,2007,8.7
aut,2008,8.7
aut,2009,8.8
aut,2010,8.8
aut,2011,8.8
aut,2012,8.9
aut,2013,8.6
aut,2014,8.7
aut,2015,8.6
aut,2016,8.4
aut,2017,8
aut,2018,8.1
aut,2019,7.9
aze,2000,25.5
aze,2001,25.1
aze,2002,25
aze,2003,25.3
aze,2004,25.1
aze,2005,25
aze,2006,24.3
aze,2007,23.7
aze,2008,23.4
aze,2009,23.1
aze,2010,22.6
aze,2011,22.1
aze,2012,21.7
aze,2013,21.3
aze,2014,21.1
aze,2015,21.1
aze,2016,21
aze,2017,20.9
aze,2018,20.6
aze,2019,20.4
bdi,2000,35.5
bdi,2001,34.1
bdi,2002,33
bdi,2003,32
bdi,2004,31.4
bdi,2005,30.6
bdi,2006,29.6
bdi,2007,28.4
bdi,2008,27.5
bdi,2009,26.9
bdi,2010,26.4
bdi,2011,26
bdi,2012,25.5
bdi,2013,25.1
bdi,2014,24.7
bdi,2015,24.3
bdi,2016,23.8
bdi,2017,23.5
bdi,2018,23.4
bdi,2019,23.2
bel,2000,10.7
bel,2001,10.5
bel,2002,10.6
bel,2003,10.3
bel,2004,9.7
bel,2005,9.9
bel,2006,9.7
bel,2007,9.6
bel,2008,9.6
bel,2009,9.6
bel,2010,9.7
bel,2011,9.5
bel,2012,9.1
bel,2013,9.1
bel,2014,8.7
bel,2015,8.8
bel,2016,8.4
bel,2017,8.5
bel,2018,8.3
bel,2019,8.2
ben,2000,22.8
ben,2001,22.7
ben,2002,22.6
ben,2003,22.5
ben,2004,22.4
ben,2005,22.3
ben,2006,22.2
ben,2007,22
ben,2008,21.6
ben,2009,21.8
ben,2010,21.8
ben,2011,21.8
ben,2012,21.8
ben,2013,21.7
ben,2014,21.6
ben,2015,21.5
ben,2016,21.4
ben,2017,21.4
ben,2018,21.1
ben,2019,21
bfa,2000,24.3
bfa,2001,24.2
bfa,2002,24.2
bfa,2003,24
bfa,2004,24
bfa,2005,23.9
bfa,2006,23.8
bfa,2007,23.7
bfa,2008,23.3
bfa,2009,23.2
bfa,2010,23
bfa,2011,22.7
bfa,2012,22.8
bfa,2013,22.8
bfa,2014,22.7
bfa,2015,22.7
bfa,2016,22.6
bfa,2017,22.4
bfa,2018,22.3
bfa,2019,22.1
bgd,2000,18.4
bgd,2001,18.2
bgd,2002,18.4
bgd,2003,18.2
bgd,2004,18.2
bgd,2005,18.7
bgd,2006,18.7
bgd,2007,18.2
bgd,2008,17.7
bgd,2009,17.6
bgd,2010,17.7
bgd,2011,16.9
bgd,2012,16.6
bgd,2013,16.5
bgd,2014,16.2
bgd,2015,16.1
bgd,2016,16.1
bgd,2017,16.2
bgd,2018,16.3
bgd,2019,16.2
bgr,2000,20.2
bgr,2001,19.6
bgr,2002,19.5
bgr,2003,19.1
bgr,2004,18.7
bgr,2005,18.6
bgr,2006,18.5
bgr,2007,17.7
bgr,2008,17.2
bgr,2009,17.1
