geo,time,bx_trf_curr_cd
abw,1986,18379888.26816
abw,1987,15418994.41341
abw,1988,14860335.19553
abw,1989,17988826.81564
abw,1990,33798882.68156
abw,1991,38100558.65922
abw,1992,45921787.7095
abw,1993,43407821.22905
abw,1994,47486033.51955
abw,1995,71452513.96648
abw,1996,18379888.26816
abw,1997,18435754.18994
abw,1998,29273743.01676
abw,1999,36312849.16201
abw,2000,39452513.96648
abw,2001,42067039.10615
abw,2002,40955307.26257
abw,2003,40782122.90503
abw,2004,44748603.35196
abw,2005,50974326.15307
abw,2006,53227884.03848
abw,2007,56815642.4581
abw,2008,66592178.77095
abw,2009,67877094.97207
abw,2010,69944134.07821
abw,2011,74189944.13408
abw,2012,79441340.78212
abw,2013,103149356.98324
abw,2014,92941155.30726
abw,2015,93962209.49721
abw,2016,91427919.70856
abw,2017,90422547.21051
abw,2018,116632161.95295
abw,2019,98691884.04201
abw,2020,99423197.13375
afg,1979,82300000
afg,1980,192200000
afg,1981,136900000
afg,1982,133400000
afg,1983,120200000
afg,1984,127300000
afg,1985,143700000
afg,1986,267400000
afg,1987,311700000
afg,1988,342800000
afg,1989,312100000
afg,2008,1811890621.13741
afg,2009,2855676267.33009
afg,2010,3356711613.80737
afg,2011,2374973726.28117
afg,2012,2637537095.31763
afg,2013,4004169360.61421
afg,2014,3520167888.18207
afg,2015,2954530815.60602
afg,2016,3569937171.47145
afg,2017,3270032370.05919
afg,2018,2644765301.80806
afg,2019,2084533696.72122
afg,2020,2519766480.88518
ago,1985,37000000
ago,1986,159000000
ago,1987,60000000
ago,1988,42000000
ago,1989,65000000
ago,1990,65600000
ago,1991,111100000
ago,1992,170928000
ago,1993,253400000
ago,1994,333200000
ago,1995,312196000
ago,1996,3949426000
ago,1997,176360000
ago,1998,238230000
ago,1999,154490000
ago,2000,123450000
ago,2001,208310000
ago,2002,142291000
ago,2003,186189634
ago,2004,124395132.24
ago,2005,172521403.96
ago,2006,59549153.41
ago,2007,45699957.2
ago,2008,154471151.43
ago,2009,56830089.29
ago,2010,58439697.49
ago,2011,115573264.14684
ago,2012,66896254.16948
ago,2013,67616334.34017
ago,2014,53355420.27078
ago,2015,28220165.6
ago,2016,26262966.38
ago,2017,35432418.84
ago,2018,13832269.15
ago,2019,11831626.27143
ago,2020,56883176.89442
alb,1980,5800000
alb,1981,7100000
alb,1982,6500000
alb,1983,6000000
alb,1984,6500000
alb,1985,5700000
alb,1986,5700000
alb,1987,6900000
alb,1988,7000000
alb,1989,10600000
alb,1990,15000000
alb,1991,89300000
alb,1992,524000000
alb,1993,556900000
alb,1994,347500000
alb,1995,521200000
alb,1996,595900000
alb,1997,299800000
alb,1998,560760000
alb,1999,508900000
alb,2000,629000000
alb,2001,647500000
alb,2002,683670000
alb,2003,924225689.86251
alb,2004,1200232337.85269
alb,2005,1519162963.43003
alb,2006,1426328614.42344
alb,2007,1673580000
alb,2008,1641971110.61047
alb,2009,1528527345.6977
alb,2010,1424751215.57287
alb,2011,1408873242.58638
alb,2012,1319775836.04988
alb,2013,1076748135.06587
alb,2014,1127405071.12242
alb,2015,1021889076.24038
alb,2016,1063810390.71693
alb,2017,1091224430.30918
alb,2018,1185803957.44295
alb,2019,1236387714.15639
alb,2020,1343235456.74819
and,2019,45471660.5658
arg,1976,30000000
arg,1977,43000000
arg,1978,85000000
arg,1979,88000000
arg,1980,85000000
arg,1981,70000000
arg,1982,51000000
arg,1983,35000000
arg,1984,21000000
arg,1985,18000000
arg,1986,21000000
arg,1987,11000000
arg,1988,2000000
arg,1989,18000000
arg,1990,1015000000
arg,1991,821000000
arg,1992,1052200000
arg,1993,872300000
arg,1994,839200000
arg,1995,869600000
arg,1996,751800000
arg,1997,831004957.47753
arg,1998,801837027.01592
arg,1999,790242985.2413
arg,2000,791975682.10441
arg,2001,855658039.88688
arg,2002,817980000
arg,2003,941670000
arg,2004,1109730000
arg,2005,1225220000
arg,2006,1797621054.42203
arg,2007,2107734537.84368
arg,2008,2410554557.66872
arg,2009,2343091883.34315
arg,2010,2415061830.68465
arg,2011,2629178256.63317
arg,2012,2461088805.348
arg,2013,2894977893.40099
arg,2014,3035785424.91701
arg,2015,2563736401.76833
arg,2016,2821964680.71005
arg,2017,2607236509.31508
arg,2018,2984725655.0722
arg,2019,2525352382.03024
arg,2020,2337966210.06494
arm,1993,64179250
arm,1994,115265682.63889
arm,1995,187132714.25479
arm,1996,185229637.12567
arm,1997,243746745.97974
arm,1998,190467269.08893
arm,1999,176516256.88897
arm,2000,191597591.50322
arm,2001,263303927.61691
arm,2002,254829616.67172
arm,2003,308073056.76432
arm,2004,552945861.26346
arm,2005,608326628.36495
arm,2006,733063622.93262
arm,2007,939116260.93004
arm,2008,988546649.85672
arm,2009,750331131.38302
arm,2010,813504105.24222
arm,2011,997927031.22386
arm,2012,990762838.97228
arm,2013,1118911321.96586
arm,2014,1057153064.15347
arm,2015,907455448.27205
arm,2016,882892078.46584
arm,2017,1031372838.16045
