geo,time,sl_emp_1524_sp_ne_zs
can,1998,52.45
can,1999,54.54
can,2000,56.23
can,2001,56.34
can,2002,57.47
can,2003,58.15
can,2004,57.85
can,2005,57.7
can,2006,58.52
can,2007,59.49
can,2008,59.53
can,2009,55.31
can,2010,54.87
can,2011,55.31
can,2012,54.34
can,2013,55.06
can,2014,55.55
can,2015,55.76
can,2016,55.38
can,2017,56.48
can,2018,56.3
can,2019,57.47
can,2020,49.28
can,2021,55.21
che,1991,69.32
che,1992,67.54
che,1993,67.88
che,1994,63.91
che,1995,62.59
che,1996,64.49
che,1997,62.94
che,1998,63.34
che,1999,64.72
che,2000,65
che,2001,63.95
che,2002,65.39
che,2003,63.46
che,2004,61.89
che,2005,59.9
che,2006,63.33
che,2007,62.6
che,2008,62.42
che,2009,61.59
che,2010,62.51
che,2011,63.26
che,2012,61.95
che,2013,62.06
che,2014,62.06
che,2015,61.57
che,2016,62.49
che,2017,63.13
che,2018,62.59
che,2019,61.16
che,2020,59.42
chl,1990,32.63
chl,1992,36.33
chl,1994,34.54
chl,1996,35.2
chl,1997,34.84
chl,1998,33.43
chl,1999,30.1
chl,2000,28.96
chl,2001,27.97
chl,2002,27.23
chl,2003,27.2
chl,2004,27.5
chl,2005,27.71
chl,2006,28.46
chl,2007,28.98
chl,2008,30.16
chl,2009,28.3
chl,2010,30.53
chl,2011,31.69
chl,2012,31.09
chl,2013,30.45
chl,2014,30.09
chl,2015,30.21
chl,2016,29.18
chl,2017,28.32
chl,2018,27.55
chl,2019,25.44
chl,2020,19.67
civ,2012,46.02
civ,2013,47.57
civ,2016,34.79
civ,2017,27.64
cmr,2007,64.13
cmr,2010,53.29
cmr,2014,45.47
cod,2005,43.02
cod,2012,32.82
cog,2005,25.48
cog,2009,43.42
col,2001,41.37
col,2002,41.1
col,2003,42.39
col,2004,40.38
col,2005,40.57
col,2007,37.98
col,2008,37.31
col,2009,39.86
col,2010,41.27
col,2011,42.99
col,2012,44.74
col,2013,44.4
col,2014,44.7
col,2015,45.5
col,2016,44.18
col,2017,43.68
col,2018,42.9
col,2019,40.67
col,2020,34.2
com,2004,14.14
com,2014,11.82
cpv,2015,17.44
cpv,2017,24.17
cpv,2018,23.55
cpv,2019,23.85
cri,1990,50.31
cri,1991,47.67
cri,1992,47.84
cri,1993,48.81
cri,1994,48.12
cri,1995,47.2
cri,1996,43.33
cri,1997,44.87
cri,1998,47.28
cri,1999,44.36
cri,2000,44.85
cri,2001,44.99
cri,2002,43.06
cri,2003,43.78
cri,2004,41.36
cri,2005,41.78
cri,2006,42.91
cri,2007,46.33
cri,2008,44.36
cri,2009,39.28
cri,2010,37.07
cri,2011,33.68
cri,2012,37.13
cri,2013,37.18
cri,2014,36.11
cri,2015,35.33
cri,2016,33.17
cri,2017,33.64
cri,2018,33.72
cri,2019,30.8
cri,2020,25.86
cym,2005,48.44
cym,2006,50.48
cym,2007,48.53
cym,2008,50
cym,2011,41.31
cym,2012,45.77
cym,2013,41.77
cym,2014,39.29
cym,2015,47.74
cyp,2000,36.68
cyp,2001,38.97
cyp,2002,36.66
cyp,2003,37.5
cyp,2004,37.35
cyp,2005,36.67
cyp,2006,37.37
cyp,2007,37.43
cyp,2008,37.96
cyp,2009,34.78
cyp,2010,33.82
cyp,2011,30.15
cyp,2012,28.13
cyp,2013,23.45
cyp,2014,25.82
cyp,2015,25.48
cyp,2016,26.38
cyp,2017,27.58
cyp,2018,31.3
cyp,2019,32.38
cyp,2020,31.31
cze,1993,46.94
cze,1994,47.5
cze,1995,46.62
cze,1996,45.79
cze,1997,42.69
cze,1998,41.35
cze,1999,38.3
cze,2000,36.43
cze,2001,34.36
cze,2002,32.43
cze,2003,29.82
cze,2004,27.69
cze,2005,27.46
cze,2006,27.67
cze,2007,28.49
cze,2008,28.07
cze,2009,26.54
cze,2010,25.22
cze,2011,24.52
cze,2012,25.19
cze,2013,25.56
cze,2014,27.09
cze,2015,28.39
cze,2016,28.62
cze,2017,29.14
cze,2018,28.36
cze,2019,28.04
cze,2020,25.13
deu,1983,45.06
deu,1984,51.27
deu,1985,52.61
deu,1986,54.66
deu,1987,55.02
deu,1988,56.45
deu,1989,56.23
deu,1990,57.89
deu,1991,57.12
deu,1992,54.82
deu,1993,51.91
deu,1994,49.99
deu,1995,48.02
deu,1996,45.52
deu,1997,44.37
deu,1998,45.11
deu,1999,46.25
deu,2000,46.1
deu,2001,46.46
deu,2002,45.37
deu,2003,44
deu,2004,41.29
deu,2005,41.93
deu,2006,43.51
deu,2007,45.41
deu,2008,46.65
deu,2009,45.95
deu,2010,46.24
deu,2011,47.94
deu,2012,46.62
deu,2013,46.87
deu,2014,46.06
deu,2015,45.29
deu,2016,45.75
deu,2017,46.49
deu,2018,47.16
deu,2019,48.47
deu,2020,48.15
dji,2017,3.99
dnk,1983,52.95
dnk,1984,63.73
dnk,1985,66.88
dnk,1986,69.1
dnk,1987,68.81
dnk,1988,69.48
dnk,1989,66.68
dnk,1990,65.01
dnk,1991,64.75
dnk,1992,63.13
dnk,1993,60.23
dnk,1994,62.07
dnk,1995,65.95
dnk,1996,65.95
dnk,1997,68.23
dnk,1998,66.43
dnk,1999,66.04
dnk,2000,67.06
dnk,2001,61.67
dnk,2002,63.95
dnk,2003,59.39
dnk,2004,61.26
dnk,2005,62.27
dnk,2006,64.57
dnk,2007,65.3
dnk,2008,62.51
dnk,2009,58.71
dnk,2010,54
dnk,2011,53
dnk,2012,51.34
dnk,2013,49.52
dnk,2014,49.98
dnk,2015,51.34
dnk,2016,52.29
dnk,2017,52.89
dnk,2018,53.73
dnk,2019,54.98
dnk,2020,53.23
dom,2000,39.56
dom,2001,37.72
dom,2002,38.27
dom,2003,35.56
dom,2004,36.33
dom,2005,35.54
dom,2006,36.62
dom,2007,36.37
dom,2008,37.55
dom,2009,32.73
dom,2010,34.4
dom,2011,34.9
dom,2012,35.03
dom,2013,33.9
dom,2014,35.38
dom,2015,36.77
dom,2016,37.23
dom,2017,37.72
dom,2018,37.98
dom,2019,38.15
dom,2020,33.33
dza,2009,22.25
dza,2010,22.12
dza,2011,20.77
dza,2014,19.4
dza,2015,17.67
dza,2016,18.28
dza,2017,19.5
ecu,2000,46.77
ecu,2001,54.25
ecu,2003,46.98
ecu,2004,48.43
ecu,2005,48.3
ecu,2006,49.99
ecu,2007,47.26
ecu,2008,46.07
ecu,2009,42.93
ecu,2010,40.48
ecu,2011,37.94
ecu,2012,39.21
ecu,2013,37.62
ecu,2014,36.52
ecu,2015,39
ecu,2016,40.17
ecu,2017,41.42
ecu,2018,40.5
ecu,2019,40.11
ecu,2020,35.35
egy,2008,26.6
egy,2009,26.59
egy,2010,26.29
egy,2011,23.67
egy,2012,22.01
egy,2013,22.71
egy,2014,22.9
egy,2015,21.92
egy,2016,21.67
egy,2017,20.38
egy,2018,18.39
egy,2019,18.41
egy,2020,18.78
esp,1986,24.95
esp,1987,27.93
esp,1988,29.25
esp,1989,31.28
esp,1990,32.06
esp,1991,31.52
esp,1992,29.78
esp,1993,24.86
esp,1994,23.8
esp,1995,24.17
esp,1996,23.61
esp,1997,24.82
esp,1998,26.51
esp,1999,29.78
esp,2000,32.23
esp,2001,33.61
esp,2002,34.25
esp,2003,34.49
esp,2004,34.8
esp,2005,38.51
esp,2006,39.55
esp,2007,39.22
esp,2008,36.03
esp,2009,28.05
esp,2010,24.96
esp,2011,22.02
esp,2012,18.4
esp,2013,16.82
esp,2014,16.72
esp,2015,17.94
esp,2016,18.36
esp,2017,20.48
esp,2018,21.66
esp,2019,22.26
esp,2020,18.46
est,1990,51.72
est,1991,50.07
est,1992,47.16
est,1993,45.03
est,1994,47.21
est,1995,42.28
est,1996,39.54
est,1997,36.01
est,1998,34.89
est,1999,28.85
est,2000,29.58
est,2001,27.55
est,2002,25.41
est,2003,28.84
est,2004,29.64
est,2005,30.72
est,2006,31.4
est,2007,34.11
est,2008,35.93
est,2009,28.34
est,2010,25.34
est,2011,31.08
est,2012,32.27
est,2013,32.37
est,2014,33.33
est,2015,36.29
est,2016,37.47
est,2017,40.51
est,2018,41.72
est,2019,39.71
est,2020,35.32
eth,1999,59.51
eth,2005,72.8
eth,2013,72.25
fin,1990,55.23
fin,1991,48.6
fin,1992,39.53
fin,1993,34.39
fin,1994,31.85
fin,1995,29.19
fin,1996,27.73
fin,1997,31.28
fin,1998,32.52
fin,1999,45
fin,2000,45.37
fin,2001,46.17
fin,2002,44.76
fin,2003,44.32
fin,2004,43.31
fin,2005,40.49
fin,2006,42.1
fin,2007,44.6
fin,2008,44.68
fin,2009,39.59
fin,2010,38.81
fin,2011,40.38
fin,2012,41.82
fin,2013,41.51
fin,2014,41.37
fin,2015,40.49
fin,2016,41.67
fin,2017,42.52
fin,2018,44.05
fin,2019,44.62
fin,2020,41.06
fji,2005,33.24
fji,2011,33.36
fji,2014,31.17
fji,2016,33.35
fra,1983,42.68
fra,1984,39.23
fra,1985,38.17
fra,1986,39.02
fra,1987,37.96
fra,1988,36.14
fra,1989,36.41
fra,1990,35.74
fra,1991,32.04
fra,1992,30.92
fra,1993,28.32
fra,1994,25.92
fra,1995,25.88
fra,1996,25.33
fra,1997,24.1
fra,1998,25.06
fra,1999,26.39
fra,2000,28.16
fra,2001,29.31
fra,2002,29.9
fra,2003,30.74
fra,2004,29.44
fra,2005,30.35
fra,2006,29.96
fra,2007,31.18
fra,2008,31.44
fra,2009,30.48
fra,2010,30.14
fra,2011,29.61
fra,2012,28.56
fra,2013,28.39
fra,2014,27.63
fra,2015,28.02
fra,2016,27.98
fra,2017,28.73
fra,2018,29.73
fra,2019,29.61
fra,2020,28.46
fsm,2014,33.05
gab,2010,11.74
gbm,2016,51.47
gbr,1983,51.3
gbr,1984,53.57
gbr,1985,56.89
gbr,1986,56.84
gbr,1987,59.29
gbr,1988,61.7
gbr,1989,65.14
gbr,1990,64.31
gbr,1991,60.39
gbr,1992,57.25
gbr,1993,54.47
gbr,1994,54.06
gbr,1995,53.76
gbr,1996,54.77
gbr,1997,55.56
gbr,1998,55.89
gbr,1999,55.18
gbr,2000,55.78
gbr,2001,55.5
gbr,2002,55.58
gbr,2003,54.23
gbr,2004,54.96
gbr,2005,54.29
gbr,2006,53.63
gbr,2007,52.63
gbr,2008,52.04
gbr,2009,47.89
gbr,2010,46.83
gbr,2011,45.82
gbr,2012,46.2
gbr,2013,46.26
gbr,2014,48.01
gbr,2015,49.96
gbr,2016,50.75
gbr,2017,50.52
gbr,2018,50.64
gbr,2019,50.32
geo,2007,21.4
geo,2008,23.1
geo,2009,21.46
geo,2010,23.05
geo,2011,23.97
geo,2012,25.76
geo,2013,24.03
geo,2014,25.62
geo,2015,26.75
geo,2016,25.51
geo,2017,31.6
geo,2018,28.35
geo,2019,26.52
geo,2020,20.99
gha,1991,55.82
gha,2000,44.7
gha,2006,37.73
gha,2010,39.25
gha,2013,51.41
gha,2015,36.84
gha,2017,29.01
gin,2002,44.54
gin,2019,24.6
gmb,2012,35.98
gmb,2018,12.77
gnb,2018,33.85
grc,1983,32.86
grc,1984,31.57
grc,1985,30.75
grc,1986,29.49
grc,1987,28.66
grc,1988,29.02
grc,1989,29.96
grc,1990,30.25
grc,1991,29.07
grc,1992,28.42
grc,1993,27.5
grc,1994,26.71
grc,1995,26.47
grc,1996,25.43
grc,1997,24.49
grc,1998,28.49
grc,1999,27.27
grc,2000,27.42
grc,2001,26.21
grc,2002,26.88
grc,2003,26.05
grc,2004,27.54
grc,2005,25.01
grc,2006,24.15
grc,2007,23.95
grc,2008,23.48
grc,2009,22.78
grc,2010,20.13
grc,2011,16.1
grc,2012,13.02
grc,2013,11.84
grc,2014,13.34
grc,2015,13.03
grc,2016,12.99
grc,2017,14.13
grc,2018,13.99
grc,2019,14.56
grc,2020,13.79
gtm,2003,60.16
gtm,2004,52.09
gtm,2010,48.28
gtm,2011,49.25
gtm,2012,55.18
gtm,2013,47.04
gtm,2014,48.59
gtm,2015,49.26
gtm,2016,49.53
gtm,2017,49.84
gtm,2018,49.92
gtm,2019,49.06
gum,2002,31.3
gum,2004,41.2
gum,2005,44.6
gum,2006,43.5
gum,2007,36.2
gum,2009,32.8
gum,2011,32.5
guy,2018,35.78
guy,2019,31.8
hkg,2009,34.3
hkg,2010,31.67
hkg,2011,33
hkg,2012,33.53
hkg,2013,35.19
hkg,2014,34.95
hkg,2015,36.02
hkg,2016,36.71
hkg,2017,36.38
hkg,2018,36.65
hkg,2019,36.78
hkg,2020,30.88
hnd,2005,48.1
hnd,2006,46.71
hnd,2007,45.65
hnd,2008,46.7
hnd,2009,47.41
hnd,2010,47.62
hnd,2011,45.89
hnd,2012,44.76
hnd,2013,47.92
hnd,2014,47.41
hnd,2015,48.57
hnd,2016,46.65
hnd,2017,49.04
hnd,2018,51.43
hnd,2019,47.9
hnd,2020,44.32
hrv,2002,25.72
hrv,2003,24.67
hrv,2004,26.91
hrv,2005,25.83
hrv,2006,25.54
hrv,2007,27.39
hrv,2008,27.96
hrv,2009,27.13
hrv,2010,24.25
hrv,2011,20.56
hrv,2012,17.43
hrv,2013,14.93
hrv,2014,18.33
hrv,2015,19.14
hrv,2016,25.59
hrv,2017,25.92
hrv,2018,25.55
hrv,2019,27.68
hrv,2020,25.62
hti,2003,13.75
hti,2012,33.73
hun,1992,35.39
hun,1993,31.5
hun,1994,30.82
hun,1995,31.25
hun,1996,27.36
hun,1997,28.59
hun,1998,33.61
hun,1999,34.91
hun,2000,33.13
hun,2001,30.42
hun,2002,28.63
hun,2003,26.65
hun,2004,23.33
hun,2005,21.83
hun,2006,21.61
hun,2007,21.09
hun,2008,20.23
hun,2009,18.14
hun,2010,18.25
hun,2011,17.98
hun,2012,18.45
hun,2013,20.11
hun,2014,23.5
hun,2015,25.66
hun,2016,28.12
hun,2017,28.97
hun,2018,28.98
hun,2019,28.52
hun,2020,27.22
idn,1990,46.93
idn,1991,47.16
idn,1992,47.05
idn,1993,45.6
idn,1994,45.77
idn,1996,44.07
idn,1997,42.8
idn,1998,41.67
idn,1999,41.36
idn,2000,41.51
idn,2001,40.6
idn,2002,38.82
idn,2003,38.39
idn,2004,38.1
idn,2005,35.13
idn,2006,36.69
idn,2007,39.14
idn,2008,39.72
idn,2009,38.98
idn,2010,38.85
idn,2011,38.17
idn,2012,40.62
idn,2013,39.65
idn,2014,38.66
idn,2015,38.42
idn,2016,38.94
idn,2017,39.73
idn,2018,39.86
idn,2019,41.56
idn,2020,40.11
ind,1994,43.44
ind,2000,40.73
ind,2005,40.49
ind,2010,32.42
ind,2012,29.3
ind,2018,20.59
ind,2019,20.73
ind,2020,23.16
irl,1983,47.55
irl,1984,45.25
irl,1985,43.31
irl,1986,41.61
irl,1987,40.26
irl,1988,39.07
irl,1989,39.75
irl,1990,40.1
irl,1991,37.71
irl,1992,35.57
irl,1993,35.01
irl,1994,35.7
irl,1995,36.43
irl,1996,35.59
irl,1997,38.32
irl,1998,42.96
irl,1999,46.26
irl,2000,48.07
irl,2001,46.78
irl,2002,44.92
irl,2003,45.4
irl,2004,44.83
irl,2005,48.72
irl,2006,50.26
irl,2007,63.02
irl,2008,57.08
irl,2009,45.34
irl,2010,38.7
irl,2011,36.17
irl,2012,34.79
irl,2013,36.55
irl,2014,36.8
irl,2015,37.83
irl,2016,41.98
irl,2017,39.96
irl,2018,40.29
irl,2019,41.2
irl,2020,37.01
irn,2005,26.48
irn,2006,25.22
irn,2007,24.36
irn,2008,22.33
irn,2009,22.2
irn,2010,20.79
irn,2011,19.84
irn,2012,20.39
irn,2013,19.64
irn,2014,18.37
irn,2015,18.44
irn,2016,18.72
irn,2017,19.82
irn,2018,19.65
irn,2019,19.33
irn,2020,17.19
irq,2007,26.01
irq,2012,25.15
irq,2014,24.85
irq,2016,22.52
irq,2017,20.4
isl,1991,56.58
isl,1992,54.5
isl,1993,52.37
isl,1994,51.73
isl,1995,61.77
isl,1996,60.12
isl,1997,60.57
isl,1998,67.04
isl,1999,68.69
isl,2000,73.9
isl,2001,75.87
isl,2002,66.84
isl,2003,70.39
isl,2004,69.72
isl,2005,70.49
isl,2006,72.11
isl,2007,74.27
isl,2008,71.74
isl,2009,61.52
isl,2010,61.72
isl,2011,62.53
isl,2012,65.44
isl,2013,69.71
isl,2014,70.53
isl,2015,73.11
isl,2016,77.61
isl,2017,75.8
isl,2018,75.42
isl,2019,71.69
isl,2020,65.55
isr,1990,41.86
isr,1991,42.77
isr,1992,43.24
isr,1993,47.49
isr,1994,51.37
isr,1995,52.34
isr,1996,52.01
isr,1997,50.21
isr,1998,47.44
isr,1999,47.4
isr,2000,48.08
isr,2001,46.53
isr,2002,42.16
isr,2003,41.39
isr,2004,43.01
isr,2005,45.69
isr,2006,45.71
isr,2007,46.44
isr,2008,47.27
isr,2009,44.93
isr,2010,45.08
isr,2011,44.43
isr,2012,43.51
isr,2013,44.39
isr,2014,44.47
isr,2015,44.41
isr,2016,44.29
isr,2017,44.78
isr,2018,43.7
isr,2019,42.92
isr,2020,38.94
ita,1983,34.35
ita,1984,33.17
ita,1985,32.36
ita,1986,32.16
ita,1987,31.75
ita,1988,32.6
ita,1989,33.17
ita,1990,33.28
ita,1991,33.15
ita,1992,30.17
ita,1993,28.7
ita,1994,26.59
ita,1995,25.76
ita,1996,25.23
ita,1997,25.07
ita,1998,25.44
ita,1999,25.54
ita,2000,26.09
ita,2001,26.18
ita,2002,25.7
ita,2003,25.35
ita,2004,27.73
ita,2005,25.68
ita,2006,25.31
ita,2007,24.55
ita,2008,24.23
ita,2009,21.54
ita,2010,20.25
ita,2011,19.21
ita,2012,18.47
ita,2013,16.27
ita,2014,15.56
ita,2015,15.63
ita,2016,16.56
ita,2017,17.08
ita,2018,17.68
ita,2019,18.48
ita,2020,16.83
jam,2008,31.37
jam,2009,27.61
jam,2010,24.36
jam,2011,26.15
jam,2012,23.43
jam,2013,23.53
jam,2014,24.18
jam,2015,22.87
jam,2016,27.56
jam,2017,28.82
jam,2018,28.42
jam,2019,30.31
jam,2020,27.94
jam,2021,26.2
jor,2000,20.4
jor,2001,20.5
jor,2002,19.3
jor,2003,19.4
jor,2004,20.3
jor,2005,18.9
jor,2006,19.3
jor,2007,19.9
jor,2008,20.2
jor,2011,17.7
jor,2012,17.2
jor,2017,18.87
jor,2018,16.12
jor,2019,16.1
jor,2020,14.14
jpn,1968,54.79
jpn,1969,53.97
jpn,1970,54.49
jpn,1971,54.88
jpn,1972,52.96
jpn,1973,51.53
jpn,1974,48.76
jpn,1975,46.44
jpn,1976,44.71
jpn,1977,43.49
jpn,1978,43.01
jpn,1979,42.43
jpn,1980,41.79
