geo,time,sh_uhc_srvs_cv_xd
afg,2000,21
afg,2005,26
afg,2010,28
afg,2015,32
afg,2017,36
afg,2019,37
ago,2000,22
ago,2005,23
ago,2010,32
ago,2015,37
ago,2017,39
ago,2019,39
alb,2000,45
alb,2005,55
alb,2010,59
alb,2015,62
alb,2017,62
alb,2019,62
and,2000,66
and,2005,71
and,2010,73
and,2015,75
and,2017,76
and,2019,77
are,2000,51
are,2005,76
are,2010,74
are,2015,79
are,2017,77
are,2019,78
arg,2000,68
arg,2005,72
arg,2010,73
arg,2015,74
arg,2017,74
arg,2019,73
arm,2000,46
arm,2005,46
arm,2010,57
arm,2015,65
arm,2017,68
arm,2019,69
atg,2000,43
atg,2005,65
atg,2010,69
atg,2015,72
atg,2017,72
atg,2019,72
aus,2000,80
aus,2005,82
aus,2010,83
aus,2015,86
aus,2017,87
aus,2019,87
aut,2000,66
aut,2005,72
aut,2010,76
aut,2015,79
aut,2017,81
aut,2019,82
aze,2000,44
aze,2005,39
aze,2010,53
aze,2015,61
aze,2017,63
aze,2019,65
bdi,2000,17
bdi,2005,25
bdi,2010,36
bdi,2015,40
bdi,2017,42
bdi,2019,44
bel,2000,76
bel,2005,79
bel,2010,82
bel,2015,84
bel,2017,85
bel,2019,85
ben,2000,23
ben,2005,24
ben,2010,35
ben,2015,37
ben,2017,38
ben,2019,38
bfa,2000,19
bfa,2005,26
bfa,2010,33
bfa,2015,39
bfa,2017,41
bfa,2019,43
bgd,2000,24
bgd,2005,26
bgd,2010,37
bgd,2015,45
bgd,2017,48
bgd,2019,51
bgr,2000,67
bgr,2005,63
bgr,2010,63
bgr,2015,66
bgr,2017,67
bgr,2019,70
bhr,2000,64
bhr,2005,66
bhr,2010,69
bhr,2015,72
bhr,2017,72
bhr,2019,71
bhs,2000,50
bhs,2005,64
bhs,2010,64
bhs,2015,67
bhs,2017,69
bhs,2019,70
bih,2000,43
bih,2005,59
bih,2010,59
bih,2015,62
bih,2017,65
bih,2019,65
blr,2000,50
blr,2005,55
blr,2010,65
blr,2015,69
blr,2017,71
blr,2019,74
blz,2000,46
blz,2005,59
blz,2010,64
blz,2015,64
blz,2017,65
blz,2019,67
bol,2000,43
bol,2005,49
bol,2010,57
bol,2015,65
bol,2017,65
bol,2019,67
bra,2000,68
bra,2005,72
bra,2010,74
bra,2015,75
bra,2017,75
bra,2019,75
brb,2000,41
brb,2005,68
brb,2010,70
brb,2015,73
brb,2017,74
brb,2019,74
brn,2000,55
brn,2005,67
brn,2010,73
brn,2015,73
brn,2017,78
brn,2019,77
btn,2000,40
btn,2005,38
btn,2010,49
btn,2015,57
btn,2017,60
btn,2019,62
bwa,2000,32
bwa,2005,46
bwa,2010,51
bwa,2015,53
bwa,2017,54
bwa,2019,54
caf,2000,15
caf,2005,20
caf,2010,27
caf,2015,30
caf,2017,30
caf,2019,32
can,2000,76
can,2005,81
can,2010,84
can,2015,89
can,2017,89
can,2019,89
che,2000,77
che,2005,81
che,2010,83
che,2015,84
che,2017,86
che,2019,87
chl,2000,63
chl,2005,71
chl,2010,73
chl,2015,77
chl,2017,78
chl,2019,80
chn,2000,50
chn,2005,59
chn,2010,68
chn,2015,77
chn,2017,80
chn,2019,82
civ,2000,19
civ,2005,27
civ,2010,35
civ,2015,43
civ,2017,45
civ,2019,45
cmr,2000,20
cmr,2005,30
cmr,2010,34
cmr,2015,41
cmr,2017,43
cmr,2019,44
cod,2000,22
cod,2005,25
cod,2010,31
cod,2015,35
cod,2017,37
cod,2019,39
cog,2000,21
cog,2005,29
cog,2010,34
cog,2015,40
cog,2017,39
cog,2019,40
col,2000,51
col,2005,64
col,2010,69
col,2015,76
col,2017,77
col,2019,78
com,2000,26
com,2005,31
com,2010,38
com,2015,41
com,2017,42
com,2019,44
cpv,2000,35
cpv,2005,54
cpv,2010,62
cpv,2015,67
cpv,2017,68
cpv,2019,69
cri,2000,65
cri,2005,69
cri,2010,73
cri,2015,74
cri,2017,77
cri,2019,78
cub,2000,57
cub,2005,72
cub,2010,77
cub,2015,80
cub,2017,81
cub,2019,80
cyp,2000,53
cyp,2005,68
cyp,2010,72
cyp,2015,77
cyp,2017,79
cyp,2019,79
cze,2000,72
cze,2005,71
cze,2010,73
cze,2015,76
cze,2017,78
cze,2019,78
deu,2000,76
deu,2005,80
deu,2010,82
deu,2015,84
deu,2017,85
deu,2019,86
dji,2000,27
dji,2005,32
dji,2010,40
dji,2015,44
dji,2017,49
dji,2019,48
dma,2000,41
dma,2005,60
dma,2010,64
dma,2015,66
dma,2017,66
dma,2019,67
dnk,2000,77
dnk,2005,78
dnk,2010,80
dnk,2015,83
dnk,2017,84
dnk,2019,85
dom,2000,45
dom,2005,49
dom,2010,60
dom,2015,63
dom,2017,64
dom,2019,66
dza,2000,61
dza,2005,65
dza,2010,70
dza,2015,75
dza,2017,75
dza,2019,75
ecu,2000,56
ecu,2005,62
ecu,2010,73
ecu,2015,76
ecu,2017,78
ecu,2019,80
egy,2000,42
egy,2005,46
egy,2010,59
egy,2015,62
egy,2017,65
egy,2019,70
eri,2000,29
eri,2005,36
eri,2010,44
eri,2015,46
eri,2017,48
eri,2019,50
esp,2000,74
esp,2005,78
esp,2010,82
esp,2015,84
esp,2017,85
esp,2019,86
est,2000,60
est,2005,61
est,2010,71
est,2015,75
est,2017,77
est,2019,78
eth,2000,16
eth,2005,20
eth,2010,31
eth,2015,37
eth,2017,37
eth,2019,38
fin,2000,75
fin,2005,80
fin,2010,82
fin,2015,84
fin,2017,83
fin,2019,83
fji,2000,45
fji,2005,53
fji,2010,56
fji,2015,58
fji,2017,59
fji,2019,61
fra,2000,81
fra,2005,82
fra,2010,83
fra,2015,83
fra,2017,84
fra,2019,84
fsm,2000,41
fsm,2005,43
fsm,2010,49
fsm,2015,46
fsm,2017,47
fsm,2019,48
gab,2000,30
gab,2005,39
gab,2010,46
gab,2015,51
gab,2017,51
gab,2019,49
gbr,2000,74
gbr,2005,80
gbr,2010,84
gbr,2015,87
gbr,2017,87
gbr,2019,88
geo,2000,45
geo,2005,57
geo,2010,63
geo,2015,65
geo,2017,65
geo,2019,65
gha,2000,24
gha,2005,25
gha,2010,34
gha,2015,41
gha,2017,42
gha,2019,45
gin,2000,16
gin,2005,22
gin,2010,29
gin,2015,33
gin,2017,35
gin,2019,37
gmb,2000,31
gmb,2005,37
gmb,2010,41
gmb,2015,45
gmb,2017,46
gmb,2019,48
gnb,2000,17
gnb,2005,22
gnb,2010,30
gnb,2015,38
gnb,2017,38
gnb,2019,37
gnq,2000,27
gnq,2005,30
gnq,2010,37
gnq,2015,40
gnq,2017,43
gnq,2019,43
grc,2000,66
grc,2005,70
grc,2010,72
grc,2015,75
grc,2017,77
grc,2019,78
grd,2000,41
grd,2005,61
grd,2010,65
grd,2015,67
grd,2017,69
grd,2019,70
gtm,2000,44
gtm,2005,53
gtm,2010,59
gtm,2015,57
gtm,2017,56
gtm,2019,57
guy,2000,49
guy,2005,63
guy,2010,69
guy,2015,72
guy,2017,73
guy,2019,74
hnd,2000,42
hnd,2005,52
hnd,2010,57
hnd,2015,60
hnd,2017,60
hnd,2019,63
hrv,2000,67
hrv,2005,69
hrv,2010,70
hrv,2015,71
hrv,2017,72
hrv,2019,73
hti,2000,23
hti,2005,33
hti,2010,42
hti,2015,44
hti,2017,46
hti,2019,47
hun,2000,67
hun,2005,67
hun,2010,67
hun,2015,70
hun,2017,71
hun,2019,73
idn,2000,22
idn,2005,33
idn,2010,45
idn,2015,51
idn,2017,55
idn,2019,59
ind,2000,31
ind,2005,33
ind,2010,48
ind,2015,55
ind,2017,57
ind,2019,61
irl,2000,75
irl,2005,78
irl,2010,79
irl,2015,82
irl,2017,82
irl,2019,83
irn,2000,37
irn,2005,49
irn,2010,57
irn,2015,69
irn,2017,74
irn,2019,77
irq,2000,43
irq,2005,46
irq,2010,47
irq,2015,49
irq,2017,53
irq,2019,55
isl,2000,77
isl,2005,81
isl,2010,83
isl,2015,85
isl,2017,86
isl,2019,87
isr,2000,77
isr,2005,80
isr,2010,82
isr,2015,83
isr,2017,84
isr,2019,84
ita,2000,70
ita,2005,76
ita,2010,79
ita,2015,81
ita,2017,82
ita,2019,83
jam,2000,37
jam,2005,61
jam,2010,66
jam,2015,68
jam,2017,69
jam,2019,70
jor,2000,57
jor,2005,59
jor,2010,61
jor,2015,60
jor,2017,61
jor,2019,60
jpn,2000,70
jpn,2005,77
jpn,2010,80
jpn,2015,83
jpn,2017,84
jpn,2019,85
kaz,2000,39
kaz,2005,57
kaz,2010,64
kaz,2015,71
kaz,2017,73
kaz,2019,76
ken,2000,30
ken,2005,37
ken,2010,47
ken,2015,52
ken,2017,54
ken,2019,56
kgz,2000,52
kgz,2005,57
kgz,2010,61
kgz,2015,69
kgz,2017,71
kgz,2019,70
khm,2000,19
khm,2005,41
khm,2010,53
khm,2015,58
khm,2017,60
khm,2019,61
kir,2000,30
kir,2005,35
kir,2010,44
kir,2015,48
kir,2017,50
kir,2019,51
kna,2000,42
kna,2005,63
kna,2010,68
kna,2015,70
kna,2017,71
kna,2019,72
kor,2000,75
kor,2005,81
kor,2010,83
kor,2015,85
kor,2017,86
kor,2019,87
kwt,2000,67
kwt,2005,68
kwt,2010,66
kwt,2015,67
kwt,2017,68
kwt,2019,70
lao,2000,26
lao,2005,34
lao,2010,39
lao,2015,45
lao,2017,48
lao,2019,50
lbn,2000,54
lbn,2005,62
lbn,2010,66
lbn,2015,68
lbn,2017,69
lbn,2019,72
lbr,2000,22
lbr,2005,24
lbr,2010,35
lbr,2015,38
lbr,2017,39
lbr,2019,42
lby,2000,53
lby,2005,55
lby,2010,58
lby,2015,57
lby,2017,60
lby,2019,60
lca,2000,42
lca,2005,64
lca,2010,69
lca,2015,71
lca,2017,70
lca,2019,72
lka,2000,45
lka,2005,48
lka,2010,55
lka,2015,60
lka,2017,64
lka,2019,67
lso,2000,27
lso,2005,33
lso,2010,43
lso,2015,46
lso,2017,48
lso,2019,48
ltu,2000,47
ltu,2005,53
ltu,2010,58
ltu,2015,65
ltu,2017,67
ltu,2019,70
lux,2000,77
lux,2005,79
lux,2010,80
lux,2015,83
lux,2017,84
lux,2019,86
lva,2000,51
lva,2005,56
lva,2010,63
lva,2015,66
lva,2017,70
lva,2019,72
mar,2000,45
mar,2005,55
mar,2010,63
mar,2015,70
mar,2017,71
mar,2019,73
mco,2000,75
mco,2005,79
mco,2010,81
mco,2015,83
mco,2017,84
mco,2019,85
mda,2000,49
mda,2005,49
mda,2010,58
mda,2015,64
mda,2017,66
mda,2019,67
mdg,2000,19
mdg,2005,23
mdg,2010,28
mdg,2015,31
mdg,2017,31
mdg,2019,35
mdv,2000,46
mdv,2005,49
mdv,2010,62
mdv,2015,68
mdv,2017,71
mdv,2019,69
mex,2000,60
mex,2005,65
mex,2010,70
mex,2015,73
mex,2017,73
mex,2019,74
mhl,2000,42
mhl,2005,45
mhl,2010,56
mhl,2015,60
mhl,2017,61
mhl,2019,62
mkd,2000,57
mkd,2005,57
mkd,2010,62
mkd,2015,66
mkd,2017,67
mkd,2019,68
mli,2000,21
mli,2005,25
mli,2010,36
mli,2015,38
mli,2017,39
mli,2019,42
mlt,2000,72
mlt,2005,72
mlt,2010,74
mlt,2015,79
mlt,2017,80
mlt,2019,81
mmr,2000,27
mmr,2005,34
mmr,2010,45
mmr,2015,54
mmr,2017,56
mmr,2019,61
mne,2000,57
mne,2005,61
mne,2010,63
mne,2015,64
mne,2017,65
mne,2019,67
mng,2000,44
mng,2005,43
mng,2010,54
mng,2015,62
mng,2017,63
mng,2019,63
moz,2000,23
moz,2005,27
moz,2010,35
moz,2015,43
moz,2017,46
moz,2019,47
mrt,2000,18
mrt,2005,26
mrt,2010,33
mrt,2015,34
mrt,2017,41
mrt,2019,40
mus,2000,43
mus,2005,52
mus,2010,57
mus,2015,63
mus,2017,64
mus,2019,65
mwi,2000,25
mwi,2005,31
mwi,2010,40
mwi,2015,43
mwi,2017,47
mwi,2019,48
mys,2000,48
mys,2005,64
mys,2010,68
mys,2015,73
mys,2017,75
mys,2019,76
nam,2000,38
nam,2005,47
nam,2010,54
nam,2015,59
nam,2017,59
nam,2019,62
ner,2000,17
ner,2005,21
ner,2010,32
ner,2015,34
ner,2017,34
ner,2019,37
nga,2000,20
nga,2005,28
nga,2010,38
nga,2015,40
nga,2017,41
nga,2019,44
nic,2000,47
nic,2005,52
nic,2010,63
nic,2015,68
nic,2017,68
nic,2019,70
nld,2000,79
nld,2005,80
nld,2010,82
nld,2015,85
nld,2017,85
nld,2019,86
nor,2000,74
nor,2005,80
nor,2010,82
nor,2015,84
nor,2017,85
nor,2019,86
npl,2000,20
npl,2005,24
npl,2010,37
npl,2015,45
npl,2017,48
npl,2019,53
nru,2000,32
nru,2005,37
nru,2010,47
nru,2015,51
nru,2017,52
nru,2019,54
nzl,2000,77
nzl,2005,81
nzl,2010,82
nzl,2015,84
nzl,2017,85
nzl,2019,86
omn,2000,63
omn,2005,64
omn,2010,66
omn,2015,67
omn,2017,69
omn,2019,69
pak,2000,23
pak,2005,32
pak,2010,36
pak,2015,41
pak,2017,43
pak,2019,45
pan,2000,64
pan,2005,68
pan,2010,72
pan,2015,73
pan,2017,76
pan,2019,77
per,2000,40
per,2005,60
per,2010,72
per,2015,76
per,2017,77
per,2019,78
phl,2000,35
phl,2005,37
phl,2010,43
phl,2015,49
phl,2017,53
phl,2019,55
plw,2000,44
plw,2005,45
plw,2010,52
plw,2015,56
plw,2017,58
plw,2019,59
png,2000,27
png,2005,29
png,2010,36
