geo,time,sh_uhc_nop1_cg
afg,2007,0.24816
afg,2013,3.68237
ago,2008,1.46794
alb,1996,0.77628
alb,2002,0.34653
alb,2005,0.17273
alb,2008,0.02304
alb,2012,0.11703
arg,1996,0.18434
arg,2004,0.10624
arm,1999,1.42409
arm,2001,1.28603
arm,2002,0.86871
arm,2003,0.53497
arm,2004,0.34157
arm,2005,0.1363
arm,2006,0.29584
arm,2007,0.09636
arm,2008,0.02274
arm,2009,0.01151
arm,2010,0.16056
arm,2011,0.19989
arm,2012,0.11794
arm,2013,0.18401
aus,2010,0
aut,1999,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
bdi,1986,0.38547
bdi,1998,1.47666
bdi,2013,1.71741
bel,1997,0
bel,2010,0
ben,2003,2.9562
ben,2011,5.81607
bfa,1998,2.84059
bfa,2003,2.29074
bfa,2009,1.54484
bfa,2014,2.12077
bgd,2000,5.67183
bgd,2005,1.12456
bgd,2010,1.54828
bgd,2016,5.11622
bgr,1995,0.0253
bgr,1997,0.04568
bgr,2000,0.01704
bgr,2001,0.02107
bgr,2007,0.05935
bgr,2010,0.00157
bhs,2013,0
bih,2001,0.10987
bih,2004,0.03356
bih,2007,0
bih,2011,0.00352
bih,2015,0.00129
blr,1998,0.03597
blr,1999,0.02726
blr,2000,0.01171
blr,2001,0.01349
blr,2002,0.04988
blr,2003,0.03118
blr,2004,0.00522
blr,2005,0.01042
blr,2006,0.00185
blr,2007,0
blr,2008,0
blr,2009,0.00009
blr,2010,0
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0
bol,1999,4.03574
bol,2000,3.37827
bol,2001,0.63361
bol,2002,0.59706
bol,2008,0.10653
bol,2011,0.06009
bol,2012,0.07347
bol,2015,0.09514
bra,2008,0.73587
brb,2016,0.18783
btn,2003,0.64232
btn,2007,1.08558
btn,2012,0.0075
btn,2017,0.00663
bwa,1993,1.18269
bwa,2009,0.53098
can,1994,0.07064
can,2000,0.14524
can,2004,0.12741
can,2007,0.09198
can,2010,0.11484
che,2000,0
che,2002,0
che,2004,0
chl,1997,0.03074
chl,2006,0
chl,2011,0.00233
chl,2016,0
chn,1995,1.35358
chn,2000,2.91043
chn,2002,2.8315
chn,2007,1.66102
chn,2013,0.72641
civ,1985,0.40225
civ,1986,0.14123
civ,1987,0.24937
civ,1988,0.65425
civ,1998,3.25404
civ,2002,2.55772
civ,2008,2.36427
civ,2015,1.54279
cmr,1996,4.41891
cmr,2001,1.8335
cmr,2007,2.11816
cmr,2014,1.15411
cod,2004,1.36086
cod,2012,1.97034
cog,2005,2.01647
cog,2011,1.17222
col,2008,0.26818
col,2010,0.19911
col,2016,0.18001
cpv,2001,0.32471
cpv,2007,0.09344
cri,1992,0.0505
cri,2004,0.04965
cri,2012,0.03252
cyp,2010,0
cze,1999,0
cze,2010,0
deu,2010,0.02209
dji,1996,0.08052
dji,2002,0.4205
dnk,1997,0
dnk,2010,0
dom,2007,0.26303
ecu,1998,1.0884
ecu,2011,0.2006
ecu,2013,0.63982
egy,1997,0.16993
egy,2008,0.01841
egy,2012,0.04383
esp,1985,0
esp,1996,0
esp,2010,0
est,1995,0.01809
est,2000,0.00643
est,2001,0.01475
est,2002,0.01986
est,2003,0.03153
est,2004,0.01451
est,2005,0.06602
est,2006,0.05518
est,2007,0.003
eth,1999,0.71356
eth,2004,0.41617
eth,2011,0.7481
eth,2015,1.80119
fin,1998,0
fin,2010,0
fji,2002,0.3588
fra,2010,0.05216
gab,2005,0.2033
gbr,1995,0
gbr,1999,0
gbr,2000,0
gbr,2005,0
gbr,2013,0
geo,1997,1.39734
geo,1998,1.01763
geo,1999,1.36914
geo,2000,1.90606
geo,2001,1.9142
geo,2002,1.717
geo,2003,1.7154
geo,2004,1.46467
geo,2005,1.80257
geo,2006,1.79195
geo,2007,2.33976
geo,2008,2.38696
geo,2009,2.78651
geo,2010,2.98516
geo,2011,2.80679
geo,2012,2.78214
geo,2013,2.18177
gha,1991,1.73316
gha,1998,2.1737
gha,2005,1.72686
gha,2012,0.12739
gin,2002,3.56363
gin,2007,1.84575
gin,2012,1.66075
gmb,2003,0.88432
gnb,2002,2.02252
grc,1998,0
grc,2010,0
grc,2016,0
gtm,2000,0.10604
gtm,2011,0.03612
gtm,2014,0.03332
guy,1993,0.28568
hrv,1998,0
hrv,2004,0
hrv,2008,0
hrv,2009,0
hrv,2010,0
hun,1998,0.00889
hun,1999,0.00892
hun,2000,0
hun,2001,0
hun,2002,0
hun,2003,0
hun,2004,0
hun,2005,0
hun,2006,0
hun,2007,0
hun,2010,0
idn,2001,0.83827
idn,2002,0.65408
idn,2004,0.65846
idn,2005,0.60955
idn,2006,0.47997
idn,2007,0.49098
idn,2009,0.23362
idn,2010,0.17553
idn,2011,0.14093
idn,2012,0.11626
