global,time,eg_gdp_puse_ko_pp_kd
world,1990,6.07972
world,1991,6.102
world,1992,6.19354
world,1993,6.221
world,1994,6.3623
world,1995,6.39001
world,1996,6.47054
world,1997,6.59421
world,1998,6.72949
world,1999,6.81622
world,2000,6.97637
world,2001,7.05183
world,2002,7.10022
world,2003,7.102
world,2004,7.1472
world,2005,7.27106
world,2006,7.43308
world,2007,7.60193
world,2008,7.70195
world,2009,7.69875
world,2010,7.66118
world,2011,7.82967
world,2012,7.9249
world,2013,8.07357
world,2014,8.27855
