geo,time,dt_oda_oatl_kd
abw,2000,19610000.61035
abw,2001,-2849999.90463
abw,2002,16219999.31335
abw,2003,96319999.69482
abw,2004,-12840000.15259
are,1996,6849999.90463
are,1997,2329999.92371
are,1998,4739999.77112
are,1999,4610000.13351
are,2000,4969999.79019
are,2001,3869999.88556
are,2002,5699999.80927
are,2003,6179999.82834
are,2004,6050000.19073
bgr,1990,21219999.31335
bgr,1991,482890014.64844
bgr,1992,212149993.89648
bgr,1993,168669998.16895
bgr,1994,219850006.10352
bgr,1995,137770004.27246
bgr,1996,225610000.61035
bgr,1997,305190002.44141
bgr,1998,331380004.88281
bgr,1999,373809997.55859
bgr,2000,465329986.57227
bgr,2001,537150024.41406
bgr,2002,480380004.88281
bgr,2003,532770019.53125
bgr,2004,706750000
bhs,1996,2019999.98093
bhs,1997,4940000.05722
bhs,1998,32209999.08447
bhs,1999,16840000.15259
bhs,2000,7730000.01907
bhs,2001,10289999.96185
bhs,2002,5710000.03815
bhs,2003,5280000.20981
bhs,2004,6119999.88556
blr,1991,271980010.98633
blr,1992,362309997.55859
blr,1993,267119995.11719
blr,1994,161660003.66211
blr,1995,265950012.20703
blr,1996,103019996.64307
blr,1997,81139999.38965
blr,1998,58279998.7793
blr,1999,59650001.52588
blr,2000,55700000.76294
blr,2001,63540000.91553
blr,2002,60209999.08447
blr,2003,60840000.15259
blr,2004,59619998.93188
bmu,1997,-10859999.65668
bmu,1998,800000.01192
bmu,1999,119999.99732
bmu,2000,90000.00358
bmu,2001,29999.99933
bmu,2002,19999.99955
bmu,2003,39999.99911
bmu,2004,100000.00149
brn,1996,2849999.90463
brn,1997,430000.00715
brn,1998,400000.00596
brn,1999,1990000.00954
brn,2000,1000000
brn,2001,519999.98093
brn,2002,-769999.98093
brn,2003,519999.98093
brn,2004,819999.99285
cym,1997,-4849999.90463
cym,1998,460000.00834
cym,1999,4480000.01907
cym,2000,-5800000.19073
cym,2001,-1279999.97139
cym,2002,-2730000.01907
cym,2003,-1830000.04292
cym,2004,490000.00954
cyp,1997,60409999.84741
cyp,1998,49250000
cyp,1999,79459999.08447
cyp,2000,90309997.55859
cyp,2001,79470001.2207
cyp,2002,50889999.38965
cyp,2003,19149999.61853
