geo,time,ne_gdi_ftot_kn
ago,2019,401252000000
ago,2020,395508000000
alb,1996,111040500943.194
alb,1997,88145397655.2395
alb,1998,99436395230.53348
alb,1999,136496312366.506
alb,2000,194678317714.11401
alb,2001,238894907603.74399
alb,2002,251248550378.87399
alb,2003,271060001171.96896
alb,2004,303039748015.27197
alb,2005,324429545726.28699
alb,2006,348987913386.58502
alb,2007,365168778813.33093
alb,2008,381297071646.28894
alb,2009,385019905588.61499
alb,2010,352412130000
alb,2011,373357060000
alb,2012,344017714753.64001
alb,2013,337220391892.25293
alb,2014,321884791719.54303
alb,2015,333151808579.151
alb,2016,341239239216.53802
alb,2017,361830759460.08698
alb,2018,370320481115.88397
alb,2019,356696094938.14093
alb,2020,349471370000
are,2001,120164985400
are,2002,127139611400
are,2003,136740287100
are,2004,140306762500
are,2005,161462771000
are,2006,185497196600
are,2007,265798843200
are,2008,266778552600
are,2009,290935590600
are,2010,263511857623.35599
are,2011,262742463936.14001
are,2012,265518953720.26801
are,2013,250419173857.289
are,2014,277678167320.43701
are,2015,289662252043.20398
are,2016,315262280859.46399
are,2017,260818307342.45801
are,2018,270218400220.24496
are,2019,270277442293.90897
are,2020,286073900000
arg,1960,36755329400.9155
arg,1961,41962315612.9332
arg,1962,38592931492.5867
arg,1963,33385945195.2375
arg,1964,36755329400.9155
arg,1965,38592931492.5867
arg,1966,38592931492.5867
arg,1967,40430876446.3074
arg,1968,45637891500.379
arg,1969,56051764683.856
arg,1970,57007426599.9331
arg,1971,61656973817.1477
arg,1972,62330694330.9377
arg,1973,57797553472.7246
arg,1974,60125534650.5219
arg,1975,60248042042.5764
arg,1976,66557637022.18751
arg,1977,80432739628.13388
arg,1978,70141216912.0452
arg,1979,74889021327.16499
arg,1980,81125698815.87398
arg,1981,68976364432.1236
arg,1982,55220487965.2738
arg,1983,55441098787.8335
arg,1984,53148948315.4963
arg,1985,45652442316.5871
arg,1986,50692826499.9868
arg,1987,57250409981.865
arg,1988,55235349558.8795
arg,1989,43303652364.8624
arg,1990,36006948329.254
arg,1991,46788033000
arg,1992,62061268900
arg,1993,70515961600
arg,1994,80157092500
arg,1995,69669294700
arg,1996,75858232400
arg,1997,89256968500
arg,1998,95097915700
arg,1999,83106206800
arg,2000,77451444300
arg,2001,65321734700
arg,2002,41513544500
arg,2003,57357679200
arg,2004,77103177100
arg,2005,89307355100
arg,2006,102232644300
arg,2007,123142490200
arg,2008,133850265000
arg,2009,103636442000
arg,2010,130845758500
arg,2011,153584085100
arg,2012,142717702100
arg,2013,146056568000
arg,2014,136189647200
arg,2015,140905220200
arg,2016,132763055500
arg,2017,150527514500
arg,2018,141878733400
arg,2019,119334205800
arg,2020,103909482300
arm,1994,263054819900
arm,1995,222436704600
arm,1996,241555231200
arm,1997,249052613500
arm,1998,278826661600
arm,1999,278931708500
arm,2000,325284304400
arm,2001,344016312500
arm,2002,458320752700
arm,2003,585202533000
arm,2004,696843092800
arm,2005,899992926400
arm,2006,1203636232900
arm,2007,1422314145700
arm,2008,1591587717000
arm,2009,1188094686200
arm,2010,1153640666200
arm,2011,1024433040900
arm,2012,1006835000000
arm,2013,936356550000
arm,2014,915756705900
arm,2015,938650623547.5
arm,2016,831644452463.08496
arm,2017,912313964352.00403
arm,2018,956105034640.90002
arm,2019,998173656165.09998
arm,2020,912330721734.9021
aus,1960,42950000000
aus,1961,45386000000
aus,1962,46193000000
aus,1963,49081000000
aus,1964,53678000000
aus,1965,57695000000
aus,1966,62387000000
aus,1967,65567000000
aus,1968,70402000000
aus,1969,74902000000
aus,1970,77359000000
aus,1971,79851000000
aus,1972,82092000000
aus,1973,84603000000
aus,1974,88214000000
aus,1975,82559000000
aus,1976,85395000000
aus,1977,88717000000
aus,1978,92119000000
aus,1979,101124000000
aus,1980,104029000000
aus,1981,117333000000
aus,1982,125841000000
aus,1983,113924000000
aus,1984,119712000000
aus,1985,131216000000
aus,1986,138998000000
aus,1987,139535000000
aus,1988,149987000000
aus,1989,166068000000
aus,1990,167573000000
aus,1991,151687000000
aus,1992,145624000000
aus,1993,155286000000
aus,1994,164282000000
aus,1995,182395000000
aus,1996,187388000000
aus,1997,199826000000
aus,1998,219295000000
aus,1999,229030000000
aus,2000,247569000000
aus,2001,227904000000
aus,2002,248698000000
aus,2003,279953000000
aus,2004,304408000000
aus,2005,322959000000
aus,2006,349679000000
aus,2007,365484000000
aus,2008,397508000000
aus,2009,403566000000
aus,2010,410620000000
aus,2011,425402000000
aus,2012,474760000000
aus,2013,488487000000
aus,2014,479260000000
aus,2015,461565000000
aus,2016,444751000000
aus,2017,444577000000
aus,2018,466098000000
aus,2019,460134000000
aus,2020,448759000000
aut,1970,30638149000
aut,1971,34863292000
aut,1972,39094833000
aut,1973,39231335000
aut,1974,40788303000
aut,1975,38768510000
aut,1976,40248696000
aut,1977,43843764000
aut,1978,41005952000
aut,1979,43394933000
aut,1980,44836899000
aut,1981,44811841000
aut,1982,41081334000
aut,1983,40904719000
aut,1984,40804445000
aut,1985,43326821000
aut,1986,44143975000
aut,1987,46073261000
aut,1988,49326506000
aut,1989,51526934000
aut,1990,54356967000
aut,1991,58879286000
aut,1992,58959919000
aut,1993,58238290000
aut,1994,61235123000
aut,1995,61352650000
aut,1996,64037280000
aut,1997,64511210000
aut,1998,66723890000
