global,time,fd_ast_prvt_gd_zs
world,1960,32.66224
world,1961,33.91685
world,1962,35.63347
world,1963,37.91551
world,1964,38.94337
world,1965,40.40938
world,1966,40.69828
world,1967,41.72062
world,1968,42.39121
world,1969,43.10105
world,1970,45.39105
world,1971,47.52084
world,1972,52.29158
world,1973,54.56526
world,1974,52.22694
world,1975,51.13867
world,1976,51.58245
world,1977,53.15421
world,1978,56.4851
world,1979,54.67767
world,1980,52.80444
world,1981,53.03091
world,1982,53.96919
world,1983,56.62717
world,1984,58.81237
world,1985,60.60218
world,1986,69.0616
world,1987,74.72051
world,1988,81.54742
world,1989,83.59197
world,1990,79.69702
world,1991,79.94699
world,1992,80.31829
world,1993,82.53674
world,1994,82.22638
world,1995,82.29946
world,1996,79.01386
world,1997,79.66483
world,1998,78.70364
world,1999,80.91754
world,2000,81.17379
world,2001,72.65244
world,2002,72.87672
world,2003,74.45052
world,2004,75.45906
world,2005,76.97089
world,2006,79.24182
world,2007,82.08979
world,2008,83.55398
world,2009,84.50112
world,2010,82.28536
world,2011,81.30048
world,2012,81.35001
world,2013,82.01752
world,2014,82.88267
world,2015,85.80195
world,2016,86.83844
world,2017,85.88939
world,2018,87.95147
world,2019,89.5134
world,2020,98.92629
