geo,time,se_prm_oenr_fe_zs
abw,1999,11.13861
abw,2000,9.92892
abw,2001,11.48148
abw,2002,12.40784
abw,2003,11.9183
abw,2004,12.52819
abw,2005,10.39354
abw,2006,11.55591
abw,2007,10.56296
abw,2008,10.55773
abw,2009,8.33161
abw,2010,10.22609
abw,2013,9.78078
abw,2014,9.72927
afg,1974,11.769
afg,1993,7.13094
ago,1982,59.07274
ago,1983,57.12202
ago,1998,35.2671
ago,2008,26.82652
ago,2009,26.79995
ago,2010,26.82836
ago,2011,23.14032
alb,1999,8.33938
alb,2000,8.33876
alb,2001,8.98575
alb,2003,8.22274
alb,2004,6.96962
alb,2008,8.61366
alb,2009,7.57569
alb,2010,7.34869
alb,2011,7.63816
alb,2012,7.36501
alb,2013,7.1619
alb,2014,5.9789
alb,2015,6.35085
alb,2016,5.90024
alb,2017,5.53507
alb,2018,5.9339
and,2014,7.93734
and,2015,8.18505
and,2016,6.95696
and,2017,6.7838
and,2018,6.13823
are,1978,14.03453
are,1980,11.07307
are,1981,11.29585
are,1982,10.57609
are,1983,4.24267
are,1984,3.92815
are,1985,3.68035
are,1986,3.48529
are,1987,7.24267
are,1988,6.26289
are,1989,6.15237
are,1990,6.30386
are,1991,6.47569
are,1992,6.25539
are,1993,5.93237
are,1994,4.685
are,1995,4.51967
are,1996,4.37231
are,1997,4.26972
are,1998,4.24702
are,1999,4.03812
are,2000,3.86034
are,2001,3.87928
are,2002,3.56477
are,2003,3.55174
are,2004,3.55213
are,2005,3.09227
are,2006,2.9733
are,2007,2.96961
are,2009,2.53964
are,2010,2.54083
are,2011,2.81072
are,2012,2.84618
are,2013,2.90199
are,2014,3.36342
are,2015,5.22582
are,2016,4.40822
are,2017,4.9516
arg,1970,8.57706
arg,1974,8.01347
arg,1975,8.14429
arg,1991,9.78719
arg,1998,6.90881
arg,1999,10.11659
arg,2000,10.19093
arg,2001,10.37059
arg,2002,10.82
arg,2003,11.15322
arg,2004,11.73414
arg,2005,11.49189
arg,2006,11.88405
arg,2007,12.19147
arg,2008,12.25832
arg,2009,12.17224
arg,2010,11.71784
arg,2011,10.91888
arg,2012,10.1458
arg,2013,9.08007
arg,2014,8.44527
arg,2015,8.02634
arg,2016,7.63249
arg,2017,6.75196
arm,2002,2.9913
arm,2003,2.69081
arm,2005,2.88505
arm,2006,2.10159
arm,2007,1.58082
arm,2011,3.69923
arm,2012,2.74846
arm,2013,3.8461
arm,2014,3.44569
arm,2015,2.58918
arm,2016,2.59525
arm,2017,2.47134
arm,2018,2.31951
atg,2007,8.731
atg,2008,8.4005
atg,2009,8.69725
