geo,time,sh_alc_pcap_ma_li
afg,2010,0.36
afg,2015,0.35
afg,2018,0.36
ago,2000,4.42
ago,2005,7.81
ago,2010,12.92
ago,2015,12.64
ago,2018,11.05
alb,2000,10.6
alb,2005,12.41
alb,2010,12.47
alb,2015,10.92
alb,2018,11.63
and,2000,20.35
and,2005,19.18
and,2010,17.13
and,2015,17.16
and,2018,17.17
are,2000,3.35
are,2005,4.62
are,2010,3.86
are,2015,4.7
are,2018,4.88
arg,2000,13.66
arg,2005,13.5
arg,2010,14.09
arg,2015,14.79
arg,2018,14.94
arm,2000,7.02
arm,2005,9.54
arm,2010,9.4
arm,2015,9.63
arm,2018,9.14
atg,2000,8.37
atg,2005,8.63
atg,2010,9.05
atg,2015,9.49
atg,2018,10.26
aus,2000,17.86
aus,2005,18.34
aus,2010,18.73
aus,2015,16.44
aus,2018,15.96
aut,2000,20.42
aut,2005,19.89
aut,2010,18.96
aut,2015,18.7
aut,2018,18.49
aze,2000,5.99
aze,2005,3.12
aze,2010,5.07
aze,2015,7.82
aze,2018,7.51
bdi,2000,16.16
bdi,2005,13.86
bdi,2010,12.61
bdi,2015,11.59
bdi,2018,11.86
bel,2000,19.41
bel,2005,20.31
bel,2010,17.71
bel,2015,18.33
bel,2018,17.15
ben,2000,4
ben,2005,3.62
ben,2010,4
ben,2015,4.79
ben,2018,4.53
bfa,2000,14.26
bfa,2005,15.57
bfa,2010,14.49
bfa,2015,19.87
bfa,2018,20.17
bgd,2000,0.39
bgd,2005,0.27
bgd,2010,0.28
bgd,2015,0.036
bgd,2018,0.033
bgr,2000,18.93
bgr,2005,18.24
bgr,2010,18.02
bgr,2015,19.69
bgr,2018,20.17
bhr,2000,2.53
bhr,2005,2.49
bhr,2010,2.33
bhr,2015,1.8
bhr,2018,1.5
bhs,2000,8.82
bhs,2005,6.78
bhs,2010,6.55
bhs,2015,7.24
bhs,2018,7.62
bih,2000,10.56
bih,2005,11.9
bih,2010,12.09
bih,2015,11.46
bih,2018,11.83
blr,2000,24.47
blr,2005,24.65
blr,2010,27.68
blr,2015,19.5
blr,2018,18.71
blz,2000,8.79
blz,2005,11.33
blz,2010,11.25
blz,2015,10.76
blz,2018,9.94
bol,2000,5.28
bol,2005,6.71
bol,2010,8.55
bol,2015,7.12
bol,2018,6.8
bra,2000,13.93
bra,2005,13.22
bra,2010,13.48
bra,2015,12.5
bra,2018,11.82
brb,2000,11.69
brb,2005,12.16
brb,2010,13.09
brb,2015,15.38
brb,2018,15.98
brn,2000,0.34
brn,2005,0.31
brn,2010,0.76
brn,2015,0.69
brn,2018,0.72
btn,2000,4.43
btn,2005,2.51
btn,2010,1.43
btn,2015,0.65
btn,2018,0.67
bwa,2000,15.02
bwa,2005,15.85
bwa,2010,14.22
bwa,2015,11.31
bwa,2018,10.85
caf,2000,5.96
caf,2005,5.85
caf,2010,6.43
caf,2015,3.92
caf,2018,3.85
can,2010,15.76
can,2015,13.87
can,2018,13.95
che,2000,19.28
che,2005,17.97
che,2010,17.55
che,2015,17.73
che,2018,17.65
chl,2000,11.96
chl,2005,13.76
chl,2010,14.3
chl,2015,14.2
chl,2018,13.89
chn,2000,6.02
chn,2005,6.32
chn,2010,11.04
chn,2015,11.09
chn,2018,10.92
civ,2000,11.37
civ,2005,5.21
civ,2010,4.01
civ,2015,4.14
civ,2018,4.3
cmr,2000,10.7
cmr,2005,12.14
cmr,2010,13.39
cmr,2015,9.8
cmr,2018,8.96
cod,2000,1.53
cod,2005,1.38
cod,2010,2.81
cod,2015,3.28
cod,2018,3.2
cog,2000,5.45
cog,2005,5.92
cog,2010,9.73
cog,2015,12.47
cog,2018,14.63
col,2000,9.04
col,2005,8.77
col,2010,8.16
col,2015,9.36
col,2018,9.3
com,2000,0.33
com,2005,0.76
com,2010,0.44
com,2015,1.53
com,2018,1.2
cpv,2000,9.78
cpv,2005,11.1
cpv,2010,11.83
cpv,2015,9.37
cpv,2018,8.81
cri,2000,8.88
cri,2005,8.66
cri,2010,7.65
cri,2015,7.59
cri,2018,7.77
cub,2000,7.97
cub,2005,8.55
cub,2010,7.96
cub,2015,8.99
cub,2018,9.25
cyp,2000,16.68
cyp,2005,18.98
cyp,2010,17.56
cyp,2015,16.84
cyp,2018,16.92
cze,2000,23.23
cze,2005,22.81
cze,2010,21.64
cze,2015,21.96
cze,2018,22.28
deu,2000,22.01
deu,2005,20.64
deu,2010,19.61
deu,2015,20.13
deu,2018,19.9
dji,2000,2.79
dji,2005,2.2
dji,2010,1.15
dji,2015,0.86
dji,2018,0.75
dma,2000,13.56
dma,2005,14.1
dma,2010,15.59
dma,2015,18.29
dma,2018,18.07
dnk,2000,19.46
dnk,2005,18.88
dnk,2010,16.94
dnk,2015,15.95
dnk,2018,15.78
dom,2000,11.49
dom,2005,9.84
dom,2010,9.75
dom,2015,10.55
dom,2018,10.66
dza,2000,1
dza,2005,1.39
dza,2010,1.12
dza,2015,1.61
dza,2018,1.63
ecu,2000,9.11
ecu,2005,8.88
ecu,2010,9.44
ecu,2015,7.63
ecu,2018,6.43
egy,2000,0.43
egy,2005,0.49
egy,2010,0.63
egy,2015,0.69
egy,2018,0.62
eri,2000,2.61
eri,2005,3.44
eri,2010,2.29
eri,2015,2.37
eri,2018,2.39
esp,2000,19.3
esp,2005,19.86
esp,2010,15.67
esp,2015,17.85
esp,2018,20.07
est,2000,15.8
est,2005,25.31
est,2010,20.12
est,2015,20.08
est,2018,14.96
eth,2000,2.93
eth,2005,3.41
eth,2010,4.16
eth,2015,3.64
eth,2018,3.91
fin,2000,18.31
fin,2005,20.36
fin,2010,19.53
fin,2015,17.39
fin,2018,16.77
fji,2000,5.31
fji,2005,4.56
fji,2010,4.92
fji,2015,5.5
fji,2018,5.49
fra,2000,21.79
fra,2005,20.32
fra,2010,19.31
fra,2015,19.66
fra,2018,19.18
fsm,2000,6.4
fsm,2005,4.57
fsm,2010,4.67
fsm,2015,4
fsm,2018,4.06
gab,2000,16.42
gab,2005,14.45
gab,2010,15.02
gab,2015,14.4
gab,2018,13.17
gbr,2000,21.38
gbr,2005,21.48
gbr,2010,18.71
gbr,2015,17.4
gbr,2018,17.76
geo,2000,7.33
geo,2005,10.58
geo,2010,15.92
geo,2015,15.81
geo,2018,13.58
gha,2000,8.42
gha,2005,6.04
gha,2010,6.86
gha,2015,4.99
gha,2018,4.4
gin,2000,1.13
gin,2005,1.31
gin,2010,1.19
gin,2015,1.82
gin,2018,1.89
gmb,2000,7.01
gmb,2005,7.26
gmb,2010,6.5
gmb,2015,6.26
gmb,2018,6.07
gnb,2000,6.9
gnb,2005,8.87
gnb,2010,7.46
gnb,2015,8.4
gnb,2018,8.95
gnq,2000,11.1
gnq,2005,12.81
gnq,2010,12.93
gnq,2015,12.67
gnq,2018,10.07
grc,2000,15.92
grc,2005,16.69
grc,2010,15.19
grc,2015,16.64
grc,2018,16.17
grd,2000,15.73
grd,2005,13.96
grd,2010,13.24
grd,2015,14.44
grd,2018,15.07
gtm,2000,7.17
gtm,2005,6.99
gtm,2010,5.7
gtm,2015,4.14
gtm,2018,3.97
guy,2000,14.53
guy,2005,12.89
guy,2010,10.97
guy,2015,11.8
guy,2018,11.02
hnd,2000,5.66
hnd,2005,6.27
hnd,2010,5.81
hnd,2015,5.64
hnd,2018,6.07
hrv,2000,19.74
hrv,2005,16.35
hrv,2010,16.02
hrv,2015,14.48
hrv,2018,14.73
hti,2000,6.51
hti,2005,6.31
hti,2010,4.89
hti,2015,4.4
hti,2018,4.47
hun,2000,22.53
hun,2005,22.96
hun,2010,19.26
hun,2015,18.5
hun,2018,18.1
idn,2000,0.85
idn,2005,0.83
idn,2010,1.01
idn,2015,1.03
idn,2018,0.98
ind,2000,3.69
ind,2005,3.78
ind,2010,7.06
ind,2015,8.99
ind,2018,8.99
irl,2000,22.73
irl,2005,21.32
irl,2010,18.34
irl,2015,19.03
irl,2018,19.62
irn,2000,0.35
irn,2005,0.99
irn,2010,1.74
irn,2015,1.76
irn,2018,1.79
irq,2000,0.78
irq,2005,0.76
irq,2010,0.84
irq,2015,0.63
irq,2018,0.67
isl,2000,10.8
isl,2005,11.82
isl,2010,11.44
isl,2015,13.33
isl,2018,13.9
isr,2000,4.87
isr,2005,4.27
isr,2010,4.92
isr,2015,6.05
isr,2018,6.58
ita,2000,16.32
ita,2005,14.85
ita,2010,11.66
ita,2015,12.08
ita,2018,12.46
jam,2000,7.93
jam,2005,7.17
jam,2010,7.07
jam,2015,6.75
jam,2018,6.79
jor,2000,1.04
jor,2005,1.12
jor,2010,1.09
jor,2015,1.18
jor,2018,1.19
jpn,2000,12.64
jpn,2005,12.29
jpn,2010,11.12
jpn,2015,12.16
jpn,2018,12.29
kaz,2000,13.72
kaz,2005,15.49
kaz,2010,8.22
kaz,2015,7.73
kaz,2018,7.92
ken,2000,6.23
ken,2005,4.91
ken,2010,5.37
ken,2015,4.53
ken,2018,4.55
kgz,2000,15.94
kgz,2005,18.84
kgz,2010,17.19
kgz,2015,13.02
kgz,2018,10.79
khm,2000,3.08
khm,2005,4.41
khm,2010,8.08
khm,2015,10.46
khm,2018,10.9
kir,2000,3.36
kir,2005,3.68
kir,2010,2.81
kir,2015,0.89
kir,2018,0.77
kna,2000,15.01
kna,2005,18.11
kna,2010,14.9
kna,2015,14.04
kna,2018,14.14
kor,2000,18.59
kor,2005,16.02
kor,2010,15.07
kor,2015,15.16
kor,2018,14.65
kwt,2000,0.057
kwt,2005,0.028
kwt,2010,0.048
kwt,2015,0.005
kwt,2018,0.004
lao,2000,7.52
lao,2005,7.05
lao,2010,11.39
lao,2015,16.02
lao,2018,17.05
lbn,2000,5.04
lbn,2005,3.84
lbn,2010,3.21
lbn,2015,2.75
lbn,2018,2.86
lbr,2000,10.21
lbr,2005,9.67
lbr,2010,8.57
lbr,2015,9.08
lbr,2018,9.74
lby,2000,0.11
lby,2005,0.14
lby,2010,0.17
lby,2015,0.05
lby,2018,0.034
lca,2000,19
lca,2005,18.67
lca,2010,15.62
lca,2015,16.13
lca,2018,17.16
lka,2000,3.58
lka,2005,4.21
lka,2010,6.44
lka,2015,6.76
lka,2018,6.78
lso,2000,12.7
lso,2005,9.28
lso,2010,11.2
lso,2015,8.26
lso,2018,7.89
ltu,2000,21.67
ltu,2005,25.84
ltu,2010,24.59
ltu,2015,24.71
ltu,2018,21.29
lux,2000,21.75
lux,2005,20.7
