global,time,ag_lnd_arbl_ha_pc
world,1961,0.36092
world,1962,0.35517
world,1963,0.3509
world,1964,0.34467
world,1965,0.33928
world,1966,0.33173
world,1967,0.32593
world,1968,0.32257
world,1969,0.31997
world,1970,0.31169
world,1971,0.30351
world,1972,0.29704
world,1973,0.29266
world,1974,0.28597
world,1975,0.28022
world,1976,0.27644
world,1977,0.27128
world,1978,0.26858
world,1979,0.26477
world,1980,0.26089
world,1981,0.256
world,1982,0.25387
world,1983,0.25028
world,1984,0.24997
world,1985,0.24861
world,1986,0.24512
world,1987,0.2406
world,1988,0.23577
world,1989,0.2318
world,1990,0.22776
world,1991,0.22437
world,1992,0.24961
world,1993,0.24515
world,1994,0.24071
world,1995,0.23681
world,1996,0.23318
world,1997,0.23049
world,1998,0.22719
world,1999,0.22444
world,2000,0.22083
world,2001,0.21761
world,2002,0.21436
world,2003,0.2123
world,2004,0.21031
world,2005,0.20796
world,2006,0.20491
world,2007,0.20215
world,2008,0.19978
world,2009,0.19743
world,2010,0.19516
world,2011,0.19604
world,2012,0.19482
world,2013,0.19269
world,2014,0.19053
world,2015,0.18866
world,2016,0.18701
world,2017,0.18612
world,2018,0.18399
