geo,time,se_adt_1524_lt_fe_zs
egy,2013,90.3254
egy,2017,86.81055
eri,2002,69.4834
eri,2008,82.57652
eri,2018,92.71403
esp,1981,98.64258
esp,1991,99.56968
esp,2004,99.53496
esp,2005,99.50209
esp,2006,99.47575
esp,2007,99.55811
esp,2008,99.60261
esp,2009,99.55732
esp,2010,99.68636
esp,2011,99.74597
esp,2012,99.70572
esp,2013,99.64289
esp,2014,99.68681
esp,2015,99.69419
esp,2016,99.60606
esp,2018,99.7439
esp,2020,99.75504
est,1989,99.9045
est,2000,99.81336
est,2011,99.95904
eth,1994,28.08017
eth,2004,38.5
eth,2005,33.29975
eth,2007,47.04113
eth,2017,71.97251
gab,1993,92.11402
gab,2012,89.42925
gab,2018,91.44938
geo,2002,99.86236
geo,2014,99.72914
geo,2017,99.49365
geo,2019,99.6822
gha,2000,65.48871
gha,2010,83.23453
gha,2018,92.20855
gin,1996,13.4728
gin,2003,34.06904
gin,2010,21.79673
gin,2014,37.21018
gin,2018,43.46918
gmb,2000,41.39434
gmb,2013,56.12098
gmb,2015,64.44683
gnb,1979,17.80347
gnb,2000,45.90365
gnb,2014,49.75632
gnq,2000,96.62424
gnq,2010,98.29817
grc,1981,98.88445
grc,1991,98.97938
grc,2001,98.99116
grc,2005,99.5248
grc,2007,99.67996
grc,2009,99.46973
grc,2011,98.90698
grc,2018,99.07
grd,1970,99.07742
grd,1984,99.5
grd,1994,99.5
grd,2004,99.5
grd,2014,99.5
gtm,1994,70.72151
gtm,2002,78.39068
gtm,2012,91.94237
gtm,2013,89.77037
gtm,2014,93.26925
gtm,2018,93.86512
gum,1980,95.9054
gum,1990,99.84762
guy,2009,93.67022
guy,2014,97.03701
hnd,2001,90.91032
hnd,2007,95.05453
hnd,2010,95.8775
hnd,2011,96.92601
hnd,2012,95.98721
hnd,2013,96.29856
hnd,2014,96.29226
hnd,2015,96.99961
hnd,2016,97.24561
hnd,2018,98.1851
hnd,2019,97.28868
hrv,1991,99.6044
hrv,2001,99.65321
hrv,2011,99.73572
hti,1982,51.05302
hti,2003,80.68945
hti,2006,70.48078
hti,2016,82.63483
hun,1980,99.31812
hun,2014,99
idn,1980,81.6484
idn,1990,95.06925
idn,2004,98.54216
idn,2006,96.27236
idn,2008,99.38241
idn,2009,99.39659
idn,2011,98.7518
idn,2014,99.67883
idn,2015,99.63702
idn,2016,99.65351
idn,2018,99.69625
idn,2020,99.78145
ind,1981,40.32152
ind,1991,49.34919
ind,2001,67.74658
