geo,time,bx_gsr_tran_zs
abw,1986,2.80526
abw,1987,2.49409
abw,1988,2.68197
abw,1989,3.50612
abw,1990,3.22958
abw,1991,8.50136
abw,1992,12.1205
abw,1993,12.26579
abw,1994,17.51745
abw,1995,7.58191
abw,1996,8.43723
abw,1997,6.03094
abw,1998,7.074
abw,1999,8.52055
abw,2000,5.26457
abw,2001,2.83565
abw,2002,2.91419
abw,2003,2.41631
abw,2004,4.23903
abw,2005,4.32944
abw,2006,4.08852
abw,2007,3.86558
abw,2008,3.58948
abw,2009,4.00581
abw,2010,3.32665
abw,2011,3.87849
abw,2012,3.41132
abw,2013,3.93055
abw,2014,5.54262
abw,2015,5.47152
abw,2016,5.58057
abw,2017,6.01108
abw,2018,5.87501
abw,2019,5.10438
abw,2020,3.80758
afg,2008,11.4652
afg,2009,6.82429
afg,2010,9.35691
afg,2011,10.36821
afg,2012,13.85498
afg,2013,29.93362
afg,2014,14.72382
afg,2015,11.2627
afg,2016,19.20019
afg,2017,27.91438
afg,2018,24.67151
afg,2019,16.34408
afg,2020,12.3752
ago,1990,29.03226
ago,1991,28.34092
ago,1992,34.28695
ago,1993,34.18715
ago,1994,21.43142
ago,1995,31.78634
ago,1996,30.432
ago,1997,32.3661
ago,1998,45.39112
ago,1999,30.72297
ago,2000,6.02739
ago,2001,6.64691
ago,2002,8.1102
ago,2003,7.86264
ago,2004,5.48087
ago,2005,10.22435
ago,2006,1.36094
ago,2007,5.38943
ago,2008,4.3931
ago,2009,5.13548
ago,2010,4.98411
ago,2011,3.60095
ago,2012,2.73932
ago,2013,1.87485
ago,2014,1.49806
ago,2015,2.01387
ago,2016,4.5906
ago,2017,2.34739
ago,2018,4.42111
ago,2019,7.00377
ago,2020,12.73268
alb,1980,42.11009
alb,1981,42.75
alb,1982,42.27273
alb,1983,40.84615
alb,1984,42.07792
alb,1985,49.2
alb,1986,38.25
alb,1987,30.67265
alb,1988,22.19595
alb,1989,19.70149
alb,1990,20
alb,1991,17.6087
alb,1992,14.77833
alb,1993,11.30155
alb,1994,14.6397
alb,1995,18.52227
alb,1996,23.45201
alb,1997,144.81132
alb,1998,35.71037
alb,1999,5.27199
alb,2000,3.83192
alb,2001,2.86131
alb,2002,3.26632
alb,2003,9.24887
alb,2004,8.94096
alb,2005,9.97043
alb,2006,9.92993
alb,2007,7.52909
alb,2008,7.93885
alb,2009,9.88602
alb,2010,9.65907
alb,2011,11.37965
alb,2012,11.32166
alb,2013,11.0939
alb,2014,7.73453
alb,2015,7.78011
alb,2016,7.63683
alb,2017,8.27456
alb,2018,8.44384
alb,2019,7.15461
alb,2020,7.96794
and,2019,1.7617
arg,1976,36.41457
arg,1977,46.16193
arg,1978,43.60626
arg,1979,43.90066
