global,time,ag_lnd_agri_k2
world,1961,37908569.945
world,1962,37991921.815
world,1963,38099933.582
world,1964,38194485.996
world,1965,38317154.61
world,1966,38376242.457
world,1967,38497236.139
world,1968,38831509.111
world,1969,38948508.889
world,1970,38818002.785
world,1971,38966564.067
world,1972,39053179.3
world,1973,39200076.9
world,1974,39287595.7
world,1975,39375239.4
world,1976,39376387.433
world,1977,39379694.067
world,1978,39533523.1
world,1979,39606129.1
world,1980,39753927.48
world,1981,39773318.9
world,1982,39925312.3
world,1983,40004627.8
world,1984,40305203.8
world,1985,40591354.57
world,1986,40601740.92
world,1987,40760853.6
world,1988,40897037
world,1989,40995148.4
world,1990,40923990.6
world,1991,40851856.974
world,1992,46863429.06
world,1993,46743860.24
world,1994,46937513.28
world,1995,46923262
world,1996,46991721.52
world,1997,47190992.14
world,1998,47322844.46
world,1999,47356360.33
world,2000,47371524.5
world,2001,47388728.352
world,2002,47294657.109
world,2003,47140891.535
world,2004,46771835.358
world,2005,46862188.37188
world,2006,46914799.08712
world,2007,46868683.901
world,2008,46783694.01612
world,2009,46756685.29188
world,2010,46774506.59994
world,2011,47959422.12
world,2012,47955059.53101
world,2013,47877732.99307
world,2014,47889155.737
world,2015,47681467.59613
world,2016,47691466.94413
world,2017,48088210.033
world,2018,47953427.477
