global,time,en_atm_noxe_eg_kt_ce
world,1990,229880
world,1991,233480
world,1992,235570
world,1993,239020
world,1994,242350
world,1995,245930
world,1996,250360
world,1997,252210
world,1998,252720
world,1999,250650
world,2000,254550
world,2001,254220
world,2002,254160
world,2003,256260
world,2004,257210
world,2005,257480
world,2006,259340
world,2007,261060
world,2008,263100
world,2009,261900
world,2010,267820
world,2011,270990
world,2012,272720
world,2013,278740
world,2014,281810
world,2015,286110
world,2016,286950
world,2017,288710
world,2018,290360
