global,time,dc_dac_dnkl_cd
world,1960,659999.96662
world,1961,2089999.91417
world,1962,660000.02623
world,1963,600000.02384
world,1964,2199999.80927
world,1965,4539999.96185
world,1966,10480000.49591
world,1967,12460000.03815
world,1968,15849999.4278
world,1969,31250000
world,1970,37500000
world,1971,36400001.52588
world,1972,46020000.45776
world,1973,71769996.64307
world,1974,93370002.74658
world,1975,110940002.44141
world,1976,117199996.94824
world,1977,146750000
world,1978,217229995.72754
world,1979,259570007.32422
world,1980,265970001.2207
world,1981,202679992.67578
world,1982,215039993.28613
world,1983,236410003.66211
world,1984,222639999.38965
world,1985,228440002.44141
world,1986,362200012.20703
world,1987,459010009.76562
world,1988,477709991.45508
world,1989,522299987.79297
world,1990,702799987.79297
world,1991,712279968.26172
world,1992,805460021.97266
world,1993,865700012.20703
world,1994,879989990.23438
world,1995,1022659973.14453
world,1996,1152349975.58594
world,1997,1087069946.28906
world,1998,1120300048.82813
world,1999,1152410034.17969
world,2000,1136680053.71094
world,2001,1139920043.94531
world,2002,1128190063.47656
world,2003,1115119995.11719
world,2004,1246469970.70313
world,2005,1357780029.29688
world,2006,1468199951.17188
world,2007,1651380004.88281
world,2008,1828390014.64844
world,2009,1905079956.05469
world,2010,2108739990.23438
world,2011,2147939941.40625
world,2012,1921260009.76563
world,2013,2133550048.82813
world,2014,2130750000
world,2015,1880429931.64063
world,2016,1653789916.99219
world,2017,1720890014.64844
world,2018,1797170043.94531
world,2019,1757440063.47656
