global,time,se_adt_litr_ma_zs
world,1976,75.50374
world,1977,75.68166
world,1978,76.05721
world,1979,76.41294
world,1980,76.62134
world,1981,77.01256
world,1982,77.45818
world,1983,77.85349
world,1984,78.24622
world,1985,78.60355
world,1986,78.93789
world,1987,79.42775
world,1988,80.77902
world,1989,81.09641
world,1990,81.18705
world,1991,81.58425
world,1992,82.01961
world,1993,82.39573
world,1994,82.71091
world,1995,83.00014
world,1996,83.28917
world,1997,84.52334
world,1998,85.73028
world,1999,85.97084
world,2000,86.0589
world,2001,86.24223
world,2002,86.6054
world,2003,87.07109
world,2004,87.42237
world,2005,87.39615
world,2006,87.46091
world,2007,87.54668
world,2008,88.01052
world,2009,88.19003
world,2010,88.25146
world,2011,88.37274
world,2012,88.77897
world,2013,88.92678
world,2014,89.21079
world,2015,89.32727
world,2016,89.67834
world,2017,89.79744
world,2018,89.77503
world,2019,89.93315
world,2020,90.06497
