geo,time,ny_gds_totl_zs
abw,1995,29.5581
abw,1996,26.40063
abw,1997,26.55478
abw,1998,27.69742
abw,1999,26.19519
abw,2000,29.20787
abw,2001,25.66191
abw,2002,22.44604
abw,2003,21.44831
abw,2004,25.29456
abw,2005,24.18504
abw,2006,22.90323
abw,2007,21.8543
abw,2008,22.75132
abw,2009,17.79566
abw,2010,12.38607
abw,2011,12.53287
abw,2012,9.45559
abw,2013,15.0312
abw,2014,16.7804
abw,2015,21.4111
abw,2016,21.9761
abw,2017,21.84428
abw,2018,20.74824
afg,1960,13.22315
afg,1961,12.95547
afg,1962,14.63415
afg,1963,6.50888
afg,1964,4.72223
afg,1965,1.10375
afg,1966,-1.5873
afg,1967,-2.25763
afg,1968,0.16181
afg,1969,1.57729
afg,1970,3.30368
afg,1971,0.24273
afg,1972,3.20333
afg,1973,5.51282
afg,1974,7.93814
afg,1975,8.16901
afg,1976,12
afg,1977,9.25508
afg,1978,10.84176
ago,2000,57.31777
ago,2001,30.93531
ago,2002,39.36157
ago,2003,35.19256
ago,2004,44.07446
ago,2005,52.01815
ago,2006,55.61134
ago,2007,53.48208
ago,2008,54.3894
ago,2009,37.88932
ago,2010,47.1599
ago,2011,47.78174
ago,2012,46.74774
ago,2013,40.82521
ago,2014,37.5576
ago,2015,30.82317
ago,2016,30.09352
ago,2017,29.88168
ago,2018,33.16399
ago,2019,34.18473
ago,2020,26.50968
alb,1980,32.58458
alb,1981,34.30518
alb,1982,31.01602
alb,1983,31.06529
alb,1984,27.28897
alb,1985,28.03574
alb,1986,27.96602
alb,1987,25.70993
alb,1988,23.37426
alb,1989,26.36224
alb,1990,18.13198
alb,1991,-17.09991
alb,1992,-86.91212
alb,1993,-38.49164
alb,1994,-15.80612
alb,1995,-5.41646
alb,1996,-3.59103
alb,1997,-8.37187
alb,1998,-5.46071
alb,1999,2.40727
alb,2000,7.57276
alb,2001,11.1645
alb,2002,8.63018
alb,2003,8.57114
alb,2004,11.58474
alb,2005,12.02328
alb,2006,11.84963
alb,2007,7.75565
