global,time,sh_dth_1014
world,1990,536723
world,1991,543477
world,1992,529703
world,1993,533734
world,1994,552888
world,1995,530092
world,1996,527763
world,1997,524000
world,1998,521374
world,1999,514824
world,2000,503880
world,2001,493566
world,2002,482686
world,2003,475014
world,2004,477297
world,2005,461215
world,2006,444930
world,2007,437053
world,2008,445038
world,2009,422196
world,2010,436007
world,2011,407549
world,2012,400295
world,2013,394945
world,2014,388892
world,2015,384468
world,2016,378595
world,2017,373912
world,2018,370717
world,2019,367587
world,2020,364109
