global,time,ny_adj_ictr_gn_zs
world,1975,22.2368
world,1976,22.83061
world,1977,22.81029
world,1978,23.23157
world,1979,23.52516
world,1980,22.9233
world,1981,23.83359
world,1982,22.41548
world,1983,21.44168
world,1984,22.42143
world,1985,21.77142
world,1986,20.98231
world,1987,21.45953
world,1988,22.17708
world,1989,22.44213
world,1990,21.69154
world,1991,21.00057
world,1992,20.51347
world,1993,20.45868
world,1994,21.4473
world,1995,22.22004
world,1996,23.96221
world,1997,24.16304
world,1998,23.90195
world,1999,23.68266
world,2000,24.08077
world,2001,23.16441
world,2002,22.69492
world,2003,22.74248
world,2004,23.66154
world,2005,24.24214
world,2006,25.32184
world,2007,25.50581
world,2008,25.14179
world,2009,23.07402
world,2010,24.79802
world,2011,25.69201
world,2012,26.07077
world,2013,25.9649
world,2014,26.37911
world,2015,26.34719
world,2016,25.84047
world,2017,26.42136
world,2018,26.76459
world,2019,26.54025
