geo,time,sh_hiv_incd_14
afg,1990,100
afg,1991,100
afg,1992,100
afg,1993,100
afg,1994,100
afg,1995,100
afg,1996,100
afg,1997,100
afg,1998,100
afg,1999,100
afg,2000,100
afg,2001,100
afg,2002,100
afg,2003,100
afg,2004,100
afg,2005,100
afg,2006,100
afg,2007,100
afg,2008,100
afg,2009,100
afg,2010,100
afg,2011,100
afg,2012,100
afg,2013,100
afg,2014,100
afg,2015,100
afg,2016,200
afg,2017,200
afg,2018,200
afg,2019,200
afg,2020,200
ago,1990,580
ago,1991,750
ago,1992,960
ago,1993,1200
ago,1994,1500
ago,1995,1800
ago,1996,2100
ago,1997,2500
ago,1998,3000
ago,1999,3500
ago,2000,4000
ago,2001,4500
ago,2002,5100
ago,2003,5700
ago,2004,6200
ago,2005,6700
ago,2006,6700
ago,2007,7200
ago,2008,7400
ago,2009,7700
ago,2010,7800
ago,2011,8400
ago,2012,8400
ago,2013,8200
ago,2014,7600
ago,2015,7700
ago,2016,8000
ago,2017,8100
ago,2018,7400
ago,2019,6200
ago,2020,5200
arg,1990,200
arg,1991,200
arg,1992,200
arg,1993,500
arg,1994,500
arg,1995,500
arg,1996,500
arg,1997,500
arg,1998,500
arg,1999,500
arg,2000,500
arg,2001,500
arg,2002,500
arg,2003,500
arg,2004,500
arg,2005,200
arg,2006,200
arg,2007,200
arg,2008,200
arg,2009,200
arg,2010,200
arg,2011,100
arg,2012,100
arg,2013,100
arg,2014,100
arg,2015,100
arg,2016,100
arg,2017,100
arg,2018,100
arg,2019,100
arg,2020,100
arm,1990,100
arm,1991,100
arm,1992,100
arm,1993,100
arm,1994,100
arm,1995,100
arm,1996,100
arm,1997,100
arm,1998,100
arm,1999,100
arm,2000,100
arm,2001,100
arm,2002,100
arm,2003,100
arm,2004,100
arm,2005,100
arm,2006,100
arm,2007,100
arm,2008,100
arm,2009,100
arm,2010,100
arm,2011,100
arm,2012,100
arm,2013,100
arm,2014,100
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,100
arm,2019,100
arm,2020,100
aze,1990,100
aze,1991,100
aze,1992,100
aze,1993,100
aze,1994,100
aze,1995,100
aze,1996,100
aze,1997,100
aze,1998,100
aze,1999,100
aze,2000,100
aze,2001,100
aze,2002,100
aze,2003,100
aze,2004,100
aze,2005,100
aze,2006,100
aze,2007,100
aze,2008,100
aze,2009,100
aze,2010,100
aze,2011,100
aze,2012,100
aze,2013,100
aze,2014,100
aze,2015,100
aze,2016,100
aze,2017,100
aze,2018,100
aze,2019,100
aze,2020,100
bdi,1990,5900
bdi,1991,6400
bdi,1992,6800
bdi,1993,6900
bdi,1994,6800
bdi,1995,6600
bdi,1996,6300
bdi,1997,5900
bdi,1998,5600
bdi,1999,5200
bdi,2000,4900
bdi,2001,4500
bdi,2002,4200
bdi,2003,3900
bdi,2004,3600
bdi,2005,3200
bdi,2006,2900
bdi,2007,2800
bdi,2008,2500
bdi,2009,2400
bdi,2010,1900
bdi,2011,1800
bdi,2012,1700
bdi,2013,1500
bdi,2014,1300
bdi,2015,1200
bdi,2016,930
bdi,2017,960
bdi,2018,980
bdi,2019,920
bdi,2020,950
ben,1990,1100
ben,1991,1300
ben,1992,1600
ben,1993,1800
ben,1994,2000
ben,1995,2100
ben,1996,2300
ben,1997,2400
ben,1998,2500
ben,1999,2500
ben,2000,2600
ben,2001,2600
ben,2002,2600
ben,2003,2600
ben,2004,2500
ben,2005,2500
ben,2006,2500
ben,2007,2400
ben,2008,2100
ben,2009,2000
ben,2010,2000
ben,2011,2000
ben,2012,1900
ben,2013,1900
ben,2014,1800
ben,2015,1500
ben,2016,1200
ben,2017,1300
ben,2018,1100
ben,2019,810
ben,2020,670
bfa,1990,8100
bfa,1991,8700
bfa,1992,9300
bfa,1993,9600
bfa,1994,9700
bfa,1995,9700
bfa,1996,9600
bfa,1997,9300
bfa,1998,9000
bfa,1999,8700
bfa,2000,8200
bfa,2001,7800
bfa,2002,7300
bfa,2003,6900
bfa,2004,6400
bfa,2005,6000
bfa,2006,5600
bfa,2007,5100
bfa,2008,4900
bfa,2009,4400
bfa,2010,4200
bfa,2011,3900
bfa,2012,3800
bfa,2013,3700
bfa,2014,3400
bfa,2015,1300
bfa,2016,1300
bfa,2017,1200
bfa,2018,1300
bfa,2019,1100
bfa,2020,1300
bol,1990,100
bol,1991,100
bol,1992,100
bol,1993,100
bol,1994,100
bol,1995,100
bol,1996,200
bol,1997,200
bol,1998,200
bol,1999,200
bol,2000,200
bol,2001,200
bol,2002,200
bol,2003,200
bol,2004,200
bol,2005,200
bol,2006,200
bol,2007,200
bol,2008,200
bol,2009,200
bol,2010,100
bol,2011,100
bol,2012,100
bol,2013,100
bol,2014,100
bol,2015,100
bol,2016,100
bol,2017,100
bol,2018,100
bol,2019,100
bol,2020,100
bwa,1990,1200
bwa,1991,1800
bwa,1992,2500
bwa,1993,3100
bwa,1994,3700
bwa,1995,4200
bwa,1996,4700
bwa,1997,4900
bwa,1998,5100
bwa,1999,5200
bwa,2000,4800
bwa,2001,4300
bwa,2002,4000
bwa,2003,3600
bwa,2004,3100
bwa,2005,2100
bwa,2006,1600
bwa,2007,1700
bwa,2008,1600
bwa,2009,1200
bwa,2010,1300
bwa,2011,1500
bwa,2012,870
bwa,2013,700
bwa,2014,870
bwa,2015,760
bwa,2016,760
bwa,2017,500
bwa,2018,500
bwa,2019,500
bwa,2020,500
civ,1990,8300
civ,1991,10000
civ,1992,12000
civ,1993,14000
civ,1994,15000
civ,1995,16000
civ,1996,16000
civ,1997,17000
civ,1998,17000
civ,1999,17000
civ,2000,16000
civ,2001,15000
civ,2002,15000
civ,2003,14000
civ,2004,13000
civ,2005,11000
civ,2006,11000
civ,2007,8700
civ,2008,6900
civ,2009,5800
civ,2010,5200
civ,2011,5000
civ,2012,3900
civ,2013,2800
civ,2014,2000
civ,2015,1700
civ,2016,2300
civ,2017,2000
civ,2018,1800
civ,2019,1100
civ,2020,1200
cmr,1990,2000
cmr,1991,2600
cmr,1992,3500
cmr,1993,4500
cmr,1994,5600
cmr,1995,6700
cmr,1996,7900
cmr,1997,9100
cmr,1998,10000
cmr,1999,11000
cmr,2000,12000
cmr,2001,12000
cmr,2002,12000
cmr,2003,12000
cmr,2004,12000
cmr,2005,12000
cmr,2006,12000
cmr,2007,11000
cmr,2008,11000
cmr,2009,10000
cmr,2010,8300
cmr,2011,7700
cmr,2012,6600
cmr,2013,5000
cmr,2014,5100
cmr,2015,4000
cmr,2016,4700
cmr,2017,4300
cmr,2018,4200
cmr,2019,4900
cmr,2020,4500
cod,1990,13000
cod,1991,15000
cod,1992,17000
cod,1993,18000
cod,1994,19000
cod,1995,20000
cod,1996,20000
cod,1997,21000
cod,1998,21000
cod,1999,21000
cod,2000,20000
cod,2001,20000
cod,2002,20000
cod,2003,19000
cod,2004,19000
cod,2005,18000
cod,2006,18000
cod,2007,17000
cod,2008,17000
cod,2009,16000
cod,2010,15000
cod,2011,15000
cod,2012,14000
cod,2013,12000
cod,2014,11000
cod,2015,10000
cod,2016,9600
cod,2017,9500
cod,2018,9800
cod,2019,8700
cod,2020,8800
cog,1990,1500
cog,1991,1700
cog,1992,1800
cog,1993,1900
cog,1994,2000
cog,1995,2000
cog,1996,2100
cog,1997,2100
cog,1998,2100
cog,1999,2200
cog,2000,2100
cog,2001,2100
cog,2002,2100
cog,2003,2100
cog,2004,2000
cog,2005,2000
cog,2006,2000
cog,2007,1900
cog,2008,1800
cog,2009,1900
cog,2010,1800
cog,2011,1600
cog,2012,1700
cog,2013,1700
cog,2014,1800
cog,2015,1800
cog,2016,1900
cog,2017,2000
cog,2018,2100
cog,2019,2100
cog,2020,2100
col,1990,500
col,1991,500
col,1992,500
col,1993,500
col,1994,500
col,1995,530
col,1996,560
col,1997,580
col,1998,590
col,1999,590
col,2000,580
col,2001,570
col,2002,560
col,2003,520
col,2004,500
col,2005,500
col,2006,500
col,2007,500
col,2008,500
col,2009,500
col,2010,500
col,2011,500
col,2012,200
col,2013,200
col,2014,200
col,2015,200
col,2016,200
col,2017,200
col,2018,200
col,2019,200
col,2020,200
cri,1990,100
cri,1991,100
cri,1992,100
cri,1993,100
cri,1994,100
cri,1995,100
cri,1996,100
cri,1997,100
cri,1998,100
cri,1999,100
cri,2000,100
cri,2001,100
cri,2002,100
cri,2003,100
cri,2004,100
cri,2005,100
cri,2006,100
cri,2007,100
cri,2008,100
cri,2009,100
cri,2010,100
cri,2011,100
cri,2012,100
cri,2013,100
