geo,time,ny_adj_dkap_cd
abw,1986,37604042.47135
abw,1987,46427305.37312
abw,1988,58480082.21086
abw,1989,69416570.7899
abw,1990,75404879.30094
abw,1991,86596656.58286
abw,1992,95204429.09869
abw,1993,107298458.43552
abw,1994,124873173.31919
abw,1995,142497287.05036
abw,1996,150784881.17361
abw,1997,172637030.41794
abw,1998,184887046.30292
abw,1999,174849562.3797
abw,2000,191455922.68109
abw,2001,197716712.62136
abw,2002,198819786.40889
abw,2003,205539003.40004
abw,2004,227835275.94875
abw,2005,226737425.87905
abw,2006,237310788.56776
abw,2007,257420373.39874
abw,2008,267973756.44659
abw,2009,238428946.20733
abw,2010,234046317.76924
abw,2011,256138393.29103
abw,2012,255095330.56065
abw,2013,271496216.97573
abw,2014,277672803.36291
abw,2015,304368276.51179
abw,2016,309517898.05379
abw,2017,318131467.76289
afg,1970,95034588.95541
afg,1971,98763587.87734
afg,1972,81642457.65583
afg,1973,88761189.05673
afg,1974,113459961.09357
afg,1975,129175266.55809
afg,1976,139674095.42875
afg,1977,163500526.58359
afg,1978,184355990.48955
afg,1979,208253659.96313
afg,1980,219378455.17607
afg,1981,203880776.30687
afg,2002,249449465.98487
afg,2003,285259024.9871
afg,2004,346071579.60728
afg,2005,360609244.95228
afg,2006,394033574.30247
afg,2007,549475226.7703
afg,2008,591230006.35685
afg,2009,696788505.06308
afg,2010,901230200.41571
afg,2011,948730729.1617
afg,2012,1106148403.22391
afg,2013,1138829191.42236
afg,2014,1051852943.65117
afg,2015,1002808059.43745
afg,2016,835156995.31211
afg,2017,851880842.26243
afg,2018,884760733.43289
afg,2019,884413332.04171
ago,1980,553449997.03181
ago,1981,519882201.93088
ago,1982,516090154.80587
ago,1983,530808333.89508
ago,1984,556601413.88807
ago,1985,761046337.67779
ago,1986,737061684.42024
ago,1987,766356757.98715
ago,1988,823244643.53939
ago,1989,892654892.35343
ago,1990,929283389.07037
ago,1991,901903375.30106
ago,1992,663966957.91226
ago,1993,455231632.31989
