geo,time,sl_uem_advn_ma_zs
afg,2014,7.58
afg,2017,11.93
afg,2020,12.21
ago,2004,12.6
ago,2009,6.38
ago,2011,6.93
ago,2014,5.13
alb,2007,15.88
alb,2008,9.94
alb,2009,13.65
alb,2010,13.88
alb,2011,12.51
alb,2012,12.23
alb,2013,13.4
alb,2014,16.99
alb,2015,16.66
alb,2016,16.29
alb,2017,13.31
alb,2018,15.06
alb,2019,14.3
are,1995,1.75
are,2005,2.32
are,2017,1.76
are,2018,1.48
arg,2002,12.99
arg,2003,9.43
arg,2004,4.41
arg,2005,4.21
arg,2006,2.9
arg,2008,3.02
arg,2009,3.25
arg,2010,2.4
arg,2011,1.8
arg,2012,1.86
arg,2013,2.39
arg,2014,2.32
arg,2017,2.32
arg,2018,2.88
arg,2019,3.18
arg,2020,4.46
arm,2007,20.47
arm,2008,16.39
arm,2009,16.74
arm,2010,16.98
arm,2011,18.52
arm,2012,17.05
arm,2013,13.11
arm,2014,14.87
arm,2015,14.43
arm,2016,15.95
arm,2017,17.72
arm,2018,16.9
arm,2019,15.23
arm,2020,17.28
aus,1995,2.16
aus,1997,3.6
aus,1998,3.43
aus,2000,3.9
aus,2001,3.47
aus,2002,3.52
aus,2003,3.84
aus,2004,3.37
aus,2005,3.06
aus,2006,2.14
aus,2007,2.07
aus,2008,2.39
aus,2009,4.02
aus,2010,3.09
aus,2011,2.87
aus,2012,2.67
aus,2013,3.53
aus,2014,3.92
aus,2015,3.49
aus,2016,3.3
aus,2017,3.25
aut,1994,1.6
aut,1998,2.27
aut,1999,2.36
aut,2000,2.09
aut,2001,1.59
aut,2002,1.68
aut,2003,2.39
aut,2004,3.27
aut,2005,2.8
aut,2006,2.36
aut,2007,2.26
aut,2008,1.67
aut,2009,2.1
aut,2010,2.3
aut,2011,2.17
aut,2012,2.03
aut,2013,2.84
aut,2014,3.75
aut,2015,4
aut,2016,3.77
aut,2017,3.07
aut,2018,3.11
aut,2019,2.65
aut,2020,2.98
aze,2007,4.92
aze,2008,5.38
aze,2009,5.6
aze,2010,4.9
aze,2011,5.44
aze,2012,4.91
aze,2014,4.64
aze,2015,4.73
aze,2016,4.84
aze,2017,4.5
aze,2018,4.51
aze,2020,6.74
bdi,2014,11.07
bel,1998,3.13
bel,1999,2.91
bel,2000,2.2
bel,2001,2.84
bel,2002,3.31
bel,2003,3.93
bel,2004,3.55
bel,2005,4.26
bel,2006,4.04
bel,2007,3.65
bel,2008,3.56
bel,2009,4.35
bel,2010,4.25
bel,2011,3.77
bel,2012,3.96
bel,2013,4.62
bel,2014,4.62
bel,2015,4.92
bel,2016,3.99
bel,2017,3.84
bel,2018,3.59
bel,2019,3.27
bel,2020,3.58
ben,2011,10.9
ben,2018,1.69
bfa,2014,8.99
bfa,2018,11.7
bgd,2006,4.75
bgd,2010,3.06
bgd,2013,4.85
bgd,2016,6.94
bgd,2017,7.94
bgr,2000,6.96
bgr,2001,8.4
bgr,2002,7.5
bgr,2003,5.97
bgr,2004,5.17
bgr,2005,4.42
bgr,2006,3.75
bgr,2007,2.35
bgr,2008,1.96
bgr,2009,2.71
bgr,2010,4.59
bgr,2011,5.34
bgr,2012,6.25
bgr,2013,6.49
bgr,2014,5.49
bgr,2015,4.04
bgr,2016,3.5
bgr,2017,3.28
bgr,2018,2.45
bgr,2019,1.83
bgr,2020,2.6
bhs,1994,5.27
bih,2006,1.5
bih,2007,8.27
bih,2008,5.08
bih,2009,8.8
bih,2010,12.48
bih,2011,13.34
bih,2012,15.5
bih,2013,14.15
bih,2014,17.36
bih,2015,17.26
bih,2016,14.85
bih,2017,11.68
bih,2018,13.58
bih,2019,10.19
bih,2020,10.2
blr,2016,4.55
blr,2017,4.74
blr,2018,3.92
blr,2019,3.42
blr,2020,2.72
blz,2005,5.12
blz,2012,9.09
blz,2013,3.61
blz,2014,4.8
blz,2015,4.36
blz,2016,3.7
blz,2017,2.8
blz,2019,5.4
bmu,2000,1.64
bmu,2009,4.19
bmu,2010,2.24
bmu,2012,3.25
bol,1996,10.23
bol,1997,7.22
bol,1999,3.91
bol,2000,9.09
bol,2001,3.59
bol,2002,4.18
bol,2004,5.54
bol,2005,7.37
bol,2006,5.71
bol,2007,4.62
bol,2008,3.18
bol,2009,6.21
bol,2011,3.16
bol,2012,3.25
bol,2013,3.93
bol,2014,3.07
bol,2015,2.87
bol,2016,5.14
bol,2017,5.4
bol,2018,5.49
bol,2019,5.87
bol,2020,10.41
bra,1995,1.75
bra,1996,2.16
bra,1997,2.91
bra,1998,2.75
bra,1999,3.24
bra,2001,2.6
bra,2002,3.2
bra,2003,3.12
bra,2004,2.96
bra,2005,3.23
bra,2006,2.55
bra,2007,3.08
bra,2008,2.83
bra,2009,3.04
bra,2011,2.46
bra,2012,0.59
bra,2013,0.58
bra,2014,0.98
bra,2015,4.25
bra,2016,5.35
bra,2017,5.66
bra,2018,5.57
bra,2019,5.42
bra,2020,6.43
brb,1997,2.71
brb,2003,3.74
brb,2015,5.19
brb,2016,4.35
brb,2017,3.25
brb,2018,4.63
brb,2019,2.81
brn,2014,4.27
brn,2017,6.66
brn,2018,6.31
brn,2019,4.83
btn,2012,4.29
btn,2013,13.02
btn,2015,10.71
bwa,2006,19.3
bwa,2009,4.71
bwa,2010,6.05
bwa,2019,15.18
bwa,2020,16.11
can,1990,5.33
can,1991,7.15
can,1992,8.55
can,1993,8.54
can,1994,7.91
can,1995,6.88
can,1996,6.92
can,1997,6.37
can,1998,5.82
can,1999,5.35
can,2000,4.77
can,2001,5.53
can,2002,5.92
can,2003,5.82
can,2004,5.43
can,2005,5.16
can,2006,4.76
can,2007,4.57
can,2008,4.78
can,2009,7.11
can,2010,6.4
can,2011,5.75
can,2012,5.73
can,2013,5.54
can,2014,5.59
can,2015,5.6
can,2016,5.93
can,2017,5.27
can,2018,4.79
can,2019,4.65
can,2020,7.43
can,2021,6.06
che,1991,1.28
che,1992,1.89
che,1993,1.62
che,1994,2.28
che,1995,1.92
che,1998,2.13
che,1999,1.27
che,2000,1.1
che,2001,0.78
che,2002,2.04
che,2003,2.88
che,2004,2.36
che,2005,2.29
che,2006,2.05
che,2007,1.78
che,2008,1.6
che,2009,2.31
che,2010,2.79
che,2011,2.42
che,2012,2.69
che,2013,3.04
che,2014,3.29
che,2015,3.37
che,2016,3.11
che,2017,3.09
che,2018,2.89
che,2019,2.67
che,2020,2.97
chl,1998,3.61
chl,2000,3.57
chl,2003,4.04
chl,2006,5.35
chl,2007,5.91
chl,2009,5.56
chl,2010,4.67
chl,2011,4.68
chl,2012,4.26
chl,2013,4.4
chl,2014,5.04
chl,2015,5.04
chl,2016,6.37
chl,2017,6.73
chl,2018,6.76
chl,2019,6.66
chl,2020,9.59
civ,2012,23.35
civ,2013,6.18
civ,2016,9.74
civ,2017,9.3
cmr,2007,8.33
cmr,2014,9.77
cod,2005,8.1
cod,2012,9.33
cog,2005,15.05
cog,2009,25.9
col,2002,11.76
col,2003,11.08
col,2004,10.76
col,2005,9.48
col,2007,9.46
col,2008,10.09
col,2009,10.91
col,2010,10.91
col,2011,9.97
col,2012,9.79
col,2013,8.88
col,2014,8.42
col,2015,8.51
col,2016,9.56
col,2017,9.09
col,2018,9.3
col,2019,9.46
com,2004,5.3
com,2014,9.88
cpv,2015,18.72
cpv,2017,9.48
cpv,2018,5.26
cpv,2019,3.49
cri,1996,2.94
cri,1997,3.47
cri,1998,3.01
cri,1999,2.44
cri,2000,1.85
cri,2001,3.37
cri,2002,2.29
cri,2003,4.48
cri,2004,2.9
cri,2005,3.98
cri,2006,1.65
cri,2007,0.82
cri,2008,1.05
cri,2010,2.72
cri,2011,5.05
cri,2012,4.51
cri,2013,4.2
cri,2014,4.88
cri,2015,5.82
cri,2016,3.26
cri,2017,3.55
cri,2018,4.59
cri,2019,5.5
cri,2020,7.74
cub,2006,0.8
cub,2007,0.63
cub,2008,0.36
cub,2009,0.37
