geo,time,ne_con_prvt_pc_kd
abw,2015,15712.9347
ago,2002,1391.82605
ago,2003,1456.19177
ago,2004,1462.47587
ago,2005,1482.64935
ago,2006,1521.6026
ago,2007,1554.32026
ago,2008,1620.06561
ago,2009,1722.2382
ago,2010,1725.13866
ago,2011,1834.05977
ago,2012,1943.40701
ago,2013,2030.63702
ago,2014,2209.35676
ago,2015,2197.83186
ago,2016,2250.06034
ago,2017,2239.65739
ago,2018,2093.49585
ago,2019,1994.27899
ago,2020,1854.6417
alb,1996,1714.81342
alb,1997,1415.47972
alb,1998,1348.17955
alb,1999,1397.47199
alb,2000,1493.55666
alb,2001,1567.92457
alb,2002,1685.36813
alb,2003,1867.28532
alb,2004,1944.33654
alb,2005,2079.2435
alb,2006,2236.94673
alb,2007,2540.87852
alb,2008,2819.73602
alb,2009,2859.10241
alb,2010,2921.33316
alb,2011,2981.08727
alb,2012,2989.86598
alb,2013,3050.36824
alb,2014,3142.77344
alb,2015,3189.70565
alb,2016,3263.02337
alb,2017,3345.37153
alb,2018,3465.61726
are,2001,43190.45175
are,2002,43548.87251
are,2003,41627.86256
are,2004,42316.7182
are,2005,38525.32168
are,2006,38434.81557
are,2007,37084.72938
are,2008,36112.69946
are,2009,23278.30284
are,2010,15682.17253
are,2011,16620.66773
are,2012,14507.90567
are,2013,15170.14771
are,2014,17009.04455
are,2015,13691.69901
are,2016,13769.48678
are,2017,14860.38543
are,2018,15531.3384
are,2019,17358.7917
arg,1993,6149.76156
arg,1994,6440.93739
arg,1995,6083.72896
arg,1996,6344.25645
arg,1997,6834.0504
arg,1998,6991.92549
arg,1999,6776.34698
arg,2000,6657.9638
arg,2001,6207.54682
arg,2002,5259.20714
arg,2003,5628.17135
arg,2004,6098.12632
arg,2005,6481.42097
arg,2006,7118.88334
arg,2007,7706.34155
arg,2008,8183.01235
arg,2009,7664.32946
arg,2010,8457.967
arg,2011,9144.32049
arg,2012,9141.32692
arg,2013,9368.54777
arg,2014,8862.27025
arg,2015,9087.79573
arg,2016,8922.0636
arg,2017,9197.19896
arg,2018,8901.54675
arg,2019,8232.91123
arg,2020,7087.13178
arm,1994,879.4866
arm,1995,984.25068
arm,1996,1040.41217
arm,1997,1136.3625
arm,1998,1200.23093
arm,1999,1216.89012
arm,2000,1325.09002
arm,2001,1429.27269
arm,2002,1556.13619
arm,2003,1677.99388
arm,2004,1837.83047
arm,2005,2017.95972
arm,2006,2202.24875
arm,2007,2515.30015
arm,2008,2672.97335
arm,2009,2570.84206
arm,2010,2678.53253
arm,2011,2743.55826
arm,2012,2984.72067
arm,2013,3020.37454
arm,2014,3052.42163
arm,2015,2810.65001
arm,2016,2742.84302
arm,2017,3117.5203
arm,2018,3259.29524
arm,2019,3632.23461
arm,2020,3114.76079
asm,2002,8398.48342
asm,2003,8542.05575
asm,2004,8885.22346
asm,2005,8786.12269
asm,2006,8699.78866
asm,2007,8655.51607
asm,2008,8542.97045
asm,2009,8399.99769
asm,2010,8130.3497
asm,2011,7764.00495
asm,2012,7577.53976
asm,2013,7931.53611
asm,2014,8119.04128
asm,2015,8242.84127
asm,2016,8342.84494
asm,2017,8306.9697
asm,2018,8420.88256
asm,2019,8679.62352
atg,2015,9513.7062
aus,1960,10857.66602
aus,1961,10879.53375
aus,1962,10883.44158
aus,1963,11259.08213
aus,1964,11817.66396
aus,1965,12168.00822
aus,1966,12242.66272
aus,1967,12707.57985
aus,1968,13104.96374
aus,1969,13516.69829
aus,1970,14062.60688
aus,1971,14122.75375
aus,1972,14365.55295
aus,1973,14808.16682
aus,1974,15344.54169
aus,1975,15895.99006
aus,1976,15856.29985
aus,1977,16513.91741
aus,1978,16645.99563
aus,1979,16711.36789
aus,1980,16803.71568
aus,1981,17074.88836
aus,1982,17729.72267
aus,1983,17931.38197
aus,1984,17915.40834
aus,1985,17829.35674
aus,1986,18446.13111
aus,1987,18534.80631
aus,1988,18813.20141
aus,1989,19354.59355
aus,1990,19891.78163
aus,1991,19829.7758
aus,1992,20047.8801
aus,1993,20223.68503
aus,1994,20440.70756
aus,1995,21088.87069
aus,1996,21522.17673
aus,1997,21915.21962
aus,1998,22761.36579
aus,1999,23792.53906
aus,2000,24511.58486
aus,2001,24952.43085
aus,2002,25413.2891
aus,2003,26113.619
aus,2004,27113.31879
aus,2005,27973.95395
aus,2006,28459.15868
aus,2007,29820.85524
aus,2008,30666.133
aus,2009,30211.85322
aus,2010,30713.24076
aus,2011,31496.54374
aus,2012,31871.63728
aus,2013,31882.015
aus,2014,32175.96431
aus,2015,32460.43792
aus,2016,32832.56741
aus,2017,33015.05867
aus,2018,33434.2008
aus,2019,33509.08708
aus,2020,32107.55575
aut,1970,9882.46195
aut,1971,10499.42546
aut,1972,11073.26322
aut,1973,11603.63278
aut,1974,11930.50298
aut,1975,12350.64538
aut,1976,12934.7415
aut,1977,13761.14593
aut,1978,13537.40082
aut,1979,14204.17757
aut,1980,14562.09524
aut,1981,14710.2577
aut,1982,14982.40138
aut,1983,15822.13072
aut,1984,15486.47352
aut,1985,15759.51392
aut,1986,16094.88294
aut,1987,16473.59805
aut,1988,16846.39696
aut,1989,17372.43097
aut,1990,17970.66511
aut,1991,18325.0077
aut,1992,18755.0396
aut,1993,18620.71901
aut,1994,18928.15456
aut,1995,19060.29807
aut,1996,19593.99518
aut,1997,19654.02229
aut,1998,20202.84547
aut,1999,20651.03811
aut,2000,21243.46859
aut,2001,21433.37851
aut,2002,21473.64236
aut,2003,21741.72637
aut,2004,22108.73564
aut,2005,22452.35086
aut,2006,22809.00422
aut,2007,22986.12318
aut,2008,23131.12181
aut,2009,23266.85896
aut,2010,23441.80208
aut,2011,23677.16712
aut,2012,23692.47422
aut,2013,23534.63324
aut,2014,23422.33038
aut,2015,23274.24647
aut,2016,23379.71653
aut,2017,23663.29611
aut,2018,23804.63263
aut,2019,23900.15353
aut,2020,21601.20388
aze,2015,3118.13385
bdi,1997,208.22891
bdi,1998,223.9068
bdi,1999,215.41694
bdi,2000,209.18365
bdi,2001,206.06855
bdi,2002,217.08757
bdi,2003,203.78284
bdi,2004,205.32126
bdi,2005,224.01987
bdi,2006,239.47929
bdi,2007,228.33875
bdi,2008,228.58262
bdi,2009,221.88419
bdi,2010,214.22944
bdi,2011,223.76796
bdi,2012,225.37804
bdi,2013,241.4294
bdi,2014,242.79604
bdi,2015,230.42864
bdi,2016,219.42855
bdi,2017,212.89343
bdi,2018,213.47592
bdi,2019,213.10681
bdi,2020,207.55545
bel,1970,9470.29033
bel,1971,9918.06698
bel,1972,10464.09588
bel,1973,11281.36137
bel,1974,11561.30652
bel,1975,11626.59282
bel,1976,12195.88771
bel,1977,12501.34743
bel,1978,12801.47259
bel,1979,13446.2811
bel,1980,13322.29959
bel,1981,13378.33104
bel,1982,13708.28806
bel,1983,13688.78606
bel,1984,13739.50735
bel,1985,14107.43138
bel,1986,14485.83381
bel,1987,14724.65198
bel,1988,15164.93037
bel,1989,15609.74012
bel,1990,16057.3156
bel,1991,16480.9382
bel,1992,16727.41771
bel,1993,16587.49791
bel,1994,16932.49221
bel,1995,17163.37184
bel,1996,17466.193
bel,1997,17691.1012
bel,1998,18207.51861
bel,1999,18549.61279
bel,2000,19025.93307
bel,2001,19139.45235
bel,2002,19170.38148
bel,2003,19227.33303
bel,2004,19348.02808
bel,2005,19519.80189
bel,2006,19735.65274
bel,2007,20001.16352
bel,2008,20116.62703
bel,2009,20072.06208
bel,2010,20487.99824
bel,2011,20398.19216
bel,2012,20569.5652
bel,2013,20814.58262
bel,2014,20836.77432
bel,2015,21044.76158
bel,2016,21267.22492
bel,2017,21584.99645
bel,2018,21889.14003
bel,2019,22088.26802
bel,2020,20039.81306
ben,1960,587.12822
ben,1961,588.57874
ben,1962,573.09552
ben,1963,611.33263
ben,1964,654.78181
ben,1965,689.64958
ben,1966,745.80762
ben,1967,748.98883
ben,1968,759.25054
ben,1969,745.2781
ben,1970,740.75795
ben,1971,731.62867
ben,1972,743.5268
ben,1973,754.70139
ben,1974,741.40176
ben,1975,709.38496
ben,1976,691.26605
ben,1977,755.72525
ben,1978,756.33888
ben,1979,775.02288
ben,1980,795.36154
ben,1981,844.49093
ben,1982,725.53814
ben,1983,693.54895
ben,1984,728.8613
ben,1985,787.60272
ben,1986,752.7885
ben,1987,715.68651
ben,1988,774.05978
ben,1989,695.68743
ben,1990,636.98158
ben,1991,674.24676
ben,1992,689.13923
ben,1993,700.63516
ben,1994,641.06583
ben,1995,646.52074
ben,1996,662.40417
ben,1997,674.90222
ben,1998,690.93531
ben,1999,706.51153
ben,2000,737.39443
ben,2001,746.81552
ben,2002,755.72223
ben,2003,752.95546
ben,2004,760.19859
ben,2005,753.43214
ben,2006,763.85174
ben,2007,770.28055
ben,2008,781.31842
ben,2009,781.19215
ben,2010,775.13576
ben,2011,781.93506
ben,2012,774.91623
ben,2013,784.09604
ben,2014,790.6825
ben,2015,809.45139
ben,2016,802.63533
ben,2017,808.1946
