geo,time,se_sec_tchr_fe
abw,1999,195
abw,2000,200
abw,2001,216
abw,2002,219
abw,2003,230
abw,2004,243
abw,2005,260
abw,2006,282
abw,2007,307
abw,2008,316
abw,2009,317
abw,2010,315
abw,2011,314
abw,2012,329
afg,1970,618
afg,1971,787
afg,1972,921
afg,1973,1064
afg,1974,963
afg,1990,3269
afg,1993,6522
afg,1994,6042
afg,2007,9053
afg,2015,27387
afg,2016,28931
afg,2017,30221
afg,2018,32829
ago,1998,5192
ago,1999,5348
ago,2000,5668
ago,2001,6549
ago,2015,21136
ago,2016,22103
alb,1997,12302
alb,2000,12003
alb,2001,12055
alb,2003,12580
alb,2008,14820
alb,2009,14788
alb,2010,14951
alb,2011,14728
alb,2012,14905
alb,2013,15166
alb,2014,15076
alb,2015,15273
alb,2016,15685
alb,2017,15930
alb,2018,15999
alb,2019,16079
alb,2020,15998
and,2002,222
and,2003,248
and,2004,267
and,2005,286
and,2013,335
and,2014,317
and,2015,344
and,2016,354
and,2017,338
and,2018,380
and,2019,382
and,2020,368
are,1979,894
are,1980,1095
are,1983,1651
are,1984,1759
are,1985,1898
are,1986,2077
are,1987,2409
are,1988,2565
are,1989,3696
are,1990,4096
are,1991,4695
are,1992,5255
are,1993,5876
are,1994,6464
are,1995,6978
are,2016,31413
are,2019,39571
are,2020,51082
arg,1970,83047
arg,1971,84751
arg,1972,87236
arg,1973,91927
arg,1974,96962
arg,1975,101216
arg,1976,105505
arg,1977,110461
arg,1978,110395
arg,1979,113668
arg,1983,126474
arg,1984,140120
arg,1985,151168
arg,1986,158468
arg,1987,176226
arg,1988,186101
arg,1994,156668
arg,1998,177930
arg,2000,214873
arg,2001,147513
arg,2002,151319
arg,2003,161857
arg,2004,172394
arg,2005,173536
arg,2006,188586
arg,2007,196172
arg,2008,221331
arm,1991,36683
arm,1994,14442
arm,1996,26772
arm,2018,23412
arm,2019,22090
arm,2020,21107
asm,1972,18
asm,1973,18
asm,1974,18
asm,1975,18
asm,1977,18
asm,1978,19
asm,1979,19
asm,1980,19
asm,1984,40
asm,1985,50
asm,1986,73
asm,1987,83
asm,1988,92
asm,1989,87
asm,1990,87
asm,1991,90
asm,1992,103
atg,1972,122
atg,1974,199
atg,1975,138
atg,1976,197
atg,1977,225
atg,1978,300
atg,2000,278
atg,2009,465
atg,2010,498
atg,2011,501
atg,2012,493
atg,2014,490
atg,2015,511
atg,2017,602
atg,2018,618
aus,1971,27326
aus,1973,30574
aus,1974,32083
aus,1975,34463
aus,1976,35895
aus,1977,37311
aus,1978,37765
aus,1979,38370
aus,1980,38604
aus,1981,38988
aus,1984,49700
aus,1985,50960
aus,1986,47826
aus,1987,49192
aus,1988,49854
aus,1989,49446
aus,1990,51743
aus,1991,51803
aus,1992,52710
aut,1971,16860
aut,1973,18892
aut,1974,20511
aut,1978,27591
aut,1979,29156
aut,1980,31091
aut,1981,33594
aut,1982,35065
aut,1983,36256
aut,1984,37577
aut,1985,37839
aut,1986,38883
aut,1987,39818
aut,1988,40124
aut,1989,40366
aut,1990,40796
aut,1991,41451
aut,1992,42711
aut,1993,45182
aut,1994,46594
aut,1995,47368
aut,1996,44436
aut,1997,44382
aut,1998,40704
aut,1999,41727
aut,2002,43239
aut,2003,43477
aut,2004,43773
aut,2005,43533
aut,2006,44150
aut,2007,44416
aut,2008,45037
aut,2009,46191
aut,2010,46815
aut,2011,47300
aut,2012,47346
aut,2013,46645
aut,2014,46911.80078
aut,2015,47000.23828
aut,2016,47686.13672
aut,2017,48296.32031
aut,2019,48643.14844
aze,2016,94991
aze,2017,93078
aze,2018,92359
aze,2019,92286
aze,2020,92204
bdi,1972,152
bdi,1973,129
bdi,1974,103
bdi,1976,156
bdi,1977,182
bdi,1978,190
bdi,1982,211
bdi,1983,259
bdi,1984,327
bdi,1985,343
bdi,1986,382
bdi,1987,385
bdi,1989,380
bdi,1990,441
bdi,1991,429
bdi,1992,459
bdi,1993,519
bdi,2003,1425
bdi,2004,1503
bdi,2005,1581
bdi,2006,1559
bdi,2007,1831
bdi,2009,2019
bdi,2010,2231
bdi,2011,2640
bdi,2012,2945
bdi,2013,3161
bdi,2014,3590
bdi,2015,3875
bdi,2016,4805
bdi,2017,6148
bdi,2018,6490
bdi,2019,6602
bel,1972,30814
bel,1973,30344
bel,1974,30755
bel,1977,33860
bel,1987,53393
bel,1988,60539
bel,1989,54780
bel,1990,55755
bel,1991,55873
bel,1992,58751
bel,1993,68088
bel,1994,67487
bel,2013,79718
bel,2014,80449
bel,2015,81337
bel,2016,82407
bel,2017,83254
bel,2018,83756
bel,2019,83636
ben,1971,119
ben,1977,284
ben,1999,1096
ben,2000,1203
ben,2001,1354
ben,2003,1610
ben,2004,1772
ben,2013,9418
ben,2014,9986
ben,2015,11317
ben,2016,8993
ben,2020,5818
bfa,1976,239
bfa,1983,446
bfa,2003,839
bfa,2006,1828
bfa,2007,2089
bfa,2008,2354
bfa,2009,2921
bfa,2010,2983
bfa,2011,3712
bfa,2012,4242
bfa,2013,4636
