geo,time,sp_dyn_cdrt_in
abw,1960,6.388
abw,1961,6.241
abw,1962,6.118
abw,1963,6.012
abw,1964,5.92
abw,1965,5.839
abw,1966,5.77
abw,1967,5.716
abw,1968,5.682
abw,1969,5.666
abw,1970,5.671
abw,1971,5.698
abw,1972,5.746
abw,1973,5.812
abw,1974,5.893
abw,1975,5.981
abw,1976,6.07
abw,1977,6.157
abw,1978,6.236
abw,1979,6.308
abw,1980,6.376
abw,1981,6.444
abw,1982,6.519
abw,1983,6.602
abw,1984,6.693
abw,1985,6.785
abw,1986,6.873
abw,1987,6.948
abw,1988,7.005
abw,1989,7.043
abw,1990,7.059
abw,1991,7.054
abw,1992,7.034
abw,1993,7.005
abw,1994,6.973
abw,1995,6.943
abw,1996,6.922
abw,1997,6.911
abw,1998,6.915
abw,1999,6.934
abw,2000,6.971
abw,2001,7.022
abw,2002,7.084
abw,2003,7.154
abw,2004,7.233
abw,2005,7.32
abw,2006,7.418
abw,2007,7.527
abw,2008,7.648
abw,2009,7.78
abw,2010,7.918
abw,2011,8.061
abw,2012,8.205
abw,2013,8.347
abw,2014,8.488
abw,2015,8.627
abw,2016,8.765
abw,2017,8.907
abw,2018,9.053
abw,2019,9.205
abw,2020,9.362
afg,1960,32.219
afg,1961,31.649
afg,1962,31.093
afg,1963,30.551
afg,1964,30.022
afg,1965,29.501
afg,1966,28.985
afg,1967,28.468
afg,1968,27.946
afg,1969,27.418
afg,1970,26.88
afg,1971,26.334
afg,1972,25.781
afg,1973,25.222
afg,1974,24.658
afg,1975,24.087
afg,1976,23.508
afg,1977,22.92
afg,1978,22.324
afg,1979,21.72
afg,1980,21.109
afg,1981,20.49
afg,1982,19.865
afg,1983,19.24
afg,1984,18.618
afg,1985,18.005
afg,1986,17.406
afg,1987,16.826
afg,1988,16.268
afg,1989,15.738
afg,1990,15.241
afg,1991,14.783
afg,1992,14.362
afg,1993,13.974
afg,1994,13.616
afg,1995,13.282
afg,1996,12.964
afg,1997,12.655
afg,1998,12.348
afg,1999,12.037
afg,2000,11.718
afg,2001,11.387
afg,2002,11.048
afg,2003,10.704
afg,2004,10.356
afg,2005,10.003
afg,2006,9.645
afg,2007,9.287
afg,2008,8.932
afg,2009,8.584
afg,2010,8.25
afg,2011,7.936
afg,2012,7.645
afg,2013,7.38
afg,2014,7.141
afg,2015,6.929
afg,2016,6.742
afg,2017,6.575
afg,2018,6.423
afg,2019,6.285
afg,2020,6.157
ago,1960,27.097
ago,1961,26.859
ago,1962,26.627
ago,1963,26.407
ago,1964,26.194
ago,1965,25.966
ago,1966,25.69
ago,1967,25.342
ago,1968,24.916
ago,1969,24.418
ago,1970,23.872
ago,1971,23.312
ago,1972,22.777
ago,1973,22.296
ago,1974,21.885
ago,1975,21.548
ago,1976,21.276
ago,1977,21.047
ago,1978,20.839
ago,1979,20.647
ago,1980,20.467
ago,1981,20.298
ago,1982,20.145
ago,1983,20.009
ago,1984,19.889
ago,1985,19.789
ago,1986,19.71
ago,1987,19.651
ago,1988,19.61
ago,1989,19.579
ago,1990,19.555
ago,1991,19.533
ago,1992,19.506
ago,1993,19.464
