global,time,ic_reg_proc
world,2003,10.25373
world,2004,9.90278
world,2005,9.88957
world,2006,9.79042
world,2007,9.45294
world,2008,8.94737
world,2009,8.53488
world,2010,8.38953
world,2011,8.02299
world,2012,7.98876
world,2013,7.84656
world,2014,7.69841
world,2015,7.51053
world,2016,7.29474
world,2017,7.09474
world,2018,6.8534
world,2019,6.63351
