geo,time,se_sec_cmpt_lo_fe_zs
abw,1999,96.33174
abw,2000,96.42302
abw,2001,100.60332
abw,2002,100.14599
abw,2003,94.10112
abw,2004,92.45283
abw,2005,87.51625
abw,2007,89.78562
abw,2009,99.60682
abw,2013,106.64858
abw,2014,103.00546
afg,1973,2.16259
afg,1974,1.91829
afg,1977,2.3397
afg,1978,3.28416
afg,1980,5.81324
afg,1981,7.04506
afg,1982,7.23387
afg,1984,8.91028
afg,1985,9.30024
afg,1993,9.68378
afg,2005,8.93223
afg,2016,36.81977
afg,2017,38.55313
afg,2018,40.10344
afg,2019,43.12728
ago,2008,17.14889
ago,2009,13.81832
ago,2011,16.78324
alb,1996,93.8669
alb,2000,81.74034
alb,2001,85.8446
alb,2003,86.27463
alb,2007,92.04167
alb,2008,92.45445
alb,2009,92.31309
alb,2010,97.17634
alb,2011,96.18323
alb,2012,94.93365
alb,2013,93.8276
alb,2014,93.26164
alb,2015,100.18378
alb,2017,87.79329
alb,2018,100.07379
alb,2019,94.35601
alb,2020,95.55922
are,1974,13.37133
are,1975,15.55051
are,1976,20.01323
are,1977,25.72075
are,1978,30.72568
are,1980,32.31278
are,1982,58.05851
are,1983,64.55982
are,1984,65.65864
are,1985,65.83991
are,1986,63.51871
are,1987,60.24281
are,1988,58.86785
are,1989,65.0523
are,1990,68.79804
are,1991,70.24462
are,1992,74.37743
are,1993,74.812
are,1994,83.28807
are,1995,85.97344
are,1997,83.48455
are,2000,85.73959
are,2001,83.4247
are,2002,80.69098
are,2003,78.58726
are,2004,81.52005
are,2005,78.92841
are,2006,79.78501
are,2007,77.48823
are,2009,79.44842
are,2010,80.13605
are,2011,83.77966
are,2012,75.56457
are,2013,79.0669
are,2014,82.93615
are,2019,100.83574
are,2020,94.60145
arg,1970,21.49083
arg,1971,19.99918
arg,1999,82.78451
arg,2000,87.40907
arg,2001,87.74586
arg,2002,87.33372
arg,2003,83.21642
arg,2004,82.05272
arg,2005,83.43516
arg,2006,79.6919
arg,2007,77.91037
arg,2008,79.44771
arg,2009,80.53164
arg,2010,83.81447
arg,2011,87.40838
arg,2012,88.35896
arg,2013,90.34052
arg,2014,90.61367
arg,2015,91.80214
arg,2016,93.22198
arg,2017,93.57975
arg,2018,94.31905
arg,2019,96.71296
arm,2002,88.19688
arm,2003,86.02539
arm,2004,87.90206
arm,2005,96.29368
arm,2006,100.2921
arm,2007,94.1961
arm,2008,88.46259
arm,2009,103.28174
arm,2010,94.9894
arm,2016,89.87245
arm,2017,90.72013
arm,2018,94.33508
arm,2019,92.86509
arm,2020,91.85225
atg,1992,110.2521
atg,2008,96.22642
atg,2009,78.13765
atg,2010,107.90885
atg,2011,112.23684
atg,2012,106.74449
atg,2013,95.45455
atg,2014,91.25828
atg,2015,99.18478
atg,2016,115.65097
atg,2017,104.23729
atg,2018,102.01149
aut,2002,103.19924
aut,2003,103.66433
aut,2006,101.72346
aut,2007,101.38269
aut,2008,100.7612
aut,2009,100.16356
aut,2010,102.14311
aut,2011,102.25299
aut,2012,99.419
aut,2013,98.16005
aut,2014,97.03168
aut,2015,96.09902
aut,2016,97.86574
aut,2017,97.0487
aut,2018,98.46094
aut,2019,98.46275
aze,1994,90.33206
aze,1996,90.47272
