global,time,iq_cpa_pubs_xq
world,2005,3.10132
world,2006,3.07179
world,2007,3.08133
world,2008,3.084
world,2009,3.1039
world,2010,3.10909
world,2011,3.11282
world,2012,3.08625
world,2013,3.07531
world,2014,3.06184
world,2015,3.05658
world,2016,3.04247
world,2017,3.01216
world,2018,3.02603
world,2019,3.00667
world,2020,2.9863
