geo,time,sh_alc_pcap_fe_li
afg,2010,0.054
afg,2015,0.054
afg,2018,0.055
ago,2000,1.2
ago,2005,2.15
ago,2010,3.69
ago,2015,3.58
ago,2018,3.1
alb,2000,2.5
alb,2005,2.96
alb,2010,2.98
alb,2015,2.53
alb,2018,2.68
and,2000,6.57
and,2005,6.2
and,2010,5.3
and,2015,5.19
and,2018,5.19
are,2000,0.51
are,2005,0.74
are,2010,0.64
are,2015,0.8
are,2018,0.84
arg,2000,4.17
arg,2005,4.16
arg,2010,4.43
arg,2015,4.66
arg,2018,4.71
arm,2000,1.92
arm,2005,2.65
arm,2010,2.63
arm,2015,2.69
arm,2018,2.55
atg,2000,2.31
atg,2005,2.45
atg,2010,2.53
atg,2015,2.67
atg,2018,2.9
aus,2000,5.73
aus,2005,5.96
aus,2010,6.13
aus,2015,5.33
aus,2018,5.18
aut,2000,6.37
aut,2005,6.21
aut,2010,5.89
aut,2015,5.82
aut,2018,5.77
aze,2000,1.14
aze,2005,0.59
aze,2010,0.99
aze,2015,1.52
aze,2018,1.46
bdi,2000,3.86
bdi,2005,3.3
bdi,2010,2.98
bdi,2015,2.74
bdi,2018,2.79
bel,2000,5.96
bel,2005,6.34
bel,2010,5.4
bel,2015,5.62
bel,2018,5.27
ben,2000,1.02
ben,2005,0.92
ben,2010,1.01
ben,2015,1.21
ben,2018,1.14
bfa,2000,3.04
bfa,2005,3.3
bfa,2010,3.02
bfa,2015,4.14
bfa,2018,4.2
bgd,2000,0.061
bgd,2005,0.043
bgd,2010,0.044
bgd,2015,0.006
bgd,2018,0.005
bgr,2000,5.15
bgr,2005,5.07
bgr,2010,5.06
bgr,2015,5.52
bgr,2018,5.68
bhr,2000,0.54
bhr,2005,0.53
bhr,2010,0.49
bhr,2015,0.38
bhr,2018,0.32
bhs,2000,2.59
bhs,2005,1.96
bhs,2010,1.85
bhs,2015,2.03
bhs,2018,2.12
bih,2000,2.42
bih,2005,2.75
bih,2010,2.81
bih,2015,2.62
bih,2018,2.7
blr,2000,7.26
blr,2005,7.4
blr,2010,8.83
blr,2015,5.72
blr,2018,5.38
blz,2000,2.29
blz,2005,2.98
blz,2010,2.95
blz,2015,2.8
blz,2018,2.59
bol,2000,1.63
bol,2005,2.06
bol,2010,2.61
bol,2015,2.19
bol,2018,2.09
bra,2000,3.88
bra,2005,3.66
bra,2010,3.76
bra,2015,3.46
bra,2018,3.26
brb,2000,3
brb,2005,3.13
brb,2010,3.35
brb,2015,3.93
brb,2018,4.09
brn,2000,0.11
brn,2005,0.1
brn,2010,0.24
brn,2015,0.22
brn,2018,0.22
btn,2000,0.99
btn,2005,0.57
btn,2010,0.33
btn,2015,0.15
btn,2018,0.16
bwa,2000,3.39
bwa,2005,3.65
bwa,2010,3.25
bwa,2015,2.6
bwa,2018,2.51
caf,2000,1.5
caf,2005,1.48
caf,2010,1.63
caf,2015,0.99
caf,2018,0.98
can,2010,4.61
can,2015,4.04
can,2018,4.07
che,2000,6.14
che,2005,5.69
che,2010,5.56
che,2015,5.64
che,2018,5.6
chl,2000,3.7
chl,2005,4.3
chl,2010,4.49
chl,2015,4.49
chl,2018,4.4
chn,2000,1.52
chn,2005,1.63
chn,2010,2.95
chn,2015,3.04
chn,2018,3.02
civ,2000,2.69
civ,2005,1.24
civ,2010,0.96
civ,2015,1.01
civ,2018,1.05
cmr,2000,2.78
cmr,2005,3.18
cmr,2010,3.53
cmr,2015,2.59
cmr,2018,2.36
cod,2000,0.4
cod,2005,0.36
cod,2010,0.73
cod,2015,0.85
cod,2018,0.83
cog,2000,1.48
cog,2005,1.6
cog,2010,2.63
cog,2015,3.38
cog,2018,3.96
col,2000,2.3
col,2005,2.23
col,2010,2.08
col,2015,2.39
col,2018,2.37
com,2000,0.05
com,2005,0.11
com,2010,0.066
com,2015,0.23
com,2018,0.18
cpv,2000,2.73
cpv,2005,3.12
cpv,2010,3.3
cpv,2015,2.59
cpv,2018,2.44
cri,2000,2.25
cri,2005,2.21
cri,2010,1.97
cri,2015,1.96
cri,2018,2
cub,2000,2
cub,2005,2.19
cub,2010,2.1
cub,2015,2.37
cub,2018,2.44
cyp,2000,5
cyp,2005,5.76
cyp,2010,5.22
cyp,2015,4.75
cyp,2018,4.76
cze,2000,7.36
cze,2005,7.25
cze,2010,6.86
cze,2015,6.91
cze,2018,6.99
deu,2000,6.84
deu,2005,6.36
deu,2010,6.03
deu,2015,6.3
deu,2018,6.21
dji,2000,0.45
dji,2005,0.35
dji,2010,0.18
dji,2015,0.13
dji,2018,0.12
dma,2000,3.4
dma,2005,3.55
dma,2010,3.95
dma,2015,4.63
dma,2018,4.57
dnk,2000,6.13
dnk,2005,5.92
dnk,2010,5.22
dnk,2015,4.91
dnk,2018,4.86
dom,2000,2.94
dom,2005,2.52
dom,2010,2.54
dom,2015,2.77
dom,2018,2.81
dza,2000,0.16
dza,2005,0.22
dza,2010,0.18
dza,2015,0.25
dza,2018,0.25
ecu,2000,2.84
ecu,2005,2.77
ecu,2010,2.94
ecu,2015,2.38
ecu,2018,2
egy,2000,0.069
egy,2005,0.079
egy,2010,0.1
egy,2015,0.11
egy,2018,0.097
eri,2000,0.55
eri,2005,0.74
eri,2010,0.49
eri,2015,0.5
eri,2018,0.5
esp,2000,5.9
esp,2005,6.08
esp,2010,4.6
esp,2015,5.13
esp,2018,5.77
est,2000,4.35
est,2005,7.55
est,2010,5.89
est,2015,5.87
est,2018,4.35
eth,2000,0.62
eth,2005,0.72
eth,2010,0.88
eth,2015,0.77
eth,2018,0.83
fin,2000,5.49
fin,2005,6.28
fin,2010,6.01
fin,2015,5.25
fin,2018,5.05
fji,2000,1.12
fji,2005,0.95
fji,2010,1.01
fji,2015,1.12
fji,2018,1.11
fra,2000,6.8
fra,2005,6.26
fra,2010,5.86
fra,2015,5.97
fra,2018,5.83
fsm,2000,1.34
fsm,2005,0.97
fsm,2010,0.97
fsm,2015,0.83
fsm,2018,0.84
gab,2000,4.95
gab,2005,4.3
gab,2010,4.48
gab,2015,4.37
gab,2018,3.97
gbr,2000,6.61
gbr,2005,6.75
gbr,2010,5.74
gbr,2015,5.28
gbr,2018,5.39
geo,2000,1.9
geo,2005,2.8
geo,2010,4.28
geo,2015,4.2
geo,2018,3.59
gha,2000,2.19
gha,2005,1.58
gha,2010,1.8
gha,2015,1.33
gha,2018,1.17
gin,2000,0.21
gin,2005,0.24
gin,2010,0.21
gin,2015,0.32
gin,2018,0.34
gmb,2000,1.37
gmb,2005,1.41
gmb,2010,1.25
gmb,2015,1.2
gmb,2018,1.16
gnb,2000,1.59
gnb,2005,2.02
gnb,2010,1.69
gnb,2015,1.89
gnb,2018,2.01
gnq,2000,3.32
gnq,2005,4.22
gnq,2010,4.33
gnq,2015,4.16
gnq,2018,3.27
grc,2000,4.59
grc,2005,4.94
grc,2010,4.38
grc,2015,4.61
grc,2018,4.46
grd,2000,4.13
grd,2005,3.71
grd,2010,3.47
grd,2015,3.76
grd,2018,3.92
gtm,2000,1.87
gtm,2005,1.82
gtm,2010,1.49
gtm,2015,1.08
gtm,2018,1.04
guy,2000,3.6
guy,2005,3.16
guy,2010,2.67
guy,2015,2.92
guy,2018,2.73
hnd,2000,1.42
hnd,2005,1.57
hnd,2010,1.45
hnd,2015,1.4
hnd,2018,1.5
hrv,2000,5.86
hrv,2005,4.82
hrv,2010,4.69
hrv,2015,4.15
hrv,2018,4.22
hti,2000,1.59
hti,2005,1.54
hti,2010,1.19
hti,2015,1.06
hti,2018,1.07
hun,2000,6.99
hun,2005,7.19
hun,2010,5.8
hun,2015,5.51
hun,2018,5.38
idn,2000,0.15
idn,2005,0.14
idn,2010,0.17
idn,2015,0.18
idn,2018,0.17
ind,2000,0.77
ind,2005,0.79
ind,2010,1.47
ind,2015,1.88
ind,2018,1.88
irl,2000,7.71
irl,2005,7.19
irl,2010,5.95
irl,2015,6.13
irl,2018,6.38
irn,2000,0.054
irn,2005,0.15
irn,2010,0.26
irn,2015,0.26
irn,2018,0.26
irq,2000,0.13
irq,2005,0.12
irq,2010,0.14
irq,2015,0.1
irq,2018,0.11
isl,2000,3.29
isl,2005,3.67
isl,2010,3.53
isl,2015,4.15
isl,2018,4.34
isr,2000,1.39
isr,2005,1.22
isr,2010,1.42
isr,2015,1.76
isr,2018,1.93
ita,2000,4.87
ita,2005,4.35
ita,2010,3.33
ita,2015,3.41
ita,2018,3.52
jam,2000,2.01
jam,2005,1.83
jam,2010,1.79
jam,2015,1.7
jam,2018,1.7
jor,2000,0.17
jor,2005,0.18
jor,2010,0.17
jor,2015,0.19
jor,2018,0.19
jpn,2000,4.04
jpn,2005,3.92
jpn,2010,3.5
jpn,2015,3.84
jpn,2018,3.89
kaz,2000,3.26
kaz,2005,3.83
kaz,2010,2.04
kaz,2015,1.9
kaz,2018,1.93
ken,2000,1.5
ken,2005,1.18
ken,2010,1.27
ken,2015,1.07
ken,2018,1.07
kgz,2000,3.29
kgz,2005,3.84
kgz,2010,3.31
kgz,2015,2.39
kgz,2018,1.95
khm,2000,0.79
khm,2005,1.14
khm,2010,2.04
khm,2015,2.63
khm,2018,2.72
kir,2000,0.68
kir,2005,0.75
kir,2010,0.58
kir,2015,0.18
kir,2018,0.16
kna,2000,4.21
kna,2005,5.2
kna,2010,4.21
kna,2015,3.92
kna,2018,3.95
kor,2000,6.16
kor,2005,5.24
kor,2010,4.93
kor,2015,4.97
kor,2018,4.8
kwt,2000,0.008
kwt,2005,0.004
kwt,2010,0.007
kwt,2015,0.001
kwt,2018,0.001
lao,2000,1.91
lao,2005,1.81
lao,2010,2.96
lao,2015,4.25
lao,2018,4.55
lbn,2000,0.94
lbn,2005,0.69
lbn,2010,0.6
lbn,2015,0.52
lbn,2018,0.55
lbr,2000,2.63
lbr,2005,2.48
lbr,2010,2.2
lbr,2015,2.33
lbr,2018,2.51
lby,2000,0.016
lby,2005,0.021
lby,2010,0.025
lby,2015,0.007
lby,2018,0.005
lca,2000,5.03
lca,2005,5
lca,2010,4.06
lca,2015,4.13
lca,2018,4.39
lka,2000,0.89
lka,2005,1.04
lka,2010,1.59
lka,2015,1.69
lka,2018,1.7
lso,2000,2.61
lso,2005,1.9
lso,2010,2.28
lso,2015,1.67
lso,2018,1.59
ltu,2000,6.38
ltu,2005,7.98
ltu,2010,7.56
ltu,2015,7.69
ltu,2018,6.56
lux,2000,7.24
lux,2005,6.76
lux,2010,6.44
lux,2015,6.52
lux,2018,6.36
lva,2000,3.95
lva,2005,5.68
lva,2010,5.47
lva,2015,6.02
lva,2018,6.11
mar,2000,0.28
mar,2005,0.26
mar,2010,0.24
mar,2015,0.19
mar,2018,0.18
mda,2000,7.14
mda,2005,10.34
mda,2010,7.57
mda,2015,5.53
mda,2018,5.27
mdg,2000,0.82
mdg,2005,0.6
mdg,2010,0.73
mdg,2015,0.73
mdg,2018,0.76
mdv,2000,0.56
mdv,2005,0.4
mdv,2010,0.4
mdv,2015,0.47
mdv,2018,0.5
mex,2000,2.77
mex,2005,2.78
mex,2010,2.22
mex,2015,2.1
mex,2018,2.13
mkd,2000,2.98
mkd,2005,2.84
mkd,2010,2.38
mkd,2015,2.36
mkd,2018,2.44
mli,2000,0.35
mli,2005,0.31
mli,2010,0.32
mli,2015,0.37
mli,2018,0.38
mlt,2000,2.55
mlt,2005,2.95
mlt,2010,2.93
mlt,2015,3.38
mlt,2018,3.56
mmr,2000,0.16
mmr,2005,0.67
mmr,2010,1.16
mmr,2015,1.74
mmr,2018,2.02
mne,2010,6.69
mne,2015,4.74
mne,2018,4.97
mng,2000,1.42
mng,2005,2.41
mng,2010,4.4
mng,2015,5.05
mng,2018,3.77
moz,2000,0.91
moz,2005,0.51
moz,2010,0.63
moz,2015,0.84
moz,2018,0.88
mrt,2000,0.053
mrt,2005,0.035
mrt,2010,0.023
mrt,2015,0.009
mrt,2018,0.009
mus,2000,2.25
mus,2005,2.05
mus,2010,1.58
mus,2015,1.64
mus,2018,1.81
mwi,2000,0.92
mwi,2005,1.09
mwi,2010,1.23
mwi,2015,1.38
mwi,2018,1.38
mys,2000,0.57
mys,2005,0.48
mys,2010,0.49
mys,2015,0.32
mys,2018,0.32
nam,2000,1.17
nam,2005,0.98
nam,2010,0.76
nam,2015,1.99
nam,2018,2.07
ner,2000,0.066
ner,2005,0.072
ner,2010,0.09
ner,2015,0.16
ner,2018,0.2
nga,2000,4.87
nga,2005,4.93
nga,2010,4.59
nga,2015,4.33
nga,2018,4.37
nic,2000,2.07
nic,2005,2.16
nic,2010,1.94
nic,2015,2.02
nic,2018,2.07
nld,2000,5.27
nld,2005,5.09
nld,2010,4.84
nld,2015,4.48
nld,2018,4.51
nor,2000,3.87
nor,2005,4.33
nor,2010,4.35
nor,2015,3.63
nor,2018,3.58
npl,2000,0.4
npl,2005,0.69
npl,2010,0.71
npl,2015,0.76
npl,2018,0.76
nru,2000,2.11
nru,2005,1.16
nru,2010,1.95
nru,2015,1.26
nru,2018,1.26
nzl,2000,5
nzl,2005,5.32
nzl,2010,5.52
nzl,2015,5.09
nzl,2018,5.19
omn,2000,1.87
omn,2005,0.44
omn,2010,0.21
omn,2015,0.19
omn,2018,0.19
pak,2000,0.026
pak,2005,0.048
pak,2010,0.057
pak,2015,0.088
pak,2018,0.11
pan,2000,2.23
pan,2005,2.24
pan,2010,2.86
pan,2015,3.31
pan,2018,3.44
per,2000,3.1
per,2005,3.32
per,2010,3.68
per,2015,3.18
per,2018,3.06
phl,2000,2.46
phl,2005,2.3
phl,2010,2.82
phl,2015,2.73
phl,2018,2.8
png,2000,0.61
png,2005,0.54
png,2010,0.56
png,2015,0.47
png,2018,0.47
pol,2000,4.22
pol,2005,4.97
pol,2010,5.33
pol,2015,5.54
pol,2018,5.58
prk,2000,1.4
prk,2005,1.45
prk,2010,1.47
prk,2015,1.48
prk,2018,1.47
prt,2000,6.8
prt,2005,6.41
prt,2010,5.88
prt,2015,5.48
prt,2018,5.56
pry,2000,2.68
pry,2005,2.79
pry,2010,3.19
pry,2015,3.05
pry,2018,3.18
qat,2000,0.3
qat,2005,0.42
qat,2010,0.39
qat,2015,0.4
qat,2018,0.4
rou,2000,8.39
rou,2005,7.62
rou,2010,6.75
rou,2015,5.45
rou,2018,5.45
rus,2000,6.88
rus,2005,7.97
rus,2010,6.96
rus,2015,5.12
rus,2018,4.58
rwa,2000,5.94
rwa,2005,5.48
rwa,2010,4.12
rwa,2015,3.64
rwa,2018,3.51
sau,2000,0.041
sau,2005,0.037
sau,2010,0.038
sau,2015,0.045
sau,2018,0.042
sdn,2015,0.15
sdn,2018,0.14
sen,2000,0.29
sen,2005,0.26
sen,2010,0.18
sen,2015,0.22
sen,2018,0.23
sgp,2000,1.28
sgp,2005,0.93
sgp,2010,1.13
sgp,2015,1.07
sgp,2018,1.04
slb,2000,0.41
slb,2005,0.55
slb,2010,0.55
slb,2015,0.53
slb,2018,0.63
sle,2000,1.83
sle,2005,1.67
sle,2010,1.65
sle,2015,1.59
sle,2018,1.61
slv,2000,1.62
slv,2005,1.61
slv,2010,1.42
slv,2015,1.54
slv,2018,1.67
som,2000,0
som,2005,0.018
som,2010,0.074
som,2015,0.004
som,2018,0.002
srb,2010,5.24
srb,2015,3.87
srb,2018,3.89
stp,2000,3.61
stp,2005,3.84
stp,2010,3.65
stp,2015,3.11
stp,2018,2.55
sur,2000,2.11
sur,2005,2.19
sur,2010,2.55
sur,2015,2.41
sur,2018,2.23
svk,2000,5.92
svk,2005,5.77
svk,2010,5.81
svk,2015,5.55
svk,2018,5.35
svn,2000,6.04
svn,2005,5.91
svn,2010,5.46
svn,2015,6.01
svn,2018,5.6
swe,2000,3.91
swe,2005,4.01
swe,2010,4.44
swe,2015,4.29
swe,2018,4.21
swz,2000,2.82
swz,2005,2.52
swz,2010,2.55
swz,2015,3.69
swz,2018,3.76
syc,2000,3.42
syc,2005,2.72
syc,2010,4.44
syc,2015,8.39
syc,2018,9.51
syr,2000,0.3
syr,2005,0.24
syr,2010,0.23
syr,2015,0.072
syr,2018,0.062
tcd,2000,1.54
tcd,2005,1.65
tcd,2010,2.35
tcd,2015,0.53
tcd,2018,0.5
tgo,2000,0.76
tgo,2005,1.37
tgo,2010,0.88
tgo,2015,0.98
tgo,2018,1.02
tha,2000,2.7
