geo,time,ny_gnp_pcap_kn
ago,2000,26862.68147
ago,2001,28391.96943
ago,2002,33918.25388
ago,2003,34096.07434
ago,2004,35883.42843
ago,2005,39237.10426
ago,2006,41285.51617
ago,2007,46286.35965
ago,2008,47244.27845
ago,2009,50944.66267
ago,2010,50308.25128
ago,2011,50117.5222
ago,2012,52994.84653
ago,2013,54430.62979
ago,2014,56076.53403
ago,2015,55701.13344
ago,2016,52329.43817
ago,2017,49943.1206
ago,2018,46448.96921
ago,2019,44274.28331
ago,2020,40710.61504
alb,1997,177978.98829
alb,1998,196046.73191
alb,1999,221500.27386
alb,2000,240088.52708
alb,2001,263053.67367
alb,2002,273947.63218
alb,2003,290613.11535
alb,2004,307044.07819
alb,2005,324514.57645
alb,2006,348918.8144
alb,2007,372074.52725
alb,2008,394359.61765
alb,2009,401906.57729
alb,2010,421301.52855
alb,2011,437673.23904
alb,2012,441220.72921
alb,2013,457320.56867
alb,2014,462809.60442
alb,2015,475660.7281
alb,2016,494199.26441
alb,2017,506768.33975
alb,2018,526582.73049
alb,2019,533811.09335
are,2001,234589.55558
are,2002,219220.24563
are,2003,221542.1681
are,2004,222617.54687
are,2005,209490.83322
are,2006,200559.84168
are,2007,180066.49539
are,2008,158210.32711
are,2009,133741.88182
are,2010,124437.03728
are,2011,127248.92113
are,2012,130181.06826
are,2013,135981.8208
are,2014,141800.85964
are,2015,148608.38567
are,2016,151563.02983
are,2017,153344.6276
are,2018,152274.06904
are,2019,155437.17216
arg,1960,9149.81521
arg,1961,9511.31297
arg,1962,9265.80945
arg,1963,8636.2443
arg,1964,9380.16311
arg,1965,10206.08321
arg,1966,10126.22342
arg,1967,9936.16131
arg,1968,10077.26911
arg,1969,10973.84993
arg,1970,10802.53218
arg,1971,11777.96586
arg,1972,11488.50338
arg,1973,11837.26909
arg,1974,12292.32037
arg,1975,12215.84436
arg,1976,11638.4731
arg,1977,12163.53766
arg,1978,11460.67191
arg,1979,12411.00267
arg,1980,12406.78199
arg,1981,11410.085
arg,1982,10759.02452
arg,1983,11084.41936
arg,1984,11132.13332
arg,1985,10375.89841
arg,1986,10935.32039
arg,1987,11045.34108
arg,1988,10788.50723
arg,1989,9470.37637
arg,1990,9485.88962
arg,1991,10327.42598
arg,1992,11120.41883
arg,1993,11951.94165
arg,1994,12469.67996
arg,1995,11923.40015
arg,1996,12405.50082
arg,1997,13243.86042
arg,1998,13552.53851
arg,1999,12930.75656
arg,2000,12682.87381
arg,2001,11966.32165
arg,2002,10274.30421
arg,2003,11201.67981
arg,2004,11202.60958
arg,2005,12048.477
arg,2006,14043.87905
arg,2007,15258.82633
arg,2008,15737.02771
arg,2009,14569.21288
arg,2010,15860.15319
arg,2011,16703.83502
arg,2012,16433.96998
arg,2013,16683.64939
arg,2014,16106.34171
arg,2015,16399.96442
arg,2016,15831.77298
arg,2017,16042.72087
arg,2018,15294.92404
arg,2019,14787.76804
arg,2020,13379.00685
arm,1994,390932.66124
arm,1995,439913.54482
arm,1996,473591.61538
arm,1997,510776.43741
arm,1998,536651.00645
arm,1999,557253.58885
arm,2000,593416.60209
arm,2001,653640.81646
arm,2002,747708.03286
arm,2003,856647.31915
arm,2004,959169.33038
arm,2005,1100292.27471
arm,2006,1261367.7958
arm,2007,1457425.16743
arm,2008,1580084.46781
arm,2009,1339082.03061
arm,2010,1384049.9056
arm,2011,1430557.11146
arm,2012,1538160.04516
arm,2013,1612150.57147
arm,2014,1635877.35768
arm,2015,1672198.31889
arm,2016,1643242.96031
arm,2017,1781101.48245
arm,2018,1836868.85141
arm,2019,1966686.07564
arm,2020,1768743.21101
aus,2020,75520.36882
aut,1970,16260.23608
aut,1971,17031.39812
aut,1972,17956.81782
aut,1973,18722.94754
aut,1974,19488.58065
aut,1975,19453.6936
aut,1976,20347.59805
aut,1977,21358.71598
aut,1978,21331.83932
aut,1979,22542.63259
aut,1980,22967.05457
aut,1981,22896.87756
aut,1982,23369.49689
aut,1983,24106.86293
aut,1984,24132.27094
aut,1985,24744.00318
aut,1986,25193.66259
aut,1987,25508.73462
aut,1988,26449.84123
aut,1989,27447.38941
aut,1990,28467.71423
aut,1991,29012.96808
aut,1992,29237.66972
aut,1993,29171.27811
aut,1994,29696.84637
aut,1995,30334.42154
aut,1996,31110.75384
aut,1997,31593.65797
aut,1998,32640.41919
aut,1999,33397.0883
aut,2000,34698.29526
aut,2001,34825.39515
aut,2002,35512.66081
aut,2003,35793.39819
aut,2004,36587.39159
aut,2005,37126.70188
aut,2006,38392.49176
aut,2007,39560.51651
aut,2008,40389.75309
aut,2009,38428.11305
aut,2010,39385.01981
aut,2011,40197.7695
aut,2012,40192.77118
aut,2013,40033.35421
aut,2014,39930.18561
aut,2015,39441.32846
aut,2016,40185.98736
aut,2017,40430.2863
aut,2018,41224.13748
aut,2019,41912.32951
aut,2020,39024.29291
aze,1993,906.05537
aze,1994,717.1849
aze,1995,624.68729
aze,1996,626.00593
aze,1997,655.99683
aze,1998,717.02849
aze,1999,781.97422
aze,2000,828.16338
aze,2001,898.52319
aze,2002,970.87998
aze,2003,1057.64744
aze,2004,1118.27673
aze,2005,1322.02077
aze,2006,1715.62188
aze,2007,2041.86688
aze,2008,2333.74614
aze,2009,2653.44183
aze,2010,2805.43976
aze,2011,2718.11194
aze,2012,2786.57872
bdi,1997,170238.19717
bdi,1998,177159.32473
bdi,1999,172273.4139
bdi,2000,172682.31291
bdi,2001,167447.0817
bdi,2002,169819.93001
bdi,2003,161811.98495
bdi,2004,163179.23474
bdi,2005,161455.95685
bdi,2006,166247.38748
bdi,2007,166854.02368
bdi,2008,169570.23261
bdi,2009,169161.57872
