global,time,ny_gnp_pcap_pp_kd
world,1990,9964.28766
world,1991,9923.91139
world,1992,9849.1646
world,1993,9768.09221
world,1994,9818.23239
world,1995,9908.90238
world,1996,10116.72074
world,1997,10353.8957
world,1998,10489.13884
world,1999,10735.98496
world,2000,11088.23871
world,2001,11216.30566
world,2002,11346.40061
world,2003,11623.3032
world,2004,12042.84326
world,2005,12414.8502
world,2006,12897.1718
world,2007,13388.50653
world,2008,13556.73223
world,2009,13291.38131
world,2010,13758.7043
world,2011,14110.72411
world,2012,14369.85769
world,2013,14639.99801
world,2014,14988.02769
world,2015,15309.52239
world,2016,15660.53275
world,2017,16078.91273
world,2018,16451.33996
world,2019,16750.50493
world,2020,16047.12643
