global,time,ic_prp_proc
world,2004,6.22857
world,2005,6.20126
world,2006,6.23313
world,2007,6.21687
world,2008,6.1018
world,2009,6.01786
world,2010,5.95266
world,2011,5.95322
world,2012,5.98851
world,2013,6.01611
world,2014,5.97286
world,2015,5.91925
world,2016,5.93
world,2017,5.93247
world,2018,5.92321
world,2019,5.88925
