geo,time,sl_emp_1524_sp_zs
afg,1991,31.754
afg,1992,31.679
afg,1993,31.686
afg,1994,31.601
afg,1995,31.276
afg,1996,31.288
afg,1997,31.324
afg,1998,31.315
afg,1999,31.36
afg,2000,31.448
afg,2001,31.674
afg,2002,31.695
afg,2003,31.969
afg,2004,32.228
afg,2005,32.265
afg,2006,32.075
afg,2007,31.751
afg,2008,31.662
afg,2009,31.441
afg,2010,31.382
afg,2011,31.741
afg,2012,31.868
afg,2013,32.077
afg,2014,32.231
afg,2015,32.354
afg,2016,32.428
afg,2017,32.502
afg,2018,32.564
afg,2019,32.574
afg,2020,28.573
ago,1991,52.385
ago,1992,52.477
ago,1993,52.374
ago,1994,52.45
ago,1995,52.486
ago,1996,52.593
ago,1997,52.564
ago,1998,52.459
ago,1999,52.298
ago,2000,52.128
ago,2001,52.141
ago,2002,52.175
ago,2003,52.082
ago,2004,52.059
ago,2005,52.052
ago,2006,52.182
ago,2007,52.308
ago,2008,52.387
ago,2009,52.37
ago,2010,46.075
ago,2011,47.824
ago,2012,47.923
ago,2013,47.914
ago,2014,47.879
ago,2015,47.768
ago,2016,47.664
ago,2017,47.549
ago,2018,47.362
ago,2019,47.152
ago,2020,45.492
alb,1991,47.584
alb,1992,29.824
alb,1993,33.787
alb,1994,37.235
alb,1995,41.883
alb,1996,41.665
alb,1997,39.731
alb,1998,36.352
alb,1999,34.78
alb,2000,35.734
alb,2001,35.456
alb,2002,35.674
alb,2003,34.332
alb,2004,32.759
alb,2005,30.917
alb,2006,28.994
alb,2007,26.665
alb,2008,24.7
alb,2009,25.014
alb,2010,23.156
alb,2011,34.112
alb,2012,25.971
alb,2013,18.995
alb,2014,17.571
alb,2015,18.901
alb,2016,20.442
alb,2017,21.879
alb,2018,25.596
alb,2019,26.696
alb,2020,23.222
are,1991,46.687
are,1992,46.946
are,1993,46.923
are,1994,46.3
are,1995,45.55
are,1996,45.94
are,1997,46.214
are,1998,46.277
are,1999,46.237
are,2000,46.145
are,2001,46.565
are,2002,46.715
are,2003,46.593
are,2004,46.218
are,2005,45.688
are,2006,46.536
are,2007,46.943
are,2008,47.106
are,2009,47.08
are,2010,47.074
are,2011,47.559
are,2012,47.969
are,2013,48.303
are,2014,48.552
are,2015,48.765
are,2016,49.468
are,2017,48.564
are,2018,46.879
are,2019,46.895
are,2020,41.893
arg,1991,41.868
arg,1992,40.945
arg,1993,37.168
arg,1994,35.546
arg,1995,28.783
arg,1996,30.224
arg,1997,32.393
arg,1998,34.594
arg,1999,33.316
arg,2000,32.275
arg,2001,29.989
arg,2002,27.934
arg,2003,31.554
arg,2004,33.255
arg,2005,33.354
arg,2006,34.669
arg,2007,35.099
arg,2008,34.515
arg,2009,33.475
arg,2010,33.168
arg,2011,33.354
arg,2012,33.127
arg,2013,32.276
arg,2014,31.094
arg,2015,30.827
arg,2016,30.299
arg,2017,30.034
arg,2018,30.027
arg,2019,29.02
arg,2020,23.004
arm,1991,31.297
arm,1992,31.118
arm,1993,29.623
arm,1994,29.063
arm,1995,29.1
arm,1996,28.158
arm,1997,27.654
arm,1998,28.277
arm,1999,27.64
arm,2000,27.821
arm,2001,27.963
arm,2002,28.098
arm,2003,28.234
arm,2004,28.37
arm,2005,28.453
arm,2006,28.53
arm,2007,28.583
arm,2008,23.411
arm,2009,19.723
arm,2010,21.456
arm,2011,23.829
arm,2012,25.421
arm,2013,25.35
arm,2014,24.305
arm,2015,27.517
arm,2016,22.969
arm,2017,22.485
arm,2018,23.56
arm,2019,25.286
arm,2020,21.327
aus,1991,57.484
aus,1992,56.008
aus,1993,55.99
aus,1994,58.667
aus,1995,60.746
aus,1996,60.442
aus,1997,58.961
aus,1998,59.763
aus,1999,60.752
aus,2000,61.695
aus,2001,61.15
aus,2002,61.015
aus,2003,61.824
aus,2004,62.174
aus,2005,63.305
aus,2006,63.709
aus,2007,64.149
aus,2008,64.525
aus,2009,61.205
aus,2010,60.562
aus,2011,60.425
aus,2012,59.637
aus,2013,58.686
aus,2014,57.718
aus,2015,58.449
aus,2016,58.339
aus,2017,58.438
aus,2018,59.796
aus,2019,60.06
aus,2020,56.746
aut,1991,61.292
aut,1992,61.735
aut,1993,58.88
aut,1994,59.15
aut,1995,58.089
aut,1996,55.543
aut,1997,53.995
aut,1998,54.166
aut,1999,54.911
aut,2000,52.542
aut,2001,51.414
aut,2002,51.773
aut,2003,50.659
aut,2004,48.936
aut,2005,51.635
aut,2006,52.277
aut,2007,53.837
aut,2008,54.471
aut,2009,53.173
aut,2010,52.783
aut,2011,53.93
aut,2012,53.678
aut,2013,53.112
aut,2014,52.077
aut,2015,51.356
aut,2016,51.002
aut,2017,50.612
aut,2018,51.357
aut,2019,51.63
aut,2020,50.291
aze,1991,52.243
aze,1992,54.023
aze,1993,53.612
aze,1994,53.518
aze,1995,53.54
aze,1996,52.464
aze,1997,50.957
aze,1998,49.316
aze,1999,47.829
aze,2000,46.242
aze,2001,43.317
aze,2002,41.422
aze,2003,41.228
aze,2004,38.264
aze,2005,40.174
aze,2006,37.275
aze,2007,35.034
aze,2008,31.882
aze,2009,30.601
aze,2010,28.543
aze,2011,28.456
aze,2012,28.477
aze,2013,29.467
aze,2014,30.92
aze,2015,32.387
aze,2016,34.574
aze,2017,36.518
aze,2018,38.334
aze,2019,37.972
aze,2020,32.734
bdi,1991,78.067
bdi,1992,76.805
bdi,1993,75.52
bdi,1994,74.265
bdi,1995,72.988
bdi,1996,71.625
bdi,1997,70.269
bdi,1998,68.899
bdi,1999,68.188
bdi,2000,67.502
bdi,2001,66.761
bdi,2002,65.985
bdi,2003,65.143
bdi,2004,64.281
bdi,2005,63.329
bdi,2006,62.324
bdi,2007,61.243
bdi,2008,60.112
bdi,2009,58.936
bdi,2010,57.708
bdi,2011,56.424
bdi,2012,55.103
bdi,2013,53.758
bdi,2014,52.408
bdi,2015,52.227
bdi,2016,52.053
bdi,2017,51.848
bdi,2018,51.624
bdi,2019,51.383
bdi,2020,50.354
bel,1991,31.394
bel,1992,31.44
bel,1993,28.066
bel,1994,27.463
bel,1995,26.541
bel,1996,26.018
bel,1997,25.166
bel,1998,25.937
bel,1999,25.402
bel,2000,30.238
bel,2001,28.424
